# 	2theta (deg)	Intensity (arb. units)
    121.6028556799          0.1334976563
    121.7695234843          0.1971499390
    121.9361836616          0.1605505249
    122.1028590931          0.4911234863
    122.2695192704          0.3776833984
    122.4361947019          0.3851768799
    122.6028625063          0.4753798828
    122.7695226835          0.4874498047
    122.9361981150          0.4974363281
    123.1028582923          0.4532776367
    123.2695260967          0.5180071289
    123.4362015282          0.5106536621
    123.6028617055          0.7073838867
    123.7695295099          0.6391299805
    123.9361973142          0.9894348633
    124.1028574915          1.2565899414
    124.2695176688          2.0937652344
    124.4361931003          4.2934828125
    124.6028609047          5.2850644531
    124.7695287091          4.4998761719
    124.9362041406          2.6160380859
    125.1028643178          1.5121645508
    125.2695244951          1.2148407227
    125.4361922995          1.0536514648
    125.6028601039          0.6894637207
    125.7695355354          0.7598199707
    125.9361880855          0.6115566406
    126.1028558899          0.7167714844
    126.2695236943          0.7930271484
    126.4361914987          0.7659923340
    126.6028593031          0.7182869629
