# 	2theta (deg)	Intensity (arb. units)
    120.2751268044          0.4503672852
    120.4418098630          0.3737094482
    120.6084624132          0.6512270996
    120.7751302176          0.7136101563
    120.9417903948          0.7585094238
    121.1084658264          0.8744279297
    121.2751336307          0.9232876953
    121.4418090622          1.3584738281
    121.6084692395          1.6226873047
    121.7751294168          1.9774718750
    121.9417895941          2.5354632813
    122.1084573984          3.0918955078
    122.2751328299          3.9088777344
    122.4418006343          5.4391730469
    122.6084608116          7.4205468750
    122.7751286160         10.4775554687
    122.9417887933         15.1930406250
    123.1084565977         20.9722515625
    123.2751396563         25.1558484375
    123.4417998335         26.0384281250
    123.6084752651         23.4805578125
    123.7751354423         20.5058687500
    123.9417956196         16.9893859375
    124.1084634240         13.5588609375
    124.2751312284         10.6255906250
    124.4418066599          7.8753945313
    124.6084668371          5.6837679687
    124.7751422687          4.3832347656
    124.9418024459          3.5295226563
    125.1084626232          2.7782539062
    125.2751304276          2.4046404297
