# 	2theta (deg)	Intensity (arb. units)
    121.7789658576         -0.0002845688
    121.9456336620          0.2886314697
    122.1122938393          0.1432696289
    122.2789540166          0.3427526123
    122.4456294481          0.5003905762
    122.6122896253          0.4181194336
    122.7789650569          0.3546302002
    122.9456328612          0.5308840820
    123.1123006656          0.4013459473
    123.2789608429          0.5392410156
    123.4456286473          0.6453975098
    123.6122888246          0.6618270996
    123.7789642561          0.8275333984
    123.9456320604          1.0023322266
    124.1122998648          1.8817572266
    124.2789676692          4.1098738281
    124.4456354736          5.1833562500
    124.6122956509          4.3137695313
    124.7789634553          2.2615841797
    124.9456312597          1.5251960937
    125.1122990640          0.8890231445
    125.2789592413          0.8914289063
    125.4456346728          0.7575419922
    125.6122872230          0.5688835937
    125.7789550274          0.8486745117
    125.9456304589          0.8125869141
    126.1123058904          0.7076354492
    126.2789660676          0.6526391602
    126.4456338720          0.6420286621
    126.6122940493          0.6510266113
    126.7789618537          0.7162044922
