# 	2theta (deg)	Intensity (arb. units)
    121.6028251715         -0.1397623535
    121.7694853487          0.1000079346
    121.9361455260          0.1330119385
    122.1028133304         -0.0683883911
    122.2694735077         -0.0305746582
    122.4361565663          0.0687320435
    122.6028167435         -0.0607377686
    122.7694921751          0.0740048340
    122.9361523523         -0.2149079346
    123.1028125296          0.0441400055
    123.2694803340          0.0972678223
    123.4361481384          0.0558910461
    123.6028159428          0.2138202637
    123.7694837471          0.3238858154
    123.9361591787          0.6949803711
    124.1028117288          1.0772018555
    124.2694795332          3.1617798828
    124.4361473376          5.1661910156
    124.6028151420          5.2358960938
    124.7694829464          2.9197316406
    124.9361507507          1.4005475586
    125.1028185551          0.5839117676
    125.2694787324          0.4876502930
    125.4361465368          0.3220080566
    125.6028143412          0.2960077881
    125.7694821456          0.3168770996
    125.9361575771          0.3106116455
    126.1028177543          0.1643061646
    126.2694855587          0.1432717285
    126.4361381089          0.2298493896
    126.6028135404          0.2260642578
