# 	2theta (deg)	Intensity (arb. units)
    121.6028022901          0.1845735474
    121.7694700945          0.1308522583
    121.9361378989         -0.0604732849
    122.1027980761         -0.0803425110
    122.2694658805         -0.0739644592
    122.4361260578         -0.0447709869
    122.6028014893         -0.1274082642
    122.7694616666          0.0189201813
    122.9361370981          0.0833255798
    123.1027972754          0.0966533447
    123.2694650797          0.0883074097
    123.4361405112          0.0270335297
    123.6027930614          0.0669140625
    123.7694684929          0.4384652832
    123.9361286702          0.6126080566
    124.1027964746          1.1716899414
    124.2694719061          3.2330091797
    124.4361397105          5.3268660156
    124.6027922606          4.9441382812
    124.7694676921          2.6800410156
    124.9361354965          1.2652958008
    125.1028033009          0.6896499512
    125.2694634782          0.5571656250
    125.4361312825          0.3691386719
    125.6028067141          0.0461316376
    125.7694745184          0.1447370483
    125.9361270686          0.0714152039
    126.1028101272          0.0502031219
    126.2694779316         -0.1778207153
    126.4361228546         -0.0557421936
    126.6027982861         -0.0736097900
