# 	2theta (deg)	Intensity (arb. units)
    120.3751412159          0.3948668701
    120.5418242745          0.5154833008
    120.7084768246          0.5976919922
    120.8751446290          0.4942265625
    121.0418200605          0.6000855469
    121.2084802378          0.6570648437
    121.3751480422          0.8209525391
    121.5418158466          0.9810104492
    121.7084836510          1.1686474609
    121.8751438282          1.4044298828
    122.0418116326          2.0292931641
    122.2084870641          2.3525191406
    122.3751472414          3.2762742187
    122.5418150458          4.3499933594
    122.7084828502          5.3464867187
    122.8751430274          6.7872406250
    123.0418108318          8.6102992188
    123.2084786362         11.0825453125
    123.3751464406         11.6833812500
    123.5418066179          9.3972453125
    123.7084820494          7.8108679688
    123.8751422267          6.7127398437
    124.0418100310          5.9891851562
    124.2084854625          5.5376488281
    124.3751456398          4.7929757813
    124.5418210713          3.7754539063
    124.7084888757          2.9835570313
    124.8751490530          2.5876419922
    125.0418168574          1.9531566406
    125.2084694075          1.4950554687
    125.3751448390          1.2182291992
