# 	2theta (deg)	Intensity (arb. units)
    121.5001870311         -0.0967423645
    121.6668548355          0.0114711945
    121.8335150127          0.0496339325
    122.0001904442          0.0607875427
    122.1668506215          0.0499858490
    122.3335184259         -0.0677320801
    122.5001862303          0.2394364746
    122.6668540347          0.2154167480
    122.8335218391          0.1951341797
    123.0001820163          0.2180169678
    123.1668498207          0.0862580627
    123.3335176251          0.3883246826
    123.5001930566          0.4446104492
    123.6668532339          0.5319411133
    123.8335210383          0.6128948730
    124.0001964698          1.0401558594
    124.1668490199          2.0437806641
    124.3335168243          4.1852386719
    124.5001922558          4.7585015625
    124.6668371789          3.6453703125
    124.8335202375          2.1362875000
    125.0001804147          1.2057734375
    125.1668482191          0.8614816406
    125.3335160235          0.3802073486
    125.5001914550          0.6890142090
    125.6668440052          0.4421331055
    125.8335194367          0.5664934570
    126.0001872411          0.4427679688
    126.1668321641          0.4530582031
    126.3335228498          0.4155930176
    126.5001830271          0.4936808594
