# 	Incident energy (eV)	Intensity (arb. units)
       524.0000000000           0.0226178680
       524.3243243243           0.0922934631
       524.6486486486           0.0443197571
       524.9729729730           0.0575463379
       525.2972972973           0.0295918274
       525.6216216216           0.2019706543
       525.9459459459           0.2877235840
       526.2702702703           0.8718595703
       526.5945945946           1.4810656250
       526.9189189189           1.5591729492
       527.2432432432           1.1830470703
       527.5675675676           0.5488041992
       527.8918918919           0.1665677246
       528.2162162162           0.1657288330
       528.5405405405           0.2449559082
       528.8648648649           0.4124889160
       529.1891891892           0.6045698242
       529.5135135135           0.6363986816
       529.8378378378           0.3965483643
       530.1621621622           0.2067463623
       530.4864864865           0.2666768555
       530.8108108108           0.2175607178
       531.1351351351           0.1644102783
       531.4594594595           0.0802872070
       531.7837837838           0.0637376160
       532.1081081081           0.0706730286
       532.4324324324           0.0169553650
       532.7567567568           0.1557824951
       533.0810810811           0.0695633423
       533.4054054054           0.0675664185
       533.7297297297           0.1070916260
       534.0540540541           0.0405066528
       534.3783783784           0.1186267212
       534.7027027027           0.1113663330
       535.0270270270           0.0381514038
       535.3513513514           0.0958392883
       535.6756756757           0.1444168701
       536.0000000000          -0.0251514557
