# 	2theta (deg)	Intensity (arb. units)
    120.3751412159          0.1635802979
    120.5418090202          0.3321221436
    120.7084768246          0.5571430176
    120.8751370019          0.5861565918
    121.0418048063          0.5216111328
    121.2084726107          0.6608738770
    121.3751404151          0.6969534180
    121.5418082195          0.9828836914
    121.7084760238          1.3580009766
    121.8751362011          1.5043667969
    122.0418040055          1.6898654297
    122.2084718099          2.0729972656
    122.3751396143          2.7674380859
    122.5417997915          3.1785136719
    122.7084752231          3.7645718750
    122.8751430274          4.0526734375
    123.0418032047          5.7327054687
    123.2084710091          7.6130976562
    123.3751388135          7.4141468750
    123.5418142450          5.6487402344
    123.7084744223          3.9537300781
    123.8751422267          3.5526855469
    124.0418252853          3.4000738281
    124.2084625812          3.5009476563
    124.3751456398          3.4651132812
    124.5418058171          3.0370000000
    124.7084736215          2.6610482422
    124.8751337987          2.1374925781
    125.0418092302          1.6187157227
    125.2084694075          1.4202650391
    125.3751372119          0.9602595703
