# 	Incident energy (eV)	Intensity (arb. units)
       524.0000000000           0.0069073898
       524.3243243243           0.1411781006
       524.6486486486           0.1122022949
       524.9729729730           0.0863771973
       525.2972972973           0.1499340942
       525.6216216216           0.2349128906
       525.9459459459           0.3691872559
       526.2702702703           1.2937498047
       526.5945945946           2.3699771484
       526.9189189189           2.4085949219
       527.2432432432           1.7318804688
       527.5675675676           0.7942878906
       527.8918918919           0.3812513428
       528.2162162162           0.2252760254
       528.5405405405           0.3884550293
       528.8648648649           0.5947895996
       529.1891891892           1.0450926758
       529.5135135135           1.0955690430
       529.8378378378           0.8362234375
       530.1621621622           0.4648953125
       530.4864864865           0.4039655518
       530.8108108108           0.4677981445
       531.1351351351           0.5052510254
       531.4594594595           0.3618958008
       531.7837837838           0.1608316406
       532.1081081081           0.1824334961
       532.4324324324           0.1592822021
       532.7567567568           0.2118102051
       533.0810810811           0.1913802979
       533.4054054054           0.2315855469
       533.7297297297           0.2461459473
       534.0540540541           0.1427749023
       534.3783783784           0.1464070801
       534.7027027027           0.1662516357
       535.0270270270           0.1419950195
       535.3513513514           0.1463152344
       535.6756756757           0.2031413574
       536.0000000000           0.2131309326
