# 	2theta (deg)	Intensity (arb. units)
    120.3751946057         -0.2487842285
    120.5418624101          0.0442635681
    120.7085302145          0.1429222900
    120.8751980189          0.1903640991
    121.0418734504          0.2554125732
    121.2085336276          0.2236970703
    121.3752014320          0.0272248169
    121.5418692364          0.2148105225
    121.7085294137          0.2502012695
    121.8751972181          0.4822783691
    122.0418650225          0.3010748291
    122.2085404540          0.2382044678
    122.3752006312          0.2551416260
    122.5418608085          0.4040024658
    122.7085362400          0.5772754883
    122.8751964173          0.7677739258
    123.0418642217          1.3342399414
    123.2085320261          3.5461371094
    123.3751998304          5.0183128906
    123.5418676348          4.2096253906
    123.7085354392          2.2561082031
    123.8752032436          1.4251257813
    124.0418557938          0.9674494141
    124.2085312253          0.5590266113
    124.3751990296          0.3403058105
    124.5418668340          0.3054903320
    124.7085346384          0.2457276123
    124.8752024428          0.1820076538
    125.0418626201          0.2267079346
    125.2085304245          0.2683422363
    125.3751906017          0.1536889893
