# 	2theta (deg)	Intensity (arb. units)
    120.5038335947          0.2117011475
    120.6705013991          0.7069589355
    120.8371692035          0.7132652344
    121.0038370079          0.7288190430
    121.1705048123          0.8778519531
    121.3371802438          1.2431666016
    121.5038480482          1.4413386719
    121.6705082255          1.7069951172
    121.8371760299          2.2083761719
    122.0038362071          2.6531988281
    122.1705040115          3.6695054688
    122.3371641888          4.5121421875
    122.5038396203          5.8107761719
    122.6705074247          8.2025085938
    122.8371752291         11.9476546875
    123.0038354063         18.2691140625
    123.1705032107         24.9691437500
    123.3371633880         30.5983437500
    123.5038388195         31.9647031250
    123.6705142510         28.7830343750
    123.8371820554         24.4225578125
    124.0038498598         18.3409359375
    124.1704947828         13.2368031250
    124.3371702143          9.0231242188
    124.5038380187          6.6491257813
    124.6705058231          5.2104171875
    124.8371736275          3.8446949219
    125.0038414319          3.2475833984
    125.1705092363          2.5722099609
    125.3371694135          2.1693517578
    125.5038448450          1.8231634766
