# 	2theta (deg)	Intensity (arb. units)
    120.3752098599          0.0637507324
    120.5418624101          0.1698959717
    120.7085378416          0.0477471252
    120.8752056460          0.2428357422
    121.0418658232          0.2176390869
    121.2085336276          0.2511130859
    121.3752090591          0.2802942383
    121.5418768635          0.1325007568
    121.7085446679          0.3147246582
    121.8752048452          0.2142115234
    122.0418726496          0.0792664551
    122.2085404540          0.1202182373
    122.3752082583          0.3739903809
    122.5418760627          0.3835361816
    122.7085362400          0.6348573730
    122.8752116715          0.8222172852
    123.0418718488          1.3769048828
    123.2085396532          3.4222464844
    123.3751998304          4.6472054688
    123.5418752619          4.4122222656
    123.7085430663          2.6591216797
    123.8752108707          1.3918257812
    124.0418710480          1.2052758789
    124.2085388524          0.8915422852
    124.3752066568          0.5814313965
    124.5418897154          0.4149258789
    124.7085498927          0.5758718750
    124.8752100699          0.4606153809
    125.0418778743          0.4729292969
    125.2085380516          0.4698866211
    125.3752058560          0.3531949951
