# 	2theta (deg)	Intensity (arb. units)
    121.6028633071          0.0139386948
    121.7695311114          0.2745630127
    121.9361912887          0.1499090210
    122.1028667202          0.3761917480
    122.2695268975          0.3632678467
    122.4361947019          0.5013142090
    122.6028625063          0.5159110352
    122.7695226835          0.5632112305
    122.9362057422          0.5876622559
    123.1028659194          0.6792189941
    123.2695260967          0.6036814941
    123.4361786468          0.5902623047
    123.6028540784          0.7586063477
    123.7695218827          0.7868476562
    123.9361973142          0.7789221191
    124.1028498644          1.1725844727
    124.2695252959          2.0662523437
    124.4361931003          4.4459792969
    124.6028609047          5.2294867187
    124.7695363362          4.2670921875
    124.9361965135          2.4574431641
    125.1028643178          1.5012458984
    125.2695244951          1.1629854492
    125.4361922995          1.0008128906
    125.6028601039          0.6681902832
    125.7695279083          0.5998042480
    125.9361957127          0.5478103516
    126.1028558899          0.5937299316
    126.2695236943          0.5612084473
    126.4361914987          0.6089291016
    126.6028593031          0.7394106445
