# 	2theta (deg)	Intensity (arb. units)
    120.5467971561          0.1976048340
    120.7134573333          0.2480531250
    120.8801327648          0.5154798340
    121.0467929421          0.7268191895
    121.2134531194          0.7330244629
    121.3801285509          1.0381714844
    121.5468039824          1.2414939453
    121.7134717868          1.6884214844
    121.8801319641          2.4209607422
    122.0467921413          3.2806148438
    122.2134599457          4.2598292969
    122.3801353772          5.6691105469
    122.5467955545          7.7001140625
    122.7134633589         10.1879343750
    122.8801311633         13.4667031250
    123.0467913405         17.1467656250
    123.2134591449         19.6511421875
    123.3801269493         21.3057218750
    123.5467947537         20.4686734375
    123.7134549310         18.3531609375
    123.8801303625         16.2229703125
    124.0467981669         13.6069578125
    124.2134507170         11.3379882813
    124.3801261485          8.8053664063
    124.5467863258          6.8822156250
    124.7134693844          5.5115941406
    124.8801295617          4.6519222656
    125.0467973661          3.6400570313
    125.2134651705          2.8927058594
    125.3801253477          2.3985511719
    125.5467931521          2.0557662109
