# 	Incident energy (eV)	Intensity (arb. units)
       524.0000000000          -0.0207823914
       524.3243243243          -0.0400242462
       524.6486486486          -0.0061078247
       524.9729729730          -0.0337192291
       525.2972972973          -0.0106052002
       525.6216216216           0.0624186829
       525.9459459459           0.0128127380
       526.2702702703           0.0669104614
       526.5945945946           0.0527493713
       526.9189189189           0.0504580444
       527.2432432432           0.0529756226
       527.5675675676           0.0399839294
       527.8918918919           0.0134313599
       528.2162162162           0.0463645447
       528.5405405405           0.0578242981
       528.8648648649           0.0831130188
       529.1891891892           0.0754560913
       529.5135135135           0.2069104492
       529.8378378378           0.1469259155
       530.1621621622           0.1225744629
       530.4864864865           0.1612977905
       530.8108108108           0.1696243530
       531.1351351351           0.1510332520
       531.4594594595           0.1359387939
       531.7837837838           0.0982414551
       532.1081081081           0.0593704102
       532.4324324324           0.2011154541
       532.7567567568           0.1903092163
       533.0810810811           0.0703640747
       533.4054054054           0.0887648071
       533.7297297297           0.0979742920
       534.0540540541           0.1752768311
       534.3783783784           0.2089679199
       534.7027027027           0.1681570313
       535.0270270270           0.1431186646
       535.3513513514           0.1394762939
       535.6756756757           0.2277192383
       536.0000000000           0.1836059082
