# Energ loss (meV) 	Intensity (arb. units)	Error bar
   -174.6394520449      -0.0104364104       0.2203802945
   -168.9394520449      -0.5277109068       0.1778048841
   -163.2394520449       0.2793055959       0.2369617031
   -157.5394520449      -0.1678790027       0.2048701392
   -151.8394520449      -0.2372645796       0.1965326431
   -146.1394520449       0.1070625594       0.2214271804
   -140.4394520449       0.2089603618       0.2250375624
   -134.7394520449      -0.0590854462       0.2065451399
   -129.0394520449       0.0502674558       0.2112161918
   -123.3394520449       0.2158921348       0.2221564129
   -117.6394520449       0.1907093790       0.2203681678
   -111.9394520449      -0.0498211411       0.2013660120
   -106.2394520448       0.4372302220       0.2324540640
   -100.5394520448       0.0532738743       0.2054720485
    -94.8394520448       0.0657286053       0.2060279128
    -89.1394520448       0.3828639088       0.2230777514
    -83.4394520448       0.4480042917       0.2266938499
    -77.7394520448       0.2433981311       0.2118288015
    -72.0394520448       0.1099218024       0.2034331104
    -66.3394520448      -0.0590754052       0.1901216434
    -60.6394520448       0.5160591311       0.2246734644
    -54.9394520448       0.0562761914       0.1950916049
    -49.2394520448       0.7475818229       0.2341713285
    -43.5394520448       0.8409546042       0.2364468352
    -37.8394520448       1.6485523974       0.2768762043
    -32.1394520448       2.4349998660       0.3024855032
    -26.4394520447       3.9022207219       0.3541101207
    -20.7394520447       6.0377074328       0.4137298053
    -15.0394520447       9.1358923091       0.4914073808
     -9.3394520447      12.0273266683       0.5537565485
     -3.6394520447      15.3361504281       0.6112639980
      2.0605479553      17.3000891129       0.6453704129
      7.7605479553      18.5432840881       0.6594916950
     13.4605479553      18.6061703505       0.6599463051
     19.1605479553      19.5936784709       0.6690588648
     24.8605479553      18.8575755168       0.6568915819
     30.5605479553      16.7241822070       0.6153600562
     36.2605479553      16.0497668556       0.6034377035
     41.9605479553      13.9558504314       0.5607607025
     47.6605479553      14.5089378609       0.5705707046
     53.3605479553      13.4825408963       0.5521341340
     59.0605479554      11.9644636163       0.5233312676
     64.7605479554      10.5262757994       0.4949291318
     70.4605479554      10.6666682957       0.5024563853
     76.1605479554       8.9519857563       0.4610765285
     81.8605479554       8.4203445903       0.4492815311
     87.5605479554       8.1896892320       0.4439968562
     93.2605479554       6.9846293141       0.4156742671
     98.9605479554       7.0210458058       0.4205317624
    104.6605479554       6.1915374410       0.3958575168
    110.3605479554       5.7601575863       0.3881414854
    116.0605479554       4.8510750871       0.3595261430
    121.7605479554       4.9213036280       0.3614134663
    127.4605479554       4.6277140146       0.3531071117
    133.1605479554       4.2576048180       0.3422200183
    138.8605479555       3.3194757182       0.3132120950
    144.5605479555       3.6263553250       0.3229542029
    150.2605479555       3.5328974361       0.3200642686
    155.9605479555       3.3374217272       0.3137124866
    161.6605479555       3.3275120069       0.3134850653
    167.3605479555       2.1101977070       0.2710796588
    173.0605479555       2.5119155972       0.2857865927
    178.7605479555       2.1704148299       0.2733045222
    184.4605479555       1.8702014198       0.2619155581
    190.1605479555       1.8498809322       0.2612937683
    195.8605479555       1.7721733045       0.2608443006
    201.5605479555       1.4257406290       0.2467732854
    207.2605479555       1.1405429558       0.2368559009
    212.9605479555       1.3271455025       0.2452668319
    218.6605479556       1.0126444445       0.2335947055
    224.3605479556       1.4722134404       0.2541353643
    230.0605479556       0.9691776471       0.2315769651
    235.7605479556       0.7403645774       0.2206664132
    241.4605479556       0.5890255337       0.2132366095
    247.1605479556       0.1749691400       0.1952206473
    252.8605479556       0.8935016734       0.2333707610
    258.5605479556       0.7033493162       0.2265263879
    264.2605479556       0.4593788707       0.2137671654
    269.9605479556       0.6666549760       0.2273726599
    275.6605479556       0.3571406533       0.2106501170
    281.3605479556       0.7183969089       0.2329062306
    287.0605479556       0.7992318012       0.2372548232
    292.7605479556       0.8531546510       0.2429286853
    298.4605479556       0.7904224302       0.2397990242
    304.1605479557       1.0166892846       0.2544439408
    309.8605479557       0.7383370492       0.2402032031
    315.5605479557       0.9956606644       0.2567965281
    321.2605479557       0.6590420157       0.2390989648
    326.9605479557       0.9423942863       0.2575201536
    332.6605479557       1.0939751388       0.2656545031
    338.3605479557       1.1318183782       0.2710667517
    344.0605479557       1.1910501307       0.2741665244
    349.7605479557       0.5241964925       0.2381089296
    355.4605479557       1.2550735334       0.2814056855
    361.1605479557       1.2730291975       0.2824944472
    366.8605479557       0.7929581628       0.2606726242
    372.5605479557       1.3330111503       0.2899427595
    378.2605479557       1.2036751133       0.2874464821
    383.9605479558       0.9308832512       0.2728339289
    389.6605479558       1.0690923927       0.2844600290
    395.3605479558       0.0214690125       0.3049711828
