# Energ loss (meV) 	Intensity (arb. units)	Error bar
   -179.6930432369      -0.6668393308       0.2649576408
   -173.9930432369      -0.2929930560       0.2183426604
   -168.2930432369      -0.4249497346       0.2047932357
   -162.5930432369       0.3104716764       0.2560979396
   -156.8930432369      -0.1382341831       0.2228497738
   -151.1930432369       0.3720470758       0.2558492498
   -145.4930432369       0.1586366711       0.2390542264
   -139.7930432369       0.4664390397       0.2575839229
   -134.0930432369      -0.3627937548       0.2004124960
   -128.3930432369       0.4502220930       0.2527412682
   -122.6930432369      -0.0908490577       0.2191695257
   -116.9930432369       0.2188425610       0.2357872847
   -111.2930432368       0.0318407464       0.2240461790
   -105.5930432368      -0.1696441814       0.2080786117
    -99.8930432368      -0.0872128283       0.2136551404
    -94.1930432368      -0.2740761420       0.1985951173
    -88.4930432368       0.2129455186       0.2290792611
    -82.7930432368       0.0829806855       0.2186755974
    -77.0930432368       0.0341287543       0.2154281075
    -71.3930432368      -0.0639257567       0.2068986375
    -65.6930432368       0.1677870410       0.2206902789
    -59.9930432368      -0.2475457563       0.1927237976
    -54.2930432368       0.5584592309       0.2393286905
    -48.5930432368       0.3162851203       0.2237144549
    -42.8930432368       0.4354903001       0.2327709439
    -37.1930432368       1.4471035916       0.2754572270
    -31.4930432367       2.1555435085       0.3042967641
    -25.7930432367       3.0798687727       0.3351221127
    -20.0930432367       5.0080351581       0.3962005463
    -14.3930432367       6.7199254120       0.4438898535
     -8.6930432367      10.6833721650       0.5319232789
     -2.9930432367      12.6901055873       0.5734569036
      2.7069567633      14.6353868783       0.6045613162
      8.4069567633      14.9623287427       0.6101541108
     14.1069567633      15.3960223116       0.6115475398
     19.8069567633      15.1839964998       0.6073130694
     25.5069567633      16.3650205241       0.6218325214
     31.2069567633      17.1306716470       0.6344582880
     36.9069567633      15.5914140417       0.6020346239
     42.6069567633      15.4792431316       0.5997995781
     48.3069567633      14.9216738427       0.5899657320
     54.0069567634      14.3667799291       0.5801526832
     59.7069567634      14.6974504617       0.5857404454
     65.4069567634      12.5620355661       0.5519106436
     71.1069567634      12.5014709217       0.5455415319
     76.8069567634      11.5251142242       0.5263705337
     82.5069567634      11.6206412565       0.5280745957
     88.2069567634       9.7084731063       0.4890401132
     93.9069567634       8.5953008471       0.4692336680
     99.6069567634       8.4523617100       0.4616322548
    105.3069567634       7.9082283240       0.4531888732
    111.0069567634       7.1261182139       0.4305336112
    116.7069567634       6.7993576048       0.4221074172
    122.4069567634       5.6950751814       0.3940988873
    128.1069567634       4.7926302643       0.3693141629
    133.8069567635       5.9086071505       0.3995305056
    139.5069567635       4.7503525280       0.3681095813
    145.2069567635       4.4794211784       0.3602510338
    150.9069567635       4.3147994660       0.3553950784
    156.6069567635       3.4646171118       0.3293793995
    162.3069567635       3.3145191656       0.3247619786
    168.0069567635       3.5671228107       0.3327804892
    173.7069567635       3.1298696388       0.3187887105
    179.4069567635       3.5407110105       0.3318337357
    185.1069567635       2.5843081847       0.3000525892
    190.8069567635       1.9814308450       0.2811175527
    196.5069567635       1.8368412436       0.2757717718
    202.2069567635       2.1557898000       0.2908695553
    207.9069567635       1.8481318163       0.2792400797
    213.6069567635       1.4379580650       0.2654824385
    219.3069567636       1.4557179925       0.2661330536
    225.0069567636       1.4434496209       0.2660793559
    230.7069567636       1.1982292208       0.2555577986
    236.4069567636       1.2210185981       0.2564870363
    242.1069567636       1.0779450896       0.2557311337
    247.8069567636       1.0617709285       0.2553142040
    253.5069567636       0.6869397314       0.2401689071
    259.2069567636       0.8173264659       0.2465297331
    264.9069567636       0.9590429290       0.2565887251
    270.6069567636       0.3040230134       0.2232925063
    276.3069567636       0.3438309933       0.2278271923
    282.0069567636       0.7644942053       0.2500319091
    287.7069567636       0.6933164638       0.2494951664
    293.4069567636       1.1069694171       0.2702260215
    299.1069567637       1.0999402470       0.2734203518
    304.8069567637       0.7550488709       0.2563965148
    310.5069567637       0.7059822524       0.2568695352
    316.2069567637       1.3766169074       0.2905934128
    321.9069567637       1.3822777087       0.2947230593
    327.6069567637       1.7733309437       0.3124577377
    333.3069567637       1.2633710839       0.2930945417
    339.0069567637       1.5610040473       0.3070071517
    344.7069567637       1.4045971659       0.3002631171
    350.4069567637       1.3267318374       0.3007567507
    356.1069567637       1.6488082709       0.3163313629
    361.8069567637       1.9505204791       0.3349031000
    367.5069567637       1.3540164877       0.3070289062
    373.2069567637       1.6846631893       0.3272317019
    378.9069567638       1.3277629498       0.3101822043
    384.6069567638       1.3538406881       0.3164441339
    390.3069567638       1.6637024826       0.3272331414
