# Energ loss (meV) 	Intensity (arb. units)	Error bar
   -119.4191242831      -0.0325906134       0.2466239695
   -113.7191242832       0.1454521963       0.1313571595
   -108.0191242832      -0.0511312177       0.1228080119
   -102.3191242832       0.0149314282       0.1240865952
    -96.6191242832      -0.0954560066       0.1173326273
    -90.9191242832       0.0187942131       0.1218826477
    -85.2191242832      -0.1045548013       0.1151006330
    -79.5191242832       0.1344804779       0.1247994367
    -73.8191242832       0.1046939387       0.1221970866
    -68.1191242833      -0.0190146059       0.1167076188
    -62.4191242833      -0.0488640888       0.1141892768
    -56.7191242833      -0.0188627275       0.1150368379
    -51.0191242833      -0.0197787643       0.1150328276
    -45.3191242833       0.2491226345       0.1256572290
    -39.6191242833       0.4407873311       0.1297201763
    -33.9191242833       0.4914249980       0.1308496641
    -28.2191242834       1.0932302606       0.1501432172
    -22.5191242834       1.4892290184       0.1599420125
    -16.8191242834       2.9128420623       0.1948019881
    -11.1191242834       4.3716451377       0.2229313135
     -5.4191242834       5.0195076003       0.2345301833
      0.2808757166       5.3699240431       0.2408831518
      5.9808757166       5.1270303703       0.2365188538
     11.6808757166       3.9870394353       0.2148799228
     17.3808757165       3.1078598203       0.1965467897
     23.0808757165       2.1573535171       0.1746742951
     28.7808757165       1.9881630056       0.1704212848
     34.4808757165       1.2467244843       0.1507288680
     40.1808757165       1.2283878813       0.1501748308
     45.8808757165       1.2591171167       0.1510601542
     51.5808757165       1.3613751918       0.1538922883
     57.2808757164       1.4827757461       0.1572413421
     62.9808757164       1.4289100489       0.1557831925
     68.6808757164       1.5654274660       0.1594906365
     74.3808757164       1.8377643745       0.1683727576
     80.0808757164       1.6782796925       0.1629520372
     85.7808757164       1.8323664238       0.1664849495
     91.4808757164       1.8269179460       0.1663581768
     97.1808757164       1.6859084718       0.1627355827
    102.8808757163       1.8843075058       0.1678108820
    108.5808757163       1.8505134539       0.1670010279
    114.2808757163       1.8945422821       0.1680944996
    119.9808757163       1.8734034650       0.1675656338
    125.6808757163       1.8048782433       0.1657611964
    131.3808757163       1.4744862423       0.1570499672
    137.0808757163       1.5416202184       0.1588171656
    142.7808757162       1.5097580773       0.1580008993
    148.4808757162       1.2942411316       0.1520406472
    154.1808757162       1.1752030953       0.1486526285
    159.8808757162       1.1116379012       0.1468210616
    165.5808757162       0.9424500079       0.1418640340
    171.2808757162       1.1872338108       0.1489654625
    176.9808757162       0.8935214521       0.1403089267
    182.6808757162       1.0651415901       0.1440115911
    188.3808757161       0.6906737409       0.1335658103
    194.0808757161       0.5935166830       0.1308664858
    199.7808757161       0.7658768637       0.1363730082
    205.4808757161       0.7836783709       0.1369170301
    211.1808757161       0.6551992480       0.1328343214
    216.8808757161       0.7014173020       0.1342868881
    222.5808757161       0.6357435335       0.1321907913
    228.2808757160       0.5140237763       0.1282140649
    233.9808757160       0.6845914150       0.1337191081
    239.6808757160       0.4676382225       0.1266537450
    245.3808757160       0.5387517451       0.1303853519
    251.0808757160       0.6116301708       0.1331642060
    256.7808757160       0.6260037710       0.1350314364
    262.4808757160       0.5077946331       0.1314507081
    268.1808757160       0.8001954098       0.1410688442
    273.8808757159       0.9257981157       0.1466410142
    279.5808757159       0.8085567752       0.1433026857
    285.2808757159       0.7160938056       0.1418577112
    290.9808757159       1.1613005043       0.1564451874
    296.6808757159       0.9562514998       0.1518238890
    302.3808757159       1.2103992252       0.1602817686
    308.0808757159       1.4935728812       0.1707564526
    313.7808757159       1.2827405942       0.1630428682
    319.4808757158       1.1758452561       0.1631318751
    325.1808757158       1.2670312321       0.1670143751
    330.8808757158       1.3151565456       0.1705853072
    336.5808757158       1.1416295803       0.1656514199
