# Energ loss (meV) 	Intensity (arb. units)	Error bar
   -234.3928586876       0.0719299636       0.1015107574
   -228.6928586876      -0.1474300196       0.0852036743
   -222.9928586876       0.0296254162       0.0970157764
   -217.2928586876      -0.1557808985       0.0831952334
   -211.5928586876       0.0277739948       0.0953588812
   -205.8928586876       0.0491255914       0.0965469012
   -200.1928586877       0.0352396832       0.0943890450
   -194.4928586877      -0.0665581247       0.0872685051
   -188.7928586877      -0.0353683712       0.0885448045
   -183.0928586877      -0.0106297790       0.0910114515
   -177.3928586877       0.0200536674       0.0906669555
   -171.6928586877       0.0139365656       0.0902987331
   -165.9928586877       0.0969916863       0.0953531190
   -160.2928586877       0.0540577049       0.0915460972
   -154.5928586878       0.0433843666       0.0906818559
   -148.8928586878      -0.0089615800       0.0863649630
   -143.1928586878      -0.0404215550       0.0840737172
   -137.4928586878      -0.0117875749       0.0850372473
   -131.7928586878      -0.0215594589       0.0841808318
   -126.0928586878       0.0241971380       0.0861619108
   -120.3928586878       0.0211874863       0.0857826935
   -114.6928586879       0.0109940973       0.0844122656
   -108.9928586879      -0.0684050749       0.0799517147
   -103.2928586879       0.0736256168       0.0869163598
    -97.5928586879       0.1179958079       0.0892527428
    -91.8928586879       0.0334182252       0.0835660787
    -86.1928586879       0.0730166954       0.0856770808
    -80.4928586879       0.0732032430       0.0848394186
    -74.7928586879       0.2552202673       0.0943505395
    -69.0928586880       0.1556078228       0.0883050551
    -63.3928586880       0.1487845406       0.0877933256
    -57.6928586880       0.1516895904       0.0871223175
    -51.9928586880       0.0930798974       0.0840184766
    -46.2928586880       0.2018967005       0.0892857449
    -40.5928586880       0.3049048178       0.0927472339
    -34.8928586880       0.4793775906       0.1005914422
    -29.1928586881       1.0738020525       0.1236608381
    -23.4928586881       1.7795157431       0.1460162490
    -17.7928586881       2.5433443516       0.1657999713
    -12.0928586881       3.7021715281       0.1928584739
     -6.3928586881       4.4083271442       0.2065139466
     -0.6928586881       4.9566186120       0.2187759228
      5.0071413119       4.9467450894       0.2171217681
     10.7071413119       4.3861786867       0.2074557796
     16.4071413118       3.8338258902       0.1944535340
     22.1071413118       3.1807994664       0.1811360495
     27.8071413118       2.5995459959       0.1655226277
     33.5071413118       2.3620951938       0.1594116769
     39.2071413118       2.3532377741       0.1594410932
     44.9071413118       1.9612266238       0.1497910589
     50.6071413118       2.5591056425       0.1647394829
     56.3071413117       2.4920006888       0.1641822947
     62.0071413117       2.6753778246       0.1677179085
     67.7071413117       2.6025639916       0.1673095105
     73.4071413117       2.6260751268       0.1678999940
     79.1071413117       2.9123337476       0.1747319338
     84.8071413117       2.4598278064       0.1622082134
     90.5071413117       2.3667454227       0.1609353663
     96.2071413117       2.5297944517       0.1637277596
    101.9071413116       2.4931223291       0.1628157724
    107.6071413116       2.2405490354       0.1561914041
    113.3071413116       1.9808564110       0.1491131622
    119.0071413116       2.0436340014       0.1508406139
    124.7071413116       1.9908408134       0.1496331135
    130.4071413116       1.8060150323       0.1456155112
    136.1071413116       1.9084297552       0.1488301454
    141.8071413115       1.7201034939       0.1445855143
    147.5071413115       1.6786855443       0.1435801729
    153.2071413115       1.5258252168       0.1401242458
    158.9071413115       1.3744615800       0.1354452683
    164.6071413115       1.3255075567       0.1350859300
    170.3071413115       1.1372020614       0.1288326227
    176.0071413115       1.0950397907       0.1283069562
    181.7071413115       1.1066736863       0.1279650124
    187.4071413114       0.8602347574       0.1211506511
    193.1071413114       0.7508531614       0.1170214859
    198.8071413114       0.8409537804       0.1218198741
    204.5071413114       0.7629303504       0.1189119561
    210.2071413114       0.9577261648       0.1279239021
    215.9071413114       0.8015344692       0.1219126876
    221.6071413114       0.5090210611       0.1104144640
    227.3071413114       0.4930424748       0.1098858530
    233.0071413113       0.4400726651       0.1085489591
    238.7071413113       0.6365182901       0.1178970557
    244.4071413113       0.5856870138       0.1168724401
    250.1071413113       0.6310275647       0.1191537193
    255.8071413113       0.4975048165       0.1142576715
    261.5071413113       0.7423299588       0.1255255779
    267.2071413113       0.7254567210       0.1250648921
    272.9071413112       0.6637617792       0.1237074827
    278.6071413112       0.8221373395       0.1310661184
    284.3071413112       0.8183535631       0.1324556055
    290.0071413112       0.9279880093       0.1375450833
    295.7071413112       1.1577242021       0.1487832699
    301.4071413112       1.2746804316       0.1538682907
    307.1071413112       1.3505280773       0.1583662449
    312.8071413112       1.0883637002       0.1468805624
    318.5071413111       1.2924796490       0.1588778492
    324.2071413111       1.2594617480       0.1579284602
    329.9071413111       1.0067693812       0.1492995512
    335.6071413111       1.3724606231       0.2328198332
