# Energ loss (meV) 	Intensity (arb. units)	Error bar
   -227.1196565266       0.2896978002       0.1254461510
   -221.4196565266       0.0358077781       0.1091672595
   -215.7196565266      -0.0234219562       0.0712070158
   -210.0196565266       0.0159192463       0.0637645718
   -204.3196565266      -0.0263722106       0.0610304856
   -198.6196565267       0.0564386522       0.0641438622
   -192.9196565267      -0.0539686820       0.0586865323
   -187.2196565267      -0.0446287759       0.0587060348
   -181.5196565267      -0.0728113927       0.0571250357
   -175.8196565267      -0.0947088422       0.0562490229
   -170.1196565267       0.0185124872       0.0598464888
   -164.4196565267      -0.0948587407       0.0558866157
   -158.7196565267      -0.0295170986       0.0581196681
   -153.0196565268      -0.0208555526       0.0579854221
   -147.3196565268       0.0167162629       0.0592488290
   -141.6196565268       0.0142574136       0.0587967741
   -135.9196565268      -0.0512696884       0.0552956117
   -130.2196565268       0.0132020747       0.0577962336
   -124.5196565268       0.0749019084       0.0593769849
   -118.8196565268      -0.0230406837       0.0552798738
   -113.1196565269       0.0296438618       0.0569791694
   -107.4196565269       0.0633356909       0.0576842441
   -101.7196565269       0.0109715433       0.0555722143
    -96.0196565269       0.0156966388       0.0550216692
    -90.3196565269       0.0179915307       0.0551546802
    -84.6196565269       0.1062393877       0.0573403714
    -78.9196565269       0.0698539014       0.0560162373
    -73.2196565269       0.1212113914       0.0575918364
    -67.5196565270       0.1165119083       0.0569952561
    -61.8196565270       0.1511590439       0.0579457072
    -56.1196565270       0.1106895483       0.0557071569
    -50.4196565270       0.1473064130       0.0567079039
    -44.7196565270       0.2234219080       0.0589462920
    -39.0196565270       0.4124956954       0.0641863374
    -33.3196565270       0.6071369031       0.0688240166
    -27.6196565271       0.9784804330       0.0766588699
    -21.9196565271       1.8721314607       0.0942281354
    -16.2196565271       2.8079410573       0.1091261880
    -10.5196565271       3.8130553850       0.1232881846
     -4.8196565271       4.6874115807       0.1345098630
      0.8803434729       4.9026160884       0.1360630345
      6.5803434729       4.4930004797       0.1313127862
     12.2803434729       3.6497023245       0.1193952070
     17.9803434728       3.0866641190       0.1121605431
     23.6803434728       2.1945406574       0.0976993448
     29.3803434728       1.5652024545       0.0874175887
     35.0803434728       1.3785727576       0.0833770662
     40.7803434728       1.2946661276       0.0816745321
     46.4803434728       1.1725699094       0.0790340831
     52.1803434728       1.2793922329       0.0815188068
     57.8803434727       1.3973037664       0.0831192381
     63.5803434727       1.5181782022       0.0857674338
     69.2803434727       1.5584621908       0.0865734414
     74.9803434727       1.4245362053       0.0845304284
     80.6803434727       1.7065086810       0.0896388669
     86.3803434727       1.6731980602       0.0892710715
     92.0803434727       1.6579255632       0.0890199884
     97.7803434727       1.7860833803       0.0913581418
    103.4803434726       1.7690272078       0.0906751060
    109.1803434726       1.7736694606       0.0900628282
    114.8803434726       1.7682702063       0.0897882332
    120.5803434726       1.5453105245       0.0854942889
    126.2803434726       1.4906378929       0.0850944306
    131.9803434726       1.3536083349       0.0824994428
    137.6803434726       1.3540090496       0.0827543219
    143.3803434725       1.1630058359       0.0790770114
    149.0803434725       1.1827247075       0.0802631615
    154.7803434725       1.1873188158       0.0806662864
    160.4803434725       0.9746083202       0.0766344668
    166.1803434725       0.9590065514       0.0767299960
    171.8803434725       0.8885320382       0.0757151548
    177.5803434725       0.9016148446       0.0762582390
    183.2803434725       0.7390766383       0.0725156584
    188.9803434724       0.7170648532       0.0724357600
    194.6803434724       0.7126666561       0.0733882415
    200.3803434724       0.7154832265       0.0732711002
    206.0803434724       0.5962743399       0.0711480689
    211.7803434724       0.6027292524       0.0714405848
    217.4803434724       0.5088106862       0.0692925763
    223.1803434724       0.3833489772       0.0660912686
    228.8803434723       0.4211588738       0.0675395263
    234.5803434723       0.5395804078       0.0715108466
    240.2803434723       0.5242413796       0.0720345877
    245.9803434723       0.5014843160       0.0712299381
    251.6803434723       0.5596749889       0.0730467366
    257.3803434723       0.6377414692       0.0756276594
    263.0803434723       0.6270696902       0.0761159376
    268.7803434723       0.7533832491       0.0799941428
    274.4803434722       0.6937791148       0.0788602643
    280.1803434722       0.7892109636       0.0816977157
    285.8803434722       1.0289578209       0.0888672831
    291.5803434722       1.0721023359       0.0897243730
    297.2803434722       1.1660919030       0.0926992525
    302.9803434722       1.0596611507       0.0918012264
    308.6803434722       1.1517777248       0.0941860621
    314.3803434722       1.1414379906       0.0950162737
    320.0803434721       1.2273072628       0.0966578677
    325.7803434721       1.2198750149       0.0975200054
    331.4803434721       1.0427116294       0.0934313151
    337.1803434721       1.0791111626       0.0960248702
    342.8803434721       1.2569007423       0.1105876001
    348.5803434721       1.3084215463       0.1266673789
    354.2803434721       1.1847842400       0.1949277312
