# Energ loss (meV) 	Intensity (arb. units)	Error bar
   -224.1541039977      -0.1250701348       0.0890907017
   -218.4541039977       0.0507903039       0.0732322767
   -212.7541039977       0.0403269606       0.0715768907
   -207.0541039977      -0.0044137616       0.0690542040
   -201.3541039977       0.0037434900       0.0685238378
   -195.6541039977       0.0482821906       0.0707663163
   -189.9541039978      -0.0566996249       0.0641656051
   -184.2541039978      -0.0207786120       0.0660451540
   -178.5541039978      -0.0158820562       0.0654324982
   -172.8541039978      -0.0957662056       0.0617406848
   -167.1541039978       0.0477084115       0.0677937107
   -161.4541039978      -0.0859972128       0.0605913344
   -155.7541039978      -0.0115202334       0.0646072011
   -150.0541039979      -0.0936946859       0.0593810702
   -144.3541039979      -0.0096395312       0.0638150341
   -138.6541039979      -0.0222172992       0.0623790273
   -132.9541039979       0.0564449058       0.0662133821
   -127.2541039979       0.1140607965       0.0680920778
   -121.5541039979       0.0205525290       0.0636112096
   -115.8541039979       0.1597697698       0.0692527862
   -110.1541039979       0.1105557420       0.0669891976
   -104.4541039980       0.1611718206       0.0684408228
    -98.7541039980       0.2009702660       0.0708768698
    -93.0541039980       0.0441717938       0.0624945665
    -87.3541039980       0.1071963394       0.0651848764
    -81.6541039980       0.1357059831       0.0657082496
    -75.9541039980       0.2442073408       0.0701338984
    -70.2541039980       0.2410209064       0.0692756593
    -64.5541039981       0.2581852425       0.0698687585
    -58.8541039981       0.2297554985       0.0680323791
    -53.1541039981       0.2113013922       0.0672202061
    -47.4541039981       0.3956105747       0.0734674656
    -41.7541039981       0.5564357056       0.0789379020
    -36.0541039981       0.6670074487       0.0825446893
    -30.3541039981       1.0262097079       0.0914240389
    -24.6541039981       1.7366347443       0.1091104224
    -18.9541039982       3.0897260258       0.1368019445
    -13.2541039982       4.6715824434       0.1633340807
     -7.5541039982       5.8149489790       0.1783093469
     -1.8541039982       6.7912493007       0.1912361955
      3.8458960018       7.0379282364       0.1925170781
      9.5458960018       6.4173973048       0.1861580297
     15.2458960018       5.7584609789       0.1757491893
     20.9458960018       4.8970892168       0.1648515567
     26.6458960017       4.4053006501       0.1560067780
     32.3458960017       3.7375059558       0.1465417100
     38.0458960017       3.5772260230       0.1426035449
     43.7458960017       3.8089537717       0.1463767168
     49.4458960017       3.5659460717       0.1422813721
     55.1458960017       3.4376970069       0.1414342621
     60.8458960017       3.3975386432       0.1395279499
     66.5458960016       3.2748311596       0.1385705440
     72.2458960016       3.3089201432       0.1380015791
     77.9458960016       3.1109913134       0.1356183271
     83.6458960016       2.8617308442       0.1311469010
     89.3458960016       2.5297802664       0.1247589666
     95.0458960016       2.4894399733       0.1228095919
    100.7458960016       2.3088168718       0.1201929960
    106.4458960016       2.1341006709       0.1156148499
    112.1458960015       2.0411147407       0.1135241635
    117.8458960015       1.8569230694       0.1095439418
    123.5458960015       1.6927194584       0.1058552546
    129.2458960015       1.8211994624       0.1087581788
    134.9458960015       1.5861928574       0.1033928484
    140.6458960015       1.5516388634       0.1035805689
    146.3458960015       1.4784168207       0.1018833828
    152.0458960014       1.2714398715       0.0977206191
    157.7458960014       1.1898575368       0.0956594701
    163.4458960014       1.2847665665       0.0991090891
    169.1458960014       1.1338433496       0.0951971472
    174.8458960014       1.0894071732       0.0949439627
    180.5458960014       1.0056845780       0.0926751333
    186.2458960014       0.9838072643       0.0930204040
    191.9458960014       0.7780998940       0.0860946248
    197.6458960013       0.7635872492       0.0873264553
    203.3458960013       0.7078426726       0.0857297722
    209.0458960013       0.6738094805       0.0855713584
    214.7458960013       0.7677778420       0.0886663008
    220.4458960013       0.5713518815       0.0831127478
    226.1458960013       0.6670029297       0.0864515595
    231.8458960013       0.6722091607       0.0876193711
    237.5458960012       0.4999912374       0.0816922609
    243.2458960012       0.6292023247       0.0872610514
    248.9458960012       0.6635974314       0.0885264291
    254.6458960012       0.7270455750       0.0917576416
    260.3458960012       0.6609605515       0.0895999377
    266.0458960012       0.7985399833       0.0954093356
    271.7458960012       0.7407307258       0.0935666182
    277.4458960012       0.7662445875       0.0944233900
    283.1458960011       0.9512290632       0.1017680606
    288.8458960011       0.7976980784       0.0967954140
    294.5458960011       1.2422886614       0.1123411937
    300.2458960011       1.0650753097       0.1069699573
    305.9458960011       1.1666502829       0.1115968889
    311.6458960011       1.3203199175       0.1164156865
    317.3458960011       1.1687397465       0.1133506415
    323.0458960010       1.0475684978       0.1081326334
    328.7458960010       1.1044058473       0.1128625741
    334.4458960010       1.1914069990       0.1159509243
    340.1458960010       0.9961333421       0.1111442364
    345.8458960010       1.2549628313       0.1198351468
