# Energ loss (meV) 	Intensity (arb. units)	Error bar
   -179.6041722048      -0.1326377217       0.3424184361
   -173.9041722048       0.2370524098       0.2668250968
   -168.2041722048      -0.1350460561       0.2386446969
   -162.5041722048       0.3274254067       0.2680890810
   -156.8041722048       0.4695721647       0.2725115127
   -151.1041722048      -0.1786162744       0.2314977592
   -145.4041722048      -0.0265110429       0.2382088961
   -139.7041722048      -0.0931885208       0.2336090968
   -134.0041722048      -0.3881516908       0.2105823144
   -128.3041722048       0.2535977321       0.2515619109
   -122.6041722048      -0.0002188878       0.2361244752
   -116.9041722048      -0.3332775188       0.2112565059
   -111.2041722048       0.1278084199       0.2405296872
   -105.5041722048      -0.2071123328       0.2166799162
    -99.8041722047       0.0553400887       0.2328725320
    -94.1041722047      -0.1184682109       0.2193690442
    -88.4041722047       0.3600381282       0.2470705644
    -82.7041722047       0.5509528473       0.2541990968
    -77.0041722047       0.6039388150       0.2567232385
    -71.3041722047       0.4309498137       0.2446460205
    -65.6041722047       0.5907625088       0.2527107284
    -59.9041722047       0.4488671100       0.2424964135
    -54.2041722047       1.2903457029       0.2826692282
    -48.5041722047       1.1964507388       0.2753033883
    -42.8041722047       1.8156475846       0.3050598175
    -37.1041722047       3.3057081027       0.3533706401
    -31.4041722047       6.9617873287       0.4608140019
    -25.7041722047      12.2909965437       0.5770288090
    -20.0041722046      19.5585896779       0.7092051256
    -14.3041722046      31.7540955880       0.8884566086
     -8.6041722046      42.5571674108       1.0100482170
     -2.9041722046      49.2629114758       1.0829344179
      2.7958277954      51.9147521968       1.0988926540
      8.4958277954      45.1636283351       1.0270153925
     14.1958277954      37.6733284442       0.9321765732
     19.8958277954      29.4196664122       0.8283729409
     25.5958277954      24.2889094436       0.7499482182
     31.2958277954      19.3031765859       0.6742223858
     36.9958277954      13.3114588975       0.5655556775
     42.6958277954      12.1759331390       0.5433366829
     48.3958277954      10.0366386932       0.5003777060
     54.0958277954       9.1236435430       0.4807763955
     59.7958277954       8.1085755462       0.4581705691
     65.4958277955       7.1370368231       0.4394335007
     71.1958277955       5.7728805420       0.4012781053
     76.8958277955       5.6792369722       0.3984789383
     82.5958277955       4.4461745302       0.3645834953
     88.2958277955       5.2204275344       0.3862048707
     93.9958277955       4.4876751863       0.3693278295
     99.6958277955       3.4543474510       0.3349777785
    105.3958277955       3.7621661626       0.3476797417
    111.0958277955       3.0653321632       0.3225355142
    116.7958277955       2.9455353508       0.3184143098
    122.4958277955       2.6713554473       0.3092414132
    128.1958277955       2.6736344306       0.3092840577
    133.8958277955       2.4032870328       0.2999429222
    139.5958277955       1.9676424962       0.2843040017
    145.2958277956       2.0719423476       0.2881266470
    150.9958277956       1.4674199919       0.2650986758
    156.6958277956       1.7656176267       0.2766804351
    162.3958277956       1.3306612945       0.2596756234
    168.0958277956       1.3211423722       0.2592936822
    173.7958277956       1.2819644044       0.2576218573
    179.4958277956       0.9398537917       0.2433646497
    185.1958277956       1.0230258253       0.2468919376
    190.8958277956       0.8433919687       0.2415169230
    196.5958277956       0.9871646332       0.2479519105
    202.2958277956       0.6640308151       0.2358955607
    207.9958277956       0.6036377149       0.2332777129
    213.6958277956       0.3460312708       0.2231567572
    219.3958277956       0.1582767933       0.2136447743
    225.0958277957       0.5045722033       0.2310895432
    230.7958277957       0.3871452624       0.2253112323
    236.4958277957       0.3906558673       0.2255170192
    242.1958277957       0.2636039333       0.2237563871
    247.8958277957       0.0817621358       0.2143905902
    253.5958277957       0.1825774633       0.2222696476
    259.2958277957      -0.1287230135       0.2049531799
    264.9958277957      -0.0494727908       0.2119444522
    270.6958277957      -0.1303552918       0.2072959924
    276.3958277957       0.2974399977       0.2339960363
    282.0958277957       0.1620442201       0.2267433857
    287.7958277957      -0.2041826477       0.2078547582
    293.4958277957      -0.2248538240       0.2067238398
    299.1958277957      -0.1966447916       0.2111029188
    304.8958277957       0.0681148900       0.2272957152
    310.5958277958      -0.0085039764       0.2255164259
    316.2958277958      -0.2540175687       0.2103653534
    321.9958277958       0.0009758895       0.2292449820
    327.6958277958      -0.1662635022       0.2190170864
    333.3958277958      -0.3010298534       0.2129236740
    339.0958277958       0.1249781702       0.2401904380
    344.7958277958      -0.0782101199       0.2276609055
    350.4958277958       0.0147314119       0.2367283723
    356.1958277958       0.0144919913       0.2368271019
    361.8958277958       0.0826482992       0.2444844191
    367.5958277958      -0.0926132951       0.2334274026
    373.2958277958      -0.1937341583       0.2301139017
    378.9958277958       0.1617406631       0.2533849396
    384.6958277958       0.0263438862       0.2484965104
    390.3958277959       0.3542547657       0.2652976180
