# Energ loss (meV) 	Intensity (arb. units)	Error bar
   -180.7633940173      -0.3124524331       0.2777588511
   -175.0633940173       0.0288976335       0.2231213570
   -169.3633940173       0.3916316789       0.2463993334
   -163.6633940173      -0.2161175527       0.2010162937
   -157.9633940173       0.0612355190       0.2196901174
   -152.2633940173      -0.3104442086       0.1904134031
   -146.5633940173       0.2655026590       0.2305116212
   -140.8633940173       0.4378455582       0.2396944863
   -135.1633940173       0.1457831055       0.2189464054
   -129.4633940173      -0.2973001541       0.1857552363
   -123.7633940173       0.0352538660       0.2100595887
   -118.0633940173      -0.2298356715       0.1896668417
   -112.3633940172       0.3262880706       0.2258934066
   -106.6633940172      -0.2388655487       0.1861390148
   -100.9633940172       0.2567441081       0.2184535284
    -95.2633940172      -0.0144883907       0.1994896814
    -89.5633940172       0.1283279304       0.2073800696
    -83.8633940172       0.1312657721       0.2057928279
    -78.1633940172      -0.2970530433       0.1757459177
    -72.4633940172      -0.0041453718       0.1948744061
    -66.7633940172      -0.0124083746       0.1930709897
    -61.0633940172       0.0454220221       0.1952983067
    -55.3633940172      -0.1384732994       0.1822993585
    -49.6633940172      -0.0757612145       0.1850851920
    -43.9633940172       0.3010455731       0.2086262320
    -38.2633940172       0.3099946676       0.2073653003
    -32.5633940171       0.8684955566       0.2349764837
    -26.8633940171       0.8462729022       0.2321506232
    -21.1633940171       1.9808231533       0.2816927362
    -15.4633940171       2.4268537138       0.2992438317
     -9.7633940171       3.5756136503       0.3383279727
     -4.0633940171       3.9114567823       0.3474049428
      1.6366059829       4.1450258845       0.3525859448
      7.3366059829       4.4791421862       0.3611373210
     13.0366059829       3.3373730924       0.3229092476
     18.7366059829       3.2377293534       0.3178481753
     24.4366059829       3.1989655654       0.3147830811
     30.1366059829       3.1811971825       0.3125632109
     35.8366059829       3.7435444686       0.3290082409
     41.5366059829       4.1631746446       0.3402727651
     47.2366059830       3.6786021443       0.3253451779
     52.9366059830       4.3651262614       0.3462902757
     58.6366059830       5.1233162486       0.3680035958
     64.3366059830       5.0243765815       0.3671523760
     70.0366059830       5.8661665824       0.3900228822
     75.7366059830       6.3116575149       0.3997175272
     81.4366059830       6.9242155256       0.4151006189
     87.1366059830       7.4773303344       0.4285003657
     92.8366059830       7.8444135277       0.4397071324
     98.5366059830       7.5181989187       0.4316813891
    104.2366059830       7.3130452286       0.4270546074
    109.9366059830       7.2405872834       0.4249232591
    115.6366059830       7.1762780757       0.4213223958
    121.3366059830       7.1694398093       0.4211153396
    127.0366059830       6.6823858599       0.4091057172
    132.7366059831       6.8024398115       0.4120620998
    138.4366059831       6.1142912997       0.3946157319
    144.1366059831       5.1274886538       0.3681581793
    149.8366059831       4.4789100410       0.3496361748
    155.5366059831       4.2159282189       0.3418344686
    161.2366059831       3.8157288086       0.3296503825
    166.9366059831       2.6095085610       0.2897591733
    172.6366059831       2.9456639220       0.3014226744
    178.3366059831       3.0012674415       0.3032829910
    184.0366059831       1.8722394424       0.2624431240
    189.7366059831       2.1217475904       0.2733828267
    195.4366059831       2.2044957372       0.2779597113
    201.1366059831       1.5087432731       0.2517670082
    206.8366059831       1.4471936921       0.2505637489
    212.5366059832       1.0314400243       0.2334161307
    218.2366059832       1.0040285658       0.2334121745
    223.9366059832       1.3378765199       0.2485810376
    229.6366059832       0.5561616114       0.2114518962
    235.3366059832       1.0010873534       0.2333289279
    241.0366059832       0.4813882850       0.2100806220
    246.7366059832       0.7293719804       0.2252657332
    252.4366059832       0.6786201819       0.2239090720
    258.1366059832       0.7508405724       0.2290528802
    263.8366059832       0.7789408476       0.2320254760
    269.5366059832       0.3796606676       0.2117486215
    275.2366059832       0.5995174584       0.2254754056
    280.9366059832       0.5576918463       0.2243743944
    286.6366059832       0.6475598150       0.2306583358
    292.3366059833       0.5868807960       0.2288487649
    298.0366059833       0.9259307573       0.2482129407
    303.7366059833       0.7923139188       0.2430420037
    309.4366059833       1.2779338899       0.2693178448
    315.1366059833       1.0118462996       0.2578408926
    320.8366059833       1.2177889879       0.2699782589
    326.5366059833       1.0676629986       0.2642992227
    332.2366059833       1.0416628510       0.2651383752
    337.9366059833       1.4286562126       0.2862845394
    343.6366059833       1.1400275490       0.2718267155
    349.3366059833       1.3532499927       0.2851972319
    355.0366059833       1.5604333643       0.2969759582
    360.7366059833       1.1078821921       0.2764347384
    366.4366059833       1.6823942870       0.3073935219
    372.1366059833       0.9847299532       0.2738821580
    377.8366059834       1.5134339392       0.3037610437
    383.5366059834       1.3921147077       0.2997415656
    389.2366059834       1.4047924801       0.3002492745
