# Energ loss (meV) 	Intensity (arb. units)	Error bar
   -174.2812059305       0.0995833746       0.2279973685
   -168.5812059305       0.2230356868       0.2354146219
   -162.8812059305      -0.2591874377       0.1970398256
   -157.1812059305       0.0181983161       0.2173248144
   -151.4812059305      -0.0765397895       0.2080212810
   -145.7812059304      -0.0261489619       0.2104726467
   -140.0812059304       0.0129887698       0.2113374127
   -134.3812059304       0.0957546892       0.2160069710
   -128.6812059304      -0.0215109274       0.2057721738
   -122.9812059304       0.0423277401       0.2102828582
   -117.2812059304       0.2038794853       0.2202842351
   -111.5812059304      -0.3123809455       0.1813460698
   -105.8812059304      -0.2849981261       0.1827303486
   -100.1812059304       0.1766886266       0.2132447057
    -94.4812059304       0.4774385423       0.2305367775
    -88.7812059304      -0.3013158642       0.1772233722
    -83.0812059304       0.1640620775       0.2084149306
    -77.3812059304       0.1743759035       0.2074136023
    -71.6812059304       0.5422954245       0.2280842094
    -65.9812059304       0.0618314367       0.1975804969
    -60.2812059303      -0.1943906997       0.1794048743
    -54.5812059303      -0.0989882490       0.1845969979
    -48.8812059303       0.0629131691       0.1943082771
    -43.1812059303      -0.1128643026       0.1824146952
    -37.4812059303       0.5212658257       0.2202104300
    -31.7812059303       0.7655085375       0.2299669522
    -26.0812059303       1.3241508751       0.2555346480
    -20.3812059303       2.1412392268       0.2888314633
    -14.6812059303       3.5234384554       0.3396425449
     -8.9812059303       4.0451259173       0.3550475936
     -3.2812059303       4.6872312522       0.3728432587
      2.4187940697       5.4733791281       0.3939448823
      8.1187940697       5.1990718075       0.3837233835
     13.8187940697       5.5250148303       0.3909870468
     19.5187940698       4.4549669213       0.3577154836
     25.2187940698       5.3048312058       0.3806910547
     30.9187940698       4.8862668860       0.3665613267
     36.6187940698       4.8795738089       0.3645751453
     42.3187940698       4.9135034990       0.3634672155
     48.0187940698       4.8644794866       0.3620546166
     53.7187940698       5.3731335684       0.3763312697
     59.4187940698       5.2351827360       0.3724640626
     65.1187940698       4.7717020751       0.3609370598
     70.8187940698       4.7559001762       0.3610270465
     76.5187940698       5.0637074611       0.3677026381
     82.2187940698       4.0714629696       0.3386465066
     87.9187940698       3.7306335802       0.3280777383
     93.6187940698       2.9690320548       0.3043181851
     99.3187940699       3.0929509862       0.3092253563
    105.0187940699       3.1307041795       0.3099372159
    110.7187940699       2.5292197043       0.2895651792
    116.4187940699       2.5140093482       0.2871844921
    122.1187940699       2.3070602584       0.2796051267
    127.8187940699       2.4109331098       0.2834389824
    133.5187940699       1.8337241452       0.2615137511
    139.2187940699       1.3606461115       0.2420961286
    144.9187940699       1.6889813055       0.2557047395
    150.6187940699       1.1880222955       0.2345771094
    156.3187940699       1.4813068480       0.2471761994
    162.0187940699       1.0776395669       0.2296649204
    167.7187940699       0.8639030185       0.2197843795
    173.4187940699       0.6510902535       0.2095553175
    179.1187940699       0.5873058771       0.2063863940
    184.8187940700       0.8653296048       0.2198905080
    190.5187940700       0.9465840272       0.2246950898
    196.2187940700       0.5521926863       0.2067916088
    201.9187940700       0.3309578938       0.1961472434
    207.6187940700       0.5292879740       0.2078599400
    213.3187940700       0.4661147053       0.2056010866
    219.0187940700       0.4273371070       0.2047269574
    224.7187940700       0.3759693951       0.2019578622
    230.4187940700       0.7834073847       0.2231172722
    236.1187940700       0.3059453051       0.1980931447
    241.8187940700       0.2628419475       0.1977004492
    247.5187940700       0.5696494921       0.2171688958
    253.2187940700       0.2788455582       0.2021303999
    258.9187940700       0.3815365580       0.2093599779
    264.6187940701       0.1814048320       0.1987575796
    270.3187940701       0.3489146517       0.2100085790
    276.0187940701       0.3416097949       0.2107896571
    281.7187940701       0.1686288345       0.2018027125
    287.4187940701       0.4577731513       0.2199226773
    293.1187940701       0.8857432088       0.2450055226
    298.8187940701       1.0888437617       0.2566446969
    304.5187940701       0.6289607609       0.2342993921
    310.2187940701       0.9479920389       0.2527448139
    315.9187940701       1.4744946029       0.2812236203
    321.6187940701       1.6312549581       0.2901553476
    327.3187940701       1.7790434110       0.2994949475
    333.0187940701       1.5090849607       0.2883265502
    338.7187940701       1.6878437417       0.2994522032
    344.4187940702       2.5977201341       0.3398835060
    350.1187940702       1.7890028104       0.3061360308
    355.8187940702       2.5899310609       0.3445253781
    361.5187940702       1.9077476575       0.3162538959
    367.2187940702       2.3866528558       0.3408680036
    372.9187940702       1.9377320890       0.3223024349
    378.6187940702       2.2852306136       0.3415654807
    384.3187940702       1.7570901003       0.3186030871
    390.0187940702       2.4393044182       0.3522192895
    395.7187940702       2.0079022997       0.4649601950
