# Energ loss (meV) 	Intensity (arb. units)	Error bar
   -233.5930559746      -0.1206431007       0.1310522086
   -227.8930559746       0.0163569411       0.1032777823
   -222.1930559746      -0.0543759174       0.0971797915
   -216.4930559746       0.1534270223       0.1110216733
   -210.7930559746      -0.0171896612       0.0984477127
   -205.0930559746       0.0007426888       0.0988971450
   -199.3930559746       0.0472753645       0.1015416579
   -193.6930559746       0.1564260869       0.1077791382
   -187.9930559747       0.0083368899       0.0971024943
   -182.2930559747       0.0638044011       0.1010116130
   -176.5930559747      -0.0680504939       0.0910313044
   -170.8930559747      -0.0594613177       0.0903416001
   -165.1930559747      -0.0337691421       0.0921551199
   -159.4930559747      -0.1431690710       0.0836788654
   -153.7930559747       0.0480592358       0.0963375319
   -148.0930559748       0.0121547548       0.0932739434
   -142.3930559748      -0.0806273914       0.0863644718
   -136.6930559748      -0.0374041520       0.0891495857
   -130.9930559748      -0.0738968456       0.0856773122
   -125.2930559748       0.0117520799       0.0908217269
   -119.5930559748       0.1528386050       0.0988829040
   -113.8930559748       0.0174130229       0.0900684010
   -108.1930559748       0.1996707408       0.1009608905
   -102.4930559749       0.2423675418       0.1025436482
    -96.7930559749       0.3532104825       0.1072687591
    -91.0930559749       0.2413786820       0.1006060976
    -85.3930559749       0.2644236407       0.1013785721
    -79.6930559749       0.2946775846       0.1023287618
    -73.9930559749       0.2220784362       0.0979227021
    -68.2930559749       0.5209101980       0.1122071195
    -62.5930559750       0.2110293540       0.0961823719
    -56.8930559750       0.3244639591       0.1016292595
    -51.1930559750       0.5105443181       0.1097897340
    -45.4930559750       0.4011951347       0.1046751552
    -39.7930559750       0.7570632832       0.1190292884
    -34.0930559750       1.5564343427       0.1468746254
    -28.3930559750       2.9080116503       0.1858281904
    -22.6930559750       4.1698556264       0.2159266538
    -16.9930559751       6.8986270384       0.2684571240
    -11.2930559751       9.5989302958       0.3108560130
     -5.5930559751      11.8879432200       0.3419950531
      0.1069440249      12.6794803338       0.3525422339
      5.8069440249      11.9241729793       0.3424573102
     11.5069440249      10.2163025880       0.3184709402
     17.2069440249       7.8587898289       0.2818304606
     22.9069440248       6.4044791726       0.2568643066
     28.6069440248       3.8324725063       0.2051128631
     34.3069440248       2.9043534916       0.1818850120
     40.0069440248       2.5080073113       0.1715717789
     45.7069440248       1.7895054556       0.1518494591
     51.4069440248       1.8117317597       0.1527059301
     57.1069440248       1.7454449314       0.1505551776
     62.8069440248       1.7453320801       0.1506171877
     68.5069440247       1.4746847734       0.1419079365
     74.2069440247       1.8148103157       0.1534496651
     79.9069440247       1.5254015497       0.1443173322
     85.6069440247       1.5025465325       0.1429117246
     91.3069440247       1.1126313788       0.1295394236
     97.0069440247       1.2871903582       0.1356534063
    102.7069440247       0.9459507135       0.1227391546
    108.4069440246       1.1847620536       0.1313909844
    114.1069440246       1.0658184800       0.1271729680
    119.8069440246       1.1197425899       0.1291284291
    125.5069440246       0.6704858097       0.1119621399
    131.2069440246       0.9815180414       0.1247384114
    136.9069440246       0.8564404522       0.1205804095
    142.6069440246       0.6582751170       0.1132461816
    148.3069440246       0.9472879480       0.1253761564
    154.0069440245       0.6053584900       0.1120789957
    159.7069440245       0.5621143624       0.1108663209
    165.4069440245       0.6064649352       0.1134307049
    171.1069440245       0.5503891729       0.1115409086
    176.8069440245       0.6432637626       0.1162322516
    182.5069440245       0.6443358922       0.1163200648
    188.2069440245       0.4724402545       0.1091044277
    193.9069440244       0.4501477871       0.1093550408
    199.6069440244       0.5901194636       0.1165652042
    205.3069440244       0.4879520360       0.1124831826
    211.0069440244       0.3584479595       0.1066755591
    216.7069440244       0.4608975074       0.1125132882
    222.4069440244       0.5557250643       0.1178685083
    228.1069440244       0.4670545296       0.1142318861
    233.8069440244       0.3124994209       0.1070278101
    239.5069440243       0.5779551255       0.1210883392
    245.2069440243       0.5013263787       0.1181306048
    250.9069440243       0.4575751874       0.1167614561
    256.6069440243       0.4626292583       0.1177925547
    262.3069440243       0.6956802581       0.1299342453
    268.0069440243       0.7920586263       0.1343760184
    273.7069440243       0.8394811511       0.1375073976
    279.4069440242       0.9592759437       0.1436632185
    285.1069440242       1.1952692957       0.1546594210
    290.8069440242       0.8645051874       0.1414761510
    296.5069440242       1.0696641526       0.1516135939
    302.2069440242       1.0028527672       0.1497877956
    307.9069440242       1.4604890759       0.1701533089
    313.6069440242       1.2975064202       0.1635678860
    319.3069440242       1.1030707058       0.1563181322
    325.0069440241       1.1359705667       0.1602857939
    330.7069440241       1.1355486306       0.1614803634
    336.4069440241       1.5284227731       0.1795659778
