# 	2theta (deg)	Background (arb. units)	Structural peak (arb. units)
    119.5042934128         -0.0439506520                0.0107590961
    119.5542934128         -0.0443051655                0.0109769632
    119.6042934128         -0.0446596790                0.0112015093
    119.6542934128         -0.0450141925                0.0114330100
    119.7042934128         -0.0453687060                0.0116717552
    119.7542934128         -0.0457232195                0.0119180500
    119.8042934128         -0.0460777330                0.0121722159
    119.8542934128         -0.0464322465                0.0124345914
    119.9042934128         -0.0467867600                0.0127055337
    119.9542934128         -0.0471412735                0.0129854193
    120.0042934128         -0.0474957870                0.0132746458
    120.0542934128         -0.0478503005                0.0135736330
    120.1042934128         -0.0482048140                0.0138828246
    120.1542934128         -0.0485593275                0.0142026899
    120.2042934128         -0.0489138410                0.0145337251
    120.2542934128         -0.0492683545                0.0148764559
    120.3042934128         -0.0496228680                0.0152314390
    120.3542934128         -0.0499773815                0.0155992647
    120.4042934128         -0.0503318950                0.0159805593
    120.4542934128         -0.0506864085                0.0163759875
    120.5042934128         -0.0510409220                0.0167862556
    120.5542934128         -0.0513954355                0.0172121145
    120.6042934128         -0.0517499490                0.0176543631
    120.6542934128         -0.0521044625                0.0181138521
    120.7042934128         -0.0524589760                0.0185914880
    120.7542934128         -0.0528134895                0.0190882376
    120.8042934128         -0.0531680030                0.0196051328
    120.8542934128         -0.0535225165                0.0201432759
    120.9042934128         -0.0538770300                0.0207038457
    120.9542934128         -0.0542315435                0.0212881036
    121.0042934128         -0.0545860570                0.0218974008
    121.0542934128         -0.0549405705                0.0225331862
    121.1042934128         -0.0552950840                0.0231970146
    121.1542934128         -0.0556495975                0.0238905565
    121.2042934128         -0.0560041110                0.0246156083
    121.2542934128         -0.0563586245                0.0253741040
    121.3042934128         -0.0567131380                0.0261681281
    121.3542934128         -0.0570676515                0.0269999293
    121.4042934128         -0.0574221650                0.0278719371
    121.4542934128         -0.0577766785                0.0287867787
    121.5042934128         -0.0581311920                0.0297472989
    121.5542934128         -0.0584857055                0.0307565824
    121.6042934128         -0.0588402190                0.0318179774
    121.6542934128         -0.0591947325                0.0329351243
    121.7042934128         -0.0595492460                0.0341119857
    121.7542934128         -0.0599037595                0.0353528817
    121.8042934128         -0.0602582730                0.0366625288
    121.8542934128         -0.0606127865                0.0380460848
    121.9042934128         -0.0609673000                0.0395091984
    121.9542934128         -0.0613218135                0.0410580667
    122.0042934128         -0.0616763270                0.0426994999
    122.0542934128         -0.0620308405                0.0444409953
    122.1042934128         -0.0623853540                0.0462908217
    122.1542934128         -0.0627398675                0.0482581164
    122.2042934128         -0.0630943810                0.0503529966
    122.2542934128         -0.0634488944                0.0525866876
    122.3042934128         -0.0638034079                0.0549716708
    122.3542934128         -0.0641579214                0.0575218555
    122.4042934128         -0.0645124349                0.0602527785
    122.4542934128         -0.0648669484                0.0631818366
    122.5042934128         -0.0652214619                0.0663285587
    122.5542934128         -0.0655759754                0.0697149253
    122.6042934128         -0.0659304889                0.0733657450
    122.6542934128         -0.0662850024                0.0773090991
    122.7042934128         -0.0666395159                0.0815768697
    122.7542934128         -0.0669940294                0.0862053697
    122.8042934128         -0.0673485429                0.0912360957
    122.8542934128         -0.0677030564                0.0967166342
    122.9042934128         -0.0680575699                0.1027017556
    122.9542934128         -0.0684120834                0.1092547422
    123.0042934128         -0.0687665969                0.1164490082
    123.0542934128         -0.0691211104                0.1243700868
    123.1042934128         -0.0694756239                0.1331180806
    123.1542934128         -0.0698301374                0.1428107031
    123.2042934128         -0.0701846509                0.1535870787
    123.2542934128         -0.0705391644                0.1656125320
    123.3042934128         -0.0708936779                0.1790846919
    123.3542934128         -0.0712481914                0.1942414085
    123.4042934128         -0.0716027049                0.2113712987
    123.4542934128         -0.0719572184                0.2308283658
    123.5042934128         -0.0723117319                0.2530533574
    123.5542934128         -0.0726662454                0.2786067750
    123.6042934128         -0.0730207589                0.3082222508
    123.6542934128         -0.0733752724                0.3428946503
    123.7042934128         -0.0737297859                0.3840240845
    123.7542934128         -0.0740842994                0.4336422680
    123.8042934128         -0.0744388129                0.4947454546
    123.8542934128         -0.0747933264                0.5717396074
    123.9042934128         -0.0751478399                0.6709597354
    123.9542934128         -0.0755023534                0.8011548119
    124.0042934128         -0.0758568669                0.9737467170
    124.0542934128         -0.0762113804                1.2026098359
    124.1042934128         -0.0765658939                1.5031154656
    124.1542934128         -0.0769204074                1.8902408512
    124.2042934128         -0.0772749209                2.3755459769
    124.2542934128         -0.0776294344                2.9625065790
    124.3042934128         -0.0779839479                3.6388104609
    124.3542934128         -0.0783384614                4.3634877180
    124.4042934128         -0.0786929749                5.0501578374
    124.4542934128         -0.0790474884                5.5624516412
    124.5042934128         -0.0794020019                5.7551073766
    124.5542934128         -0.0797565154                5.5624516412
    124.6042934128         -0.0801110289                5.0501578374
    124.6542934128         -0.0804655424                4.3634877180
    124.7042934128         -0.0808200559                3.6388104609
    124.7542934128         -0.0811745694                2.9625065790
    124.8042934128         -0.0815290829                2.3755459769
    124.8542934128         -0.0818835964                1.8902408512
    124.9042934128         -0.0822381099                1.5031154656
    124.9542934128         -0.0825926234                1.2026098359
    125.0042934128         -0.0829471369                0.9737467170
    125.0542934128         -0.0833016504                0.8011548119
    125.1042934128         -0.0836561639                0.6709597354
    125.1542934128         -0.0840106774                0.5717396074
    125.2042934128         -0.0843651909                0.4947454546
    125.2542934128         -0.0847197043                0.4336422680
    125.3042934128         -0.0850742178                0.3840240845
    125.3542934128         -0.0854287313                0.3428946503
    125.4042934128         -0.0857832448                0.3082222508
    125.4542934128         -0.0861377583                0.2786067750
    125.5042934128         -0.0864922718                0.2530533574
    125.5542934128         -0.0868467853                0.2308283658
    125.6042934128         -0.0872012988                0.2113712987
    125.6542934128         -0.0875558123                0.1942414085
    125.7042934128         -0.0879103258                0.1790846919
    125.7542934128         -0.0882648393                0.1656125320
    125.8042934128         -0.0886193528                0.1535870787
    125.8542934128         -0.0889738663                0.1428107031
    125.9042934128         -0.0893283798                0.1331180806
    125.9542934128         -0.0896828933                0.1243700868
    126.0042934128         -0.0900374068                0.1164490082
    126.0542934128         -0.0903919203                0.1092547422
    126.1042934128         -0.0907464338                0.1027017556
    126.1542934128         -0.0911009473                0.0967166342
    126.2042934128         -0.0914554608                0.0912360957
    126.2542934128         -0.0918099743                0.0862053697
    126.3042934128         -0.0921644878                0.0815768697
    126.3542934128         -0.0925190013                0.0773090991
