# 	2theta (deg)	Background (arb. units)	Structural peak (arb. units)
    119.6076187611          0.1764377681                0.0086098707
    119.6576187611          0.1795348424                0.0087841411
    119.7076187611          0.1826319168                0.0089637508
    119.7576187611          0.1857289911                0.0091489201
    119.8076187611          0.1888260655                0.0093398804
    119.8576187611          0.1919231398                0.0095368755
    119.9076187611          0.1950202141                0.0097401621
    119.9576187611          0.1981172885                0.0099500106
    120.0076187611          0.2012143628                0.0101667063
    120.0576187611          0.2043114372                0.0103905498
    120.1076187611          0.2074085115                0.0106218587
    120.1576187611          0.2105055858                0.0108609681
    120.2076187611          0.2136026602                0.0111082324
    120.2576187611          0.2166997345                0.0113640261
    120.3076187611          0.2197968089                0.0116287456
    120.3576187611          0.2228938832                0.0119028103
    120.4076187611          0.2259909575                0.0121866647
    120.4576187611          0.2290880319                0.0124807801
    120.5076187611          0.2321851062                0.0127856562
    120.5576187611          0.2352821806                0.0131018235
    120.6076187611          0.2383792549                0.0134298458
    120.6576187611          0.2414763292                0.0137703221
    120.7076187611          0.2445734036                0.0141238899
    120.7576187611          0.2476704779                0.0144912278
    120.8076187611          0.2507675523                0.0148730592
    120.8576187611          0.2538646266                0.0152701550
    120.9076187611          0.2569617009                0.0156833384
    120.9576187611          0.2600587753                0.0161134886
    121.0076187611          0.2631558496                0.0165615454
    121.0576187611          0.2662529240                0.0170285146
    121.1076187611          0.2693499983                0.0175154737
    121.1576187611          0.2724470726                0.0180235773
    121.2076187611          0.2755441470                0.0185540650
    121.2576187611          0.2786412213                0.0191082679
    121.3076187611          0.2817382957                0.0196876175
    121.3576187611          0.2848353700                0.0202936549
    121.4076187611          0.2879324443                0.0209280403
    121.4576187611          0.2910295187                0.0215925650
    121.5076187611          0.2941265930                0.0222891637
    121.5576187611          0.2972236674                0.0230199283
    121.6076187611          0.3003207417                0.0237871236
    121.6576187611          0.3034178160                0.0245932045
    121.7076187611          0.3065148904                0.0254408358
    121.7576187611          0.3096119647                0.0263329137
    121.8076187611          0.3127090391                0.0272725903
    121.8576187611          0.3158061134                0.0282633010
    121.9076187611          0.3189031877                0.0293087962
    121.9576187611          0.3220002621                0.0304131752
    122.0076187611          0.3250973364                0.0315809271
    122.0576187611          0.3281944108                0.0328169750
    122.1076187611          0.3312914851                0.0341267274
    122.1576187611          0.3343885594                0.0355161366
    122.2076187611          0.3374856338                0.0369917655
    122.2576187611          0.3405827081                0.0385608635
    122.3076187611          0.3436797825                0.0402314543
    122.3576187611          0.3467768568                0.0420124367
    122.4076187611          0.3498739311                0.0439137013
    122.4576187611          0.3529710055                0.0459462649
    122.5076187611          0.3560680798                0.0481224273
    122.5576187611          0.3591651542                0.0504559535
    122.6076187611          0.3622622285                0.0529622867
    122.6576187611          0.3653593028                0.0556587982
    122.7076187611          0.3684563772                0.0585650815
    122.7576187611          0.3715534515                0.0617032990
    122.8076187611          0.3746505259                0.0650985938
    122.8576187611          0.3777476002                0.0687795794
    122.9076187611          0.3808446745                0.0727789245
    122.9576187611          0.3839417489                0.0771340558
    123.0076187611          0.3870388232                0.0818880042
    123.0576187611          0.3901358976                0.0870904307
    123.1076187611          0.3932329719                0.0927988752
    123.1576187611          0.3963300462                0.0990802850
    123.2076187611          0.3994271206                0.1060129007
    123.2576187611          0.4025241949                0.1136886019
    123.3076187611          0.4056212693                0.1222158676
    123.3576187611          0.4087183436                0.1317235941
    123.4076187611          0.4118154179                0.1423661934
    123.4576187611          0.4149124923                0.1543307462
    123.5076187611          0.4180095666                0.1678476753
    123.5576187611          0.4211066410                0.1832076678
    123.6076187611          0.4242037153                0.2007897235
    123.6576187611          0.4273007896                0.2211084855
    123.7076187611          0.4303978640                0.2448932882
    123.7576187611          0.4334949383                0.2732156386
    123.8076187611          0.4365920127                0.3076835706
    123.8576187611          0.4396890870                0.3507160504
    123.9076187611          0.4427861613                0.4058926241
    123.9576187611          0.4458832357                0.4783381422
    124.0076187611          0.4489803100                0.5750504760
    124.0576187611          0.4520773844                0.7050219236
    124.1076187611          0.4551744587                0.8789661784
    124.1576187611          0.4582715330                1.1084721318
    124.2076187611          0.4613686074                1.4044802356
    124.2576187611          0.4644656817                1.7750900117
    124.3076187611          0.4675627561                2.2227605385
    124.3576187611          0.4706598304                2.7408074581
    124.4076187611          0.4737569047                3.3086995273
    124.4576187611          0.4768539791                3.8856516330
    124.5076187611          0.4799510534                4.4045119649
    124.5576187611          0.4830481278                4.7750974107
    124.6076187611          0.4861452021                4.9109734498
    124.6576187611          0.4892422764                4.7750974107
    124.7076187611          0.4923393508                4.4045119649
    124.7576187611          0.4954364251                3.8856516330
    124.8076187611          0.4985334995                3.3086995273
    124.8576187611          0.5016305738                2.7408074581
    124.9076187611          0.5047276481                2.2227605385
    124.9576187611          0.5078247225                1.7750900117
    125.0076187611          0.5109217968                1.4044802356
    125.0576187611          0.5140188712                1.1084721318
    125.1076187611          0.5171159455                0.8789661784
    125.1576187611          0.5202130198                0.7050219236
    125.2076187611          0.5233100942                0.5750504760
    125.2576187611          0.5264071685                0.4783381422
    125.3076187611          0.5295042429                0.4058926241
    125.3576187611          0.5326013172                0.3507160504
    125.4076187611          0.5356983915                0.3076835706
    125.4576187611          0.5387954659                0.2732156386
    125.5076187611          0.5418925402                0.2448932882
    125.5576187611          0.5449896146                0.2211084855
    125.6076187611          0.5480866889                0.2007897235
    125.6576187611          0.5511837632                0.1832076678
    125.7076187611          0.5542808376                0.1678476753
    125.7576187611          0.5573779119                0.1543307462
    125.8076187611          0.5604749863                0.1423661934
    125.8576187611          0.5635720606                0.1317235941
    125.9076187611          0.5666691349                0.1222158676
    125.9576187611          0.5697662093                0.1136886019
    126.0076187611          0.5728632836                0.1060129007
    126.0576187611          0.5759603580                0.0990802850
    126.1076187611          0.5790574323                0.0927988752
    126.1576187611          0.5821545066                0.0870904307
    126.2076187611          0.5852515810                0.0818880042
    126.2576187611          0.5883486553                0.0771340558
    126.3076187611          0.5914457297                0.0727789245
    126.3576187611          0.5945428040                0.0687795794
    126.4076187611          0.5976398783                0.0650985938
    126.4576187611          0.6007369527                0.0617032990
    126.5076187611          0.6038340270                0.0585650815
    126.5576187611          0.6069311014                0.0556587982
    126.6076187611          0.6100281757                0.0529622867
    126.6576187611          0.6131252500                0.0504559535
    126.7076187611          0.6162223244                0.0481224273
    126.7576187611          0.6193193987                0.0459462649
    126.8076187611          0.6224164731                0.0439137013
    126.8576187611          0.6255135474                0.0420124367
    126.9076187611          0.6286106217                0.0402314543
    126.9576187611          0.6317076961                0.0385608635
    127.0076187611          0.6348047704                0.0369917655
    127.0576187611          0.6379018448                0.0355161366
    127.1076187611          0.6409989191                0.0341267274
    127.1576187611          0.6440959934                0.0328169750
    127.2076187611          0.6471930678                0.0315809271
    127.2576187611          0.6502901421                0.0304131752
    127.3076187611          0.6533872165                0.0293087962
    127.3576187611          0.6564842908                0.0282633010
    127.4076187611          0.6595813651                0.0272725903
    127.4576187611          0.6626784395                0.0263329137
    127.5076187611          0.6657755138                0.0254408358
    127.5576187611          0.6688725882                0.0245932045
    127.6076187611          0.6719696625                0.0237871236
    127.6576187611          0.6750667368                0.0230199283
    127.7076187611          0.6781638112                0.0222891637
    127.7576187611          0.6812608855                0.0215925650
    127.8076187611          0.6843579599                0.0209280403
    127.8576187611          0.6874550342                0.0202936549
    127.9076187611          0.6905521085                0.0196876175
    127.9576187611          0.6936491829                0.0191082679
    128.0076187611          0.6967462572                0.0185540650
    128.0576187611          0.6998433316                0.0180235773
    128.1076187611          0.7029404059                0.0175154737
    128.1576187611          0.7060374803                0.0170285146
    128.2076187611          0.7091345546                0.0165615454
    128.2576187611          0.7122316289                0.0161134886
    128.3076187611          0.7153287033                0.0156833384
    128.3576187611          0.7184257776                0.0152701550
    128.4076187611          0.7215228520                0.0148730592
    128.4576187611          0.7246199263                0.0144912278
    128.5076187611          0.7277170006                0.0141238899
    128.5576187611          0.7308140750                0.0137703221
    128.6076187611          0.7339111493                0.0134298458
    128.6576187611          0.7370082237                0.0131018235
    128.7076187611          0.7401052980                0.0127856562
    128.7576187611          0.7432023723                0.0124807801
    128.8076187611          0.7462994467                0.0121866647
    128.8576187611          0.7493965210                0.0119028103
    128.9076187611          0.7524935954                0.0116287456
    128.9576187611          0.7555906697                0.0113640261
    129.0076187611          0.7586877440                0.0111082324
    129.0576187611          0.7617848184                0.0108609681
    129.1076187611          0.7648818927                0.0106218587
    129.1576187611          0.7679789671                0.0103905498
    129.2076187611          0.7710760414                0.0101667063
    129.2576187611          0.7741731157                0.0099500106
    129.3076187611          0.7772701901                0.0097401621
    129.3576187611          0.7803672644                0.0095368755
    129.4076187611          0.7834643388                0.0093398804
    129.4576187611          0.7865614131                0.0091489201
    129.5076187611          0.7896584874                0.0089637508
    129.5576187611          0.7927555618                0.0087841411
    129.6076187611          0.7958526361                0.0086098707
