# 	2theta (deg)	Background (arb. units)	Structural peak (arb. units)	Magnetic peak (arb. units)
    118.5214417574         -0.0913495001                0.0075093918                0.1572471543
    118.5714417574         -0.0864776652                0.0076687113                0.1603465488
    118.6214417574         -0.0816058303                0.0078331498                0.1635375332
    118.6714417574         -0.0767339953                0.0080029286                0.1668237127
    118.7214417574         -0.0718621604                0.0081782814                0.1702088694
    118.7714417574         -0.0669903255                0.0083594545                0.1736969734
    118.8214417574         -0.0621184905                0.0085467081                0.1772921930
    118.8714417574         -0.0572466556                0.0087403170                0.1809989076
    118.9214417574         -0.0523748207                0.0089405718                0.1848217201
    118.9714417574         -0.0475029857                0.0091477797                0.1887654705
    119.0214417574         -0.0426311508                0.0093622660                0.1928352512
    119.0714417574         -0.0377593159                0.0095843751                0.1970364226
    119.1214417574         -0.0328874809                0.0098144722                0.2013746307
    119.1714417574         -0.0280156460                0.0100529442                0.2058558254
    119.2214417574         -0.0231438111                0.0103002022                0.2104862812
    119.2714417574         -0.0182719762                0.0105566823                0.2152726197
    119.3214417574         -0.0134001412                0.0108228483                0.2202218334
    119.3714417574         -0.0085283063                0.0110991934                0.2253413135
    119.4214417574         -0.0036564714                0.0113862424                0.2306388793
    119.4714417574          0.0012153636                0.0116845544                0.2361228129
    119.5214417574          0.0060871985                0.0119947256                0.2418018962
    119.5714417574          0.0109590334                0.0123173919                0.2476854559
    119.6214417574          0.0158308684                0.0126532323                0.2537834126
    119.6714417574          0.0207027033                0.0130029726                0.2601063401
    119.7214417574          0.0255745382                0.0133673891                0.2666655340
    119.7714417574          0.0304463732                0.0137473131                0.2734730934
    119.8214417574          0.0353182081                0.0141436352                0.2805420182
    119.8714417574          0.0401900430                0.0145573110                0.2878863274
    119.9214417574          0.0450618780                0.0149893664                0.2955212007
    119.9714417574          0.0499337129                0.0154409044                0.3034631529
    120.0214417574          0.0548055478                0.0159131114                0.3117302454
    120.0714417574          0.0596773827                0.0164072655                0.3203423459
    120.1214417574          0.0645492177                0.0169247449                0.3293214471
    120.1714417574          0.0694210526                0.0174670374                0.3386920556
    120.2214417574          0.0742928875                0.0180357510                0.3484816701
    120.2714417574          0.0791647225                0.0186326259                0.3587213626
    120.3214417574          0.0840365574                0.0192595475                0.3694464878
    120.3714417574          0.0889083923                0.0199185610                0.3806975417
    120.4214417574          0.0937802273                0.0206118885                0.3925211984
    120.4714417574          0.0986520622                0.0213419468                0.4049715542
    120.5214417574          0.1035238971                0.0221113690                0.4181116125
    120.5714417574          0.1083957321                0.0229230274                0.4320150454
    120.6214417574          0.1132675670                0.0237800602                0.4467682673
    120.6714417574          0.1181394019                0.0246859019                0.4624728614
    120.7214417574          0.1230112369                0.0256443164                0.4792483921
    120.7714417574          0.1278830718                0.0266594367                0.4972356421
    120.8214417574          0.1327549067                0.0277358082                0.5166003012
    120.8714417574          0.1376267416                0.0288784390                0.5375371299
    120.9214417574          0.1424985766                0.0300928576                0.5602746118
    120.9714417574          0.1473704115                0.0313851786                0.5850800893
    121.0214417574          0.1522422464                0.0327621787                0.6122653654
    121.0714417574          0.1571140814                0.0342313841                0.6421927278
    121.1214417574          0.1619859163                0.0358011715                0.6752813259
    121.1714417574          0.1668577512                0.0374808859                0.7120138024
    121.2214417574          0.1717295862                0.0392809769                0.7529430415
    121.2714417574          0.1766014211                0.0412131580                0.7986988646
    121.3214417574          0.1814732560                0.0432905941                0.8499944556
    121.3714417574          0.1863450910                0.0455281203                0.9076322633
    121.4214417574          0.1912169259                0.0479425017                0.9725090820
    121.4714417574          0.1960887608                0.0505527400                1.0456199749
    121.5214417574          0.2009605958                0.0533804380                1.1280606708
    121.5714417574          0.2058324307                0.0564502358                1.2210280380
    121.6214417574          0.2107042656                0.0597903325                1.3258182218
