# 	2theta (deg)	Background (arb. units)	Structural peak (arb. units)	Magnetic peak (arb. units)
    118.5493447330         -0.2567788052                0.0078440190                0.0068585444
    118.5993447330         -0.2540352084                0.0080123006                0.0077455470
    118.6493447330         -0.2512916115                0.0081860504                0.0087365785
    118.6993447330         -0.2485480146                0.0083655076                0.0098423729
    118.7493447330         -0.2458044178                0.0085509246                0.0110745833
    118.7993447330         -0.2430608209                0.0087425680                0.0124458372
    118.8493447330         -0.2403172240                0.0089407194                0.0139697934
    118.8993447330         -0.2375736272                0.0091456765                0.0156611986
    118.9493447330         -0.2348300303                0.0093577542                0.0175359441
    118.9993447330         -0.2320864334                0.0095772857                0.0196111225
    119.0493447330         -0.2293428366                0.0098046241                0.0219050827
    119.0993447330         -0.2265992397                0.0100401434                0.0244374837
    119.1493447330         -0.2238556428                0.0102842404                0.0272293465
    119.1993447330         -0.2211120460                0.0105373361                0.0303031026
    119.2493447330         -0.2183684491                0.0107998778                0.0336826397
    119.2993447330         -0.2156248522                0.0110723407                0.0373933424
    119.3493447330         -0.2128812554                0.0113552303                0.0414621288
    119.3993447330         -0.2101376585                0.0116490848                0.0459174807
    119.4493447330         -0.2073940616                0.0119544771                0.0507894666
    119.4993447330         -0.2046504648                0.0122720184                0.0561097580
    119.5493447330         -0.2019068679                0.0126023607                0.0619116365
    119.5993447330         -0.1991632710                0.0129462002                0.0682299914
    119.6493447330         -0.1964196742                0.0133042810                0.0751013066
    119.6993447330         -0.1936760773                0.0136773992                0.0825636367
    119.7493447330         -0.1909324804                0.0140664070                0.0906565692
    119.7993447330         -0.1881888835                0.0144722179                0.0994211745
    119.8493447330         -0.1854452867                0.0148958120                0.1088999407
    119.8993447330         -0.1827016898                0.0153382414                0.1191366931
    119.9493447330         -0.1799580929                0.0158006372                0.1301764979
    119.9993447330         -0.1772144961                0.0162842166                0.1420655478
    120.0493447330         -0.1744708992                0.0167902907                0.1548510310
    120.0993447330         -0.1717273023                0.0173202734                0.1685809809
    120.1493447330         -0.1689837055                0.0178756910                0.1833041072
    120.1993447330         -0.1662401086                0.0184581936                0.1990696073
    120.2493447330         -0.1634965117                0.0190695667                0.2159269587
    120.2993447330         -0.1607529149                0.0197117451                0.2339256905
    120.3493447330         -0.1580093180                0.0203868280                0.2531151362
    120.3993447330         -0.1552657211                0.0210970960                0.2735441663
    120.4493447330         -0.1525221243                0.0218450302                0.2952609021
    120.4993447330         -0.1497785274                0.0226333334                0.3183124106
