# 	2theta (deg)	Background (arb. units)	Structural peak (arb. units)
    119.4862098267         -0.2267575117                0.0083230727
    119.5362098267         -0.2219925592                0.0084915015
    119.5862098267         -0.2172276067                0.0086650891
    119.6362098267         -0.2124626543                0.0088440482
    119.6862098267         -0.2076977018                0.0090286024
    119.7362098267         -0.2029327493                0.0092189872
    119.7862098267         -0.1981677968                0.0094154503
    119.8362098267         -0.1934028443                0.0096182531
    119.8862098267         -0.1886378918                0.0098276709
    119.9362098267         -0.1838729393                0.0100439942
    119.9862098267         -0.1791079869                0.0102675294
    120.0362098267         -0.1743430344                0.0104986004
    120.0862098267         -0.1695780819                0.0107375492
    120.1362098267         -0.1648131294                0.0109847375
    120.1862098267         -0.1600481769                0.0112405480
    120.2362098267         -0.1552832244                0.0115053857
    120.2862098267         -0.1505182719                0.0117796798
    120.3362098267         -0.1457533194                0.0120638851
    120.3862098267         -0.1409883670                0.0123584841
    120.4362098267         -0.1362234145                0.0126639892
    120.4862098267         -0.1314584620                0.0129809443
    120.5362098267         -0.1266935095                0.0133099278
    120.5862098267         -0.1219285570                0.0136515551
    120.6362098267         -0.1171636045                0.0140064811
    120.6862098267         -0.1123986520                0.0143754040
    120.7362098267         -0.1076336996                0.0147590679
    120.7862098267         -0.1028687471                0.0151582672
    120.8362098267         -0.0981037946                0.0155738504
    120.8862098267         -0.0933388421                0.0160067244
    120.9362098267         -0.0885738896                0.0164578598
    120.9862098267         -0.0838089371                0.0169282960
    121.0362098267         -0.0790439846                0.0174191473
    121.0862098267         -0.0742790322                0.0179316095
    121.1362098267         -0.0695140797                0.0184669667
    121.1862098267         -0.0647491272                0.0190265998
    121.2362098267         -0.0599841747                0.0196119952
    121.2862098267         -0.0552192222                0.0202247543
    121.3362098267         -0.0504542697                0.0208666047
    121.3862098267         -0.0456893172                0.0215394120
    121.4362098267         -0.0409243648                0.0222451933
    121.4862098267         -0.0361594123                0.0229861324
    121.5362098267         -0.0313944598                0.0237645960
    121.5862098267         -0.0266295073                0.0245831530
    121.6362098267         -0.0218645548                0.0254445949
    121.6862098267         -0.0170996023                0.0263519597
    121.7362098267         -0.0123346498                0.0273085583
    121.7862098267         -0.0075696973                0.0283180039
    121.8362098267         -0.0028047449                0.0293842465
    121.8862098267          0.0019602076                0.0305116101
    121.9362098267          0.0067251601                0.0317048367
    121.9862098267          0.0114901126                0.0329691348
    122.0362098267          0.0162550651                0.0343102357
    122.0862098267          0.0210200176                0.0357344577
    122.1362098267          0.0257849701                0.0372487784
    122.1862098267          0.0305499225                0.0388609197
    122.2362098267          0.0353148750                0.0405794437
    122.2862098267          0.0400798275                0.0424138645
    122.3362098267          0.0448447800                0.0443747775
    122.3862098267          0.0496097325                0.0464740088
    122.4362098267          0.0543746850                0.0487247897
