# 	2theta (deg)	Background (arb. units)	Structural peak (arb. units)
    122.4862098267          0.0591396375                0.0511419609
    122.5362098267          0.0639045899                0.0537422105
    122.5862098267          0.0686695424                0.0565443551
    122.6362098267          0.0734344949                0.0595696712
    122.6862098267          0.0781994474                0.0628422874
    122.7362098267          0.0829643999                0.0663896515
    122.7862098267          0.0877293524                0.0702430871
    122.8362098267          0.0924943049                0.0744384627
    122.8862098267          0.0972592573                0.0790169957
    122.9362098267          0.1020242098                0.0840262277
    122.9862098267          0.1067891623                0.0895212095
    123.0362098267          0.1115541148                0.0955659545
    123.0862098267          0.1163190673                0.1022352349
    123.1362098267          0.1210840198                0.1096168335
    123.1862098267          0.1258489723                0.1178144282
    123.2362098267          0.1306139247                0.1269514127
    123.2862098267          0.1353788772                0.1371762089
    123.3362098267          0.1401438297                0.1486701049
    123.3862098267          0.1449087822                0.1616595305
    123.4362098267          0.1496737347                0.1764361737
    123.4862098267          0.1544386872                0.1933906401
    123.5362098267          0.1592036397                0.2130684729
    123.5862098267          0.1639685922                0.2362607482
    123.6362098267          0.1687335446                0.2641436913
    123.6862098267          0.1734984971                0.2984800407
    123.7362098267          0.1782634496                0.3418853081
    123.7862098267          0.1830284021                0.3981406691
    123.8362098267          0.1877933546                0.4724994641
    123.8862098267          0.1925583071                0.5718905401
    123.9362098267          0.1973232596                0.7048819397
    123.9862098267          0.2020882120                0.8812534255
    124.0362098267          0.2068531645                1.1110564536
    124.0862098267          0.2116181170                1.4031191401
    124.1362098267          0.2163830695                1.7630469426
    124.1862098267          0.2211480220                2.1907916817
    124.2362098267          0.2259129745                2.6777071485
    124.2862098267          0.2306779270                3.2027156132
    124.3362098267          0.2354428794                3.7273744171
    124.3862098267          0.2402078319                4.1918673375
    124.4362098267          0.2449727844                4.5193439378
    124.4862098267          0.2497377369                4.6385099175
    124.5362098267          0.2545026894                4.5193439378
    124.5862098267          0.2592676419                4.1918673375
    124.6362098267          0.2640325944                3.7273744171
    124.6862098267          0.2687975468                3.2027156132
    124.7362098267          0.2735624993                2.6777071485
    124.7862098267          0.2783274518                2.1907916817
    124.8362098267          0.2830924043                1.7630469426
    124.8862098267          0.2878573568                1.4031191401
    124.9362098267          0.2926223093                1.1110564536
    124.9862098267          0.2973872618                0.8812534255
    125.0362098267          0.3021522143                0.7048819397
    125.0862098267          0.3069171667                0.5718905401
    125.1362098267          0.3116821192                0.4724994641
    125.1862098267          0.3164470717                0.3981406691
    125.2362098267          0.3212120242                0.3418853081
    125.2862098267          0.3259769767                0.2984800407
    125.3362098267          0.3307419292                0.2641436913
    125.3862098267          0.3355068817                0.2362607482
    125.4362098267          0.3402718341                0.2130684729
    125.4862098267          0.3450367866                0.1933906401
    125.5362098267          0.3498017391                0.1764361737
    125.5862098267          0.3545666916                0.1616595305
    125.6362098267          0.3593316441                0.1486701049
    125.6862098267          0.3640965966                0.1371762089
    125.7362098267          0.3688615491                0.1269514127
    125.7862098267          0.3736265015                0.1178144282
    125.8362098267          0.3783914540                0.1096168335
    125.8862098267          0.3831564065                0.1022352349
    125.9362098267          0.3879213590                0.0955659545
    125.9862098267          0.3926863115                0.0895212095
    126.0362098267          0.3974512640                0.0840262277
    126.0862098267          0.4022162165                0.0790169957
    126.1362098267          0.4069811689                0.0744384627
    126.1862098267          0.4117461214                0.0702430871
    126.2362098267          0.4165110739                0.0663896515
    126.2862098267          0.4212760264                0.0628422874
    126.3362098267          0.4260409789                0.0595696712
    126.3862098267          0.4308059314                0.0565443551
    126.4362098267          0.4355708839                0.0537422105
    126.4862098267          0.4403358364                0.0511419609
    126.5362098267          0.4451007888                0.0487247897
    126.5862098267          0.4498657413                0.0464740088
    126.6362098267          0.4546306938                0.0443747775
    126.6862098267          0.4593956463                0.0424138645
    126.7362098267          0.4641605988                0.0405794437
    126.7862098267          0.4689255513                0.0388609197
    126.8362098267          0.4736905038                0.0372487784
    126.8862098267          0.4784554562                0.0357344577
    126.9362098267          0.4832204087                0.0343102357
    126.9862098267          0.4879853612                0.0329691348
    127.0362098267          0.4927503137                0.0317048367
    127.0862098267          0.4975152662                0.0305116101
    127.1362098267          0.5022802187                0.0293842465
    127.1862098267          0.5070451712                0.0283180039
    127.2362098267          0.5118101236                0.0273085583
    127.2862098267          0.5165750761                0.0263519597
    127.3362098267          0.5213400286                0.0254445949
    127.3862098267          0.5261049811                0.0245831530
    127.4362098267          0.5308699336                0.0237645960
    127.4862098267          0.5356348861                0.0229861324
    127.5362098267          0.5403998386                0.0222451933
    127.5862098267          0.5451647910                0.0215394120
    127.6362098267          0.5499297435                0.0208666047
    127.6862098267          0.5546946960                0.0202247543
    127.7362098267          0.5594596485                0.0196119952
    127.7862098267          0.5642246010                0.0190265998
    127.8362098267          0.5689895535                0.0184669667
    127.8862098267          0.5737545060                0.0179316095
    127.9362098267          0.5785194585                0.0174191473
    127.9862098267          0.5832844109                0.0169282960
    128.0362098267          0.5880493634                0.0164578598
    128.0862098267          0.5928143159                0.0160067244
    128.1362098267          0.5975792684                0.0155738504
    128.1862098267          0.6023442209                0.0151582672
    128.2362098267          0.6071091734                0.0147590679
    128.2862098267          0.6118741259                0.0143754040
    128.3362098267          0.6166390783                0.0140064811
    128.3862098267          0.6214040308                0.0136515551
    128.4362098267          0.6261689833                0.0133099278
    128.4862098267          0.6309339358                0.0129809443
    128.5362098267          0.6356988883                0.0126639892
    128.5862098267          0.6404638408                0.0123584841
    128.6362098267          0.6452287933                0.0120638851
    128.6862098267          0.6499937457                0.0117796798
    128.7362098267          0.6547586982                0.0115053857
    128.7862098267          0.6595236507                0.0112405480
    128.8362098267          0.6642886032                0.0109847375
    128.8862098267          0.6690535557                0.0107375492
    128.9362098267          0.6738185082                0.0104986004
    128.9862098267          0.6785834607                0.0102675294
    129.0362098267          0.6833484131                0.0100439942
    129.0862098267          0.6881133656                0.0098276709
    129.1362098267          0.6928783181                0.0096182531
    129.1862098267          0.6976432706                0.0094154503
    129.2362098267          0.7024082231                0.0092189872
    129.2862098267          0.7071731756                0.0090286024
    129.3362098267          0.7119381281                0.0088440482
    129.3862098267          0.7167030805                0.0086650891
    129.4362098267          0.7214680330                0.0084915015
    129.4862098267          0.7262329855                0.0083230727
