# 	2theta (deg)	Background (arb. units)	Structural peak (arb. units)
    119.5174329254         -0.2036579306                0.0069973378
    119.5674329254         -0.2009143337                0.0071390199
    119.6174329254         -0.1981707369                0.0072850451
    119.6674329254         -0.1954271400                0.0074355924
    119.7174329254         -0.1926835431                0.0075908504
    119.7674329254         -0.1899399463                0.0077510174
    119.8174329254         -0.1871963494                0.0079163025
    119.8674329254         -0.1844527525                0.0080869256
    119.9174329254         -0.1817091557                0.0082631191
    119.9674329254         -0.1789655588                0.0084451277
    120.0174329254         -0.1762219619                0.0086332099
    120.0674329254         -0.1734783650                0.0088276387
    120.1174329254         -0.1707347682                0.0090287024
    120.1674329254         -0.1679911713                0.0092367062
    120.2174329254         -0.1652475744                0.0094519726
    120.2674329254         -0.1625039776                0.0096748433
    120.3174329254         -0.1597603807                0.0099056804
    120.3674329254         -0.1570167838                0.0101448675
    120.4174329254         -0.1542731870                0.0103928118
    120.4674329254         -0.1515295901                0.0106499453
    120.5174329254         -0.1487859932                0.0109167271
    120.5674329254         -0.1460423964                0.0111936455
    120.6174329254         -0.1432987995                0.0114812196
    120.6674329254         -0.1405552026                0.0117800025
    120.7174329254         -0.1378116058                0.0120905834
    120.7674329254         -0.1350680089                0.0124135906
    120.8174329254         -0.1323244120                0.0127496949
    120.8674329254         -0.1295808152                0.0130996128
    120.9174329254         -0.1268372183                0.0134641105
    120.9674329254         -0.1240936214                0.0138440077
    121.0174329254         -0.1213500246                0.0142401828
    121.0674329254         -0.1186064277                0.0146535772
    121.1174329254         -0.1158628308                0.0150852016
    121.1674329254         -0.1131192340                0.0155361415
    121.2174329254         -0.1103756371                0.0160075644
    121.2674329254         -0.1076320402                0.0165007271
    121.3174329254         -0.1048884434                0.0170169842
    121.3674329254         -0.1021448465                0.0175577969
    121.4174329254         -0.0994012496                0.0181247440
    121.4674329254         -0.0966576528                0.0187195326
    121.5174329254         -0.0939140559                0.0193440111
    121.5674329254         -0.0911704590                0.0200001837
    121.6174329254         -0.0884268622                0.0206902260
    121.6674329254         -0.0856832653                0.0214165029
    121.7174329254         -0.0829396684                0.0221815889
    121.7674329254         -0.0801960716                0.0229882905
    121.8174329254         -0.0774524747                0.0238396717
    121.8674329254         -0.0747088778                0.0247390828
    121.9174329254         -0.0719652810                0.0256901931
    121.9674329254         -0.0692216841                0.0266970277
    122.0174329254         -0.0664780872                0.0277640096
    122.0674329254         -0.0637344904                0.0288960081
    122.1174329254         -0.0609908935                0.0300983930
    122.1674329254         -0.0582472966                0.0313770978
    122.2174329254         -0.0555036998                0.0327386918
    122.2674329254         -0.0527601029                0.0341904635
    122.3174329254         -0.0500165060                0.0357405160
    122.3674329254         -0.0472729092                0.0373978791
    122.4174329254         -0.0445293123                0.0391726379
    122.4674329254         -0.0417857154                0.0410760838
    122.5174329254         -0.0390421186                0.0431208911
    122.5674329254         -0.0362985217                0.0453213234
    122.6174329254         -0.0335549248                0.0476934776
    122.6674329254         -0.0308113280                0.0502555717
    122.7174329254         -0.0280677311                0.0530282870
    122.7674329254         -0.0253241342                0.0560351753
    122.8174329254         -0.0225805374                0.0593031461
    122.8674329254         -0.0198369405                0.0628630528
    122.9174329254         -0.0170933436                0.0667503998
    122.9674329254         -0.0143497468                0.0710062008
    123.0174329254         -0.0116061499                0.0756780254
    123.0674329254         -0.0088625530                0.0808212825
    123.1174329254         -0.0061189562                0.0865008028
    123.1674329254         -0.0033753593                0.0927928051
    123.2174329254         -0.0006317624                0.0997873611
    123.2674329254          0.0021118345                0.1075915309
    123.3174329254          0.0048554313                0.1163334468
    123.3674329254          0.0075990282                0.1261678561
    123.4174329254          0.0103426251                0.1372841267
    123.4674329254          0.0130862219                0.1499187854
    123.5174329254          0.0158298188                0.1643767761
    123.5674329254          0.0185734157                0.1810695455
    123.6174329254          0.0213170125                0.2005845025
    123.6674329254          0.0240606094                0.2238094720
    123.7174329254          0.0268042063                0.2521455964
    123.7674329254          0.0295478031                0.2878471143
    123.8174329254          0.0322914000                0.3345158138
    123.8674329254          0.0350349969                0.3977371145
    123.9174329254          0.0377785937                0.4857616651
    123.9674329254          0.0405221906                0.6100142850
    124.0174329254          0.0432657875                0.7850841834
    124.0674329254          0.0460093843                1.0277848283
    124.1174329254          0.0487529812                1.3549506028
    124.1674329254          0.0514965781                1.7798979194
    124.2174329254          0.0542401749                2.3078300281
    124.2674329254          0.0569837718                2.9306380617
    124.3174329254          0.0597273687                3.6212339344
    124.3674329254          0.0624709655                4.3270495114
    124.4174329254          0.0652145624                4.9640155492
    124.4674329254          0.0679581593                5.4203207659
    124.5174329254          0.0707017561                5.5879952686
    124.5674329254          0.0734453530                5.4203207659
    124.6174329254          0.0761889499                4.9640155492
    124.6674329254          0.0789325467                4.3270495114
    124.7174329254          0.0816761436                3.6212339345
    124.7674329254          0.0844197405                2.9306380617
    124.8174329254          0.0871633373                2.3078300281
    124.8674329254          0.0899069342                1.7798979194
    124.9174329254          0.0926505311                1.3549506028
    124.9674329254          0.0953941279                1.0277848283
    125.0174329254          0.0981377248                0.7850841834
    125.0674329254          0.1008813217                0.6100142850
    125.1174329254          0.1036249185                0.4857616651
    125.1674329254          0.1063685154                0.3977371145
    125.2174329254          0.1091121123                0.3345158138
    125.2674329254          0.1118557091                0.2878471143
    125.3174329254          0.1145993060                0.2521455964
    125.3674329254          0.1173429029                0.2238094720
    125.4174329254          0.1200864997                0.2005845025
    125.4674329254          0.1228300966                0.1810695455
    125.5174329254          0.1255736935                0.1643767761
    125.5674329254          0.1283172903                0.1499187854
    125.6174329254          0.1310608872                0.1372841267
    125.6674329254          0.1338044841                0.1261678561
    125.7174329254          0.1365480809                0.1163334468
    125.7674329254          0.1392916778                0.1075915309
    125.8174329254          0.1420352747                0.0997873611
    125.8674329254          0.1447788715                0.0927928051
    125.9174329254          0.1475224684                0.0865008028
    125.9674329254          0.1502660653                0.0808212825
    126.0174329254          0.1530096621                0.0756780254
    126.0674329254          0.1557532590                0.0710062008
    126.1174329254          0.1584968559                0.0667503998
    126.1674329254          0.1612404527                0.0628630528
    126.2174329254          0.1639840496                0.0593031461
    126.2674329254          0.1667276465                0.0560351753
    126.3174329254          0.1694712433                0.0530282870
    126.3674329254          0.1722148402                0.0502555717
    126.4174329254          0.1749584371                0.0476934776
    126.4674329254          0.1777020340                0.0453213234
    126.5174329254          0.1804456308                0.0431208911
    126.5674329254          0.1831892277                0.0410760838
    126.6174329254          0.1859328246                0.0391726379
    126.6674329254          0.1886764214                0.0373978791
    126.7174329254          0.1914200183                0.0357405160
    126.7674329254          0.1941636152                0.0341904635
    126.8174329254          0.1969072120                0.0327386918
    126.8674329254          0.1996508089                0.0313770978
    126.9174329254          0.2023944058                0.0300983930
    126.9674329254          0.2051380026                0.0288960081
    127.0174329254          0.2078815995                0.0277640096
    127.0674329254          0.2106251964                0.0266970277
    127.1174329254          0.2133687932                0.0256901931
    127.1674329254          0.2161123901                0.0247390828
    127.2174329254          0.2188559870                0.0238396717
    127.2674329254          0.2215995838                0.0229882905
    127.3174329254          0.2243431807                0.0221815889
    127.3674329254          0.2270867776                0.0214165029
    127.4174329254          0.2298303744                0.0206902260
    127.4674329254          0.2325739713                0.0200001837
    127.5174329254          0.2353175682                0.0193440111
    127.5674329254          0.2380611650                0.0187195326
    127.6174329254          0.2408047619                0.0181247440
    127.6674329254          0.2435483588                0.0175577969
    127.7174329254          0.2462919556                0.0170169842
    127.7674329254          0.2490355525                0.0165007271
    127.8174329254          0.2517791494                0.0160075644
    127.8674329254          0.2545227462                0.0155361415
    127.9174329254          0.2572663431                0.0150852016
    127.9674329254          0.2600099400                0.0146535772
    128.0174329254          0.2627535368                0.0142401828
    128.0674329254          0.2654971337                0.0138440077
    128.1174329254          0.2682407306                0.0134641105
    128.1674329254          0.2709843274                0.0130996128
    128.2174329254          0.2737279243                0.0127496949
    128.2674329254          0.2764715212                0.0124135906
    128.3174329254          0.2792151180                0.0120905834
    128.3674329254          0.2819587149                0.0117800025
    128.4174329254          0.2847023118                0.0114812196
    128.4674329254          0.2874459086                0.0111936455
    128.5174329254          0.2901895055                0.0109167271
