# 	2theta (deg)	Background (arb. units)	Structural peak (arb. units)	Magnetic peak (arb. units)
    118.3751998304          0.1000999072                0.0084801098                0.0000000000
    118.4251998304          0.1031969815                0.0086504400                0.0000000000
    118.4751998304          0.1062940558                0.0088259485                0.0000000000
    118.5251998304          0.1093911302                0.0090068473                0.0000000000
    118.5751998304          0.1124882045                0.0091933589                0.0000000001
    118.6251998304          0.1155852789                0.0093857180                0.0000000001
    118.6751998304          0.1186823532                0.0095841710                0.0000000001
    118.7251998304          0.1217794275                0.0097889780                0.0000000001
    118.7751998304          0.1248765019                0.0100004128                0.0000000002
    118.8251998304          0.1279735762                0.0102187640                0.0000000003
    118.8751998304          0.1310706506                0.0104443363                0.0000000004
    118.9251998304          0.1341677249                0.0106774512                0.0000000005
    118.9751998304          0.1372647992                0.0109184484                0.0000000007
    119.0251998304          0.1403618736                0.0111676868                0.0000000009
    119.0751998304          0.1434589479                0.0114255459                0.0000000013
    119.1251998304          0.1465560223                0.0116924274                0.0000000017
    119.1751998304          0.1496530966                0.0119687565                0.0000000023
    119.2251998304          0.1527501709                0.0122549839                0.0000000031
    119.2751998304          0.1558472453                0.0125515872                0.0000000041
    119.3251998304          0.1589443196                0.0128590733                0.0000000054
    119.3751998304          0.1620413940                0.0131779803                0.0000000072
    119.4251998304          0.1651384683                0.0135088800                0.0000000094
    119.4751998304          0.1682355426                0.0138523804                0.0000000124
    119.5251998304          0.1713326170                0.0142091282                0.0000000162
    119.5751998304          0.1744296913                0.0145798124                0.0000000211
    119.6251998304          0.1775267657                0.0149651671                0.0000000275
    119.6751998304          0.1806238400                0.0153659752                0.0000000355
    119.7251998304          0.1837209143                0.0157830728                0.0000000459
    119.7751998304          0.1868179887                0.0162173528                0.0000000590
    119.8251998304          0.1899150630                0.0166697702                0.0000000755
    119.8751998304          0.1930121374                0.0171413471                0.0000000964
    119.9251998304          0.1961092117                0.0176331784                0.0000001227
    119.9751998304          0.1992062860                0.0181464384                0.0000001556
    120.0251998304          0.2023033604                0.0186823873                0.0000001966
    120.0751998304          0.2054004347                0.0192423793                0.0000002475
    120.1251998304          0.2084975091                0.0198278706                0.0000003106
    120.1751998304          0.2115945834                0.0204404295                0.0000003884
    120.2251998304          0.2146916577                0.0210817460                0.0000004840
    120.2751998304          0.2177887321                0.0217536441                0.0000006011
    120.3251998304          0.2208858064                0.0224580940                0.0000007439
    120.3751998304          0.2239828808                0.0231972270                0.0000009174
    120.4251998304          0.2270799551                0.0239733509                0.0000011275
    120.4751998304          0.2301770294                0.0247889684                0.0000013809
    120.5251998304          0.2332741038                0.0256467967                0.0000016855
    120.5751998304          0.2363711781                0.0265497897                0.0000020500
    120.6251998304          0.2394682525                0.0275011639                0.0000024848
    120.6751998304          0.2425653268                0.0285044258                0.0000030014
    120.7251998304          0.2456624011                0.0295634046                0.0000036129
    120.7751998304          0.2487594755                0.0306822879                0.0000043339
    120.8251998304          0.2518565498                0.0318656624                0.0000051807
    120.8751998304          0.2549536242                0.0331185609                0.0000061716
    120.9251998304          0.2580506985                0.0344465143                0.0000073266
    120.9751998304          0.2611477729                0.0358556124                0.0000086677
    121.0251998304          0.2642448472                0.0373525725                0.0000102188
    121.0751998304          0.2673419215                0.0389448179                0.0000120057
    121.1251998304          0.2704389959                0.0406405688                0.0000140564
    121.1751998304          0.2735360702                0.0424489466                0.0000164003
    121.2251998304          0.2766331446                0.0443800941                0.0000190689
    121.2751998304          0.2797302189                0.0464453153                0.0000220951
    121.3251998304          0.2828272932                0.0486572376                0.0000255129
    121.3751998304          0.2859243676                0.0510300006                0.0000293574
    121.4251998304          0.2890214419                0.0535794777                0.0000336644
    121.4751998304          0.2921185163                0.0563235352                0.0000384698
    121.5251998304          0.2952155906                0.0592823382                0.0000438089
    121.5751998304          0.2983126649                0.0624787112                0.0000497165
    121.6251998304          0.3014097393                0.0659385672                0.0000562255
    121.6751998304          0.3045068136                0.0696914182                0.0000633667
    121.7251998304          0.3076038880                0.0737709851                0.0000711678
    121.7751998304          0.3107009623                0.0782159323                0.0000796528
    121.8251998304          0.3137980366                0.0830707520                0.0000888410
    121.8751998304          0.3168951110                0.0883868391                0.0000987462
    121.9251998304          0.3199921853                0.0942237992                0.0001093760
    121.9751998304          0.3230892597                0.1006510543                0.0001207311
    122.0251998304          0.3261863340                0.1077498258                0.0001328038
    122.0751998304          0.3292834083                0.1156156089                0.0001455785
    122.1251998304          0.3323804827                0.1243613083                0.0001590298
    122.1751998304          0.3354775570                0.1341213101                0.0001731229
    122.2251998304          0.3385746314                0.1450569758                0.0001878130
    122.2751998304          0.3416717057                0.1573644570                0.0002030446
    122.3251998304          0.3447687800                0.1712865321                0.0002187521
    122.3751998304          0.3478658544                0.1871316072                0.0002348593
    122.4251998304          0.3509629287                0.2053054256                0.0002512802
    122.4751998304          0.3540600031                0.2263645764                0.0002679190
    122.5251998304          0.3571570774                0.2511053125                0.0002846713
    122.5751998304          0.3602541517                0.2807051601                0.0003014245
    122.6251998304          0.3633512261                0.3169353540                0.0003180595
    122.6751998304          0.3664483004                0.3624544004                0.0003344515
    122.7251998304          0.3695453748                0.4211712942                0.0003504714
    122.7751998304          0.3726424491                0.4986272755                0.0003659881
    122.8251998304          0.3757395234                0.6022903596                0.0003808695
    122.8751998304          0.3788365978                0.7416014394                0.0003949847
    122.9251998304          0.3819336721                0.9275806777                0.0004082058
    122.9751998304          0.3850307465                1.1718271635                0.0004204100
    123.0251998304          0.3881278208                1.4848330163                0.0004314809
    123.0751998304          0.3912248951                1.8736436691                0.0004413113
    123.1251998304          0.3943219695                2.3389133945                0.0004498041
    123.1751998304          0.3974190438                2.8711804344                0.0004568742
    123.2251998304          0.4005161182                3.4457782854                0.0004624498
    123.2751998304          0.4036131925                4.0161312590                0.0004664741
    123.3251998304          0.4067102668                4.5087031386                0.0004689054
    123.3751998304          0.4098073412                4.8307357154                0.0004697186
    123.4251998304          0.4129044155                4.9032586478                0.0004689054
    123.4751998304          0.4160014899                4.7062149950                0.0004664741
    123.5251998304          0.4190985642                4.2920975345                0.0004624498
    123.5751998304          0.4221956385                3.7520660227                0.0004568742
    123.6251998304          0.4252927129                3.1722427931                0.0004498041
    123.6751998304          0.4283897872                2.6132865054                0.0004413113
    123.7251998304          0.4314868616                2.1105696963                0.0004314809
    123.7751998304          0.4345839359                1.6808490084                0.0004204100
    123.8251998304          0.4376810102                1.3282887451                0.0004082058
    123.8751998304          0.4407780846                1.0488170363                0.0003949847
    123.9251998304          0.4438751589                0.8334352875                0.0003808695
    123.9751998304          0.4469722333                0.6708766955                0.0003659881
    124.0251998304          0.4500693076                0.5496471240                0.0003504714
    124.0751998304          0.4531663819                0.4593857908                0.0003344515
    124.1251998304          0.4562634563                0.3915633121                0.0003180595
    124.1751998304          0.4593605306                0.3396443778                0.0003014245
    124.2251998304          0.4624576050                0.2989016926                0.0002846713
    124.2751998304          0.4655546793                0.2660634265                0.0002679190
    124.3251998304          0.4686517536                0.2389305988                0.0002512802
    124.3751998304          0.4717488280                0.2160431488                0.0002348593
    124.4251998304          0.4748459023                0.1964248757                0.0002187521
    124.4751998304          0.4779429767                0.1794063783                0.0002030446
    124.5251998304          0.4810400510                0.1645106506                0.0001878130
    124.5751998304          0.4841371253                0.1513828654                0.0001731229
    124.6251998304          0.4872341997                0.1397485341                0.0001590298
    124.6751998304          0.4903312740                0.1293886717                0.0001455785
    124.7251998304          0.4934283484                0.1201246880                0.0001328038
    124.7751998304          0.4965254227                0.1118087299                0.0001207311
    124.8251998304          0.4996224970                0.1043171114                0.0001093760
    124.8751998304          0.5027195714                0.0975455691                0.0000987462
    124.9251998304          0.5058166457                0.0914056759                0.0000888410
    124.9751998304          0.5089137201                0.0858220427                0.0000796528
    125.0251998304          0.5120107944                0.0807300924                0.0000711678
    125.0751998304          0.5151078687                0.0760742668                0.0000633667
    125.1251998304          0.5182049431                0.0718065696                0.0000562255
    125.1751998304          0.5213020174                0.0678853745                0.0000497165
    125.2251998304          0.5243990918                0.0642744458                0.0000438089
    125.2751998304          0.5274961661                0.0609421280                0.0000384698
    125.3251998304          0.5305932404                0.0578606738                0.0000336644
    125.3751998304          0.5336903148                0.0550056829                0.0000293574
    125.4251998304          0.5367873891                0.0523556323                0.0000255129
    125.4751998304          0.5398844635                0.0498914810                0.0000220951
    125.5251998304          0.5429815378                0.0475963364                0.0000190689
    125.5751998304          0.5460786121                0.0454551714                0.0000164003
    125.6251998304          0.5491756865                0.0434545840                0.0000140564
    125.6751998304          0.5522727608                0.0415825921                0.0000120057
    125.7251998304          0.5553698352                0.0398284571                0.0000102188
    125.7751998304          0.5584669095                0.0381825336                0.0000086677
    125.8251998304          0.5615639838                0.0366361386                0.0000073266
    125.8751998304          0.5646610582                0.0351814392                0.0000061716
    125.9251998304          0.5677581325                0.0338113552                0.0000051807
    125.9751998304          0.5708552069                0.0325194740                0.0000043339
    126.0251998304          0.5739522812                0.0312999770                0.0000036129
    126.0751998304          0.5770493555                0.0301475750                0.0000030014
    126.1251998304          0.5801464299                0.0290574514                0.0000024848
    126.1751998304          0.5832435042                0.0280252128                0.0000020500
    126.2251998304          0.5863405786                0.0270468454                0.0000016855
    126.2751998304          0.5894376529                0.0261186761                0.0000013809
    126.3251998304          0.5925347272                0.0252373387                0.0000011275
    126.3751998304          0.5956318016                0.0243997437                0.0000009174
    126.4251998304          0.5987288759                0.0236030517                0.0000007439
    126.4751998304          0.6018259503                0.0228446491                0.0000006011
    126.5251998304          0.6049230246                0.0221221274                0.0000004840
    126.5751998304          0.6080200989                0.0214332639                0.0000003884
    126.6251998304          0.6111171733                0.0207760053                0.0000003106
    126.6751998304          0.6142142476                0.0201484517                0.0000002475
    126.7251998304          0.6173113220                0.0195488439                0.0000001966
    126.7751998304          0.6204083963                0.0189755505                0.0000001556
    126.8251998304          0.6235054706                0.0184270573                0.0000001227
    126.8751998304          0.6266025450                0.0179019571                0.0000000964
    126.9251998304          0.6296996193                0.0173989411                0.0000000755
    126.9751998304          0.6327966937                0.0169167904                0.0000000590
    127.0251998304          0.6358937680                0.0164543690                0.0000000459
    127.0751998304          0.6389908423                0.0160106171                0.0000000355
    127.1251998304          0.6420879167                0.0155845447                0.0000000275
    127.1751998304          0.6451849910                0.0151752267                0.0000000211
    127.2251998304          0.6482820654                0.0147817976                0.0000000162
    127.2751998304          0.6513791397                0.0144034468                0.0000000124
    127.3251998304          0.6544762140                0.0140394150                0.0000000094
    127.3751998304          0.6575732884                0.0136889896                0.0000000072
    127.4251998304          0.6606703627                0.0133515020                0.0000000054
    127.4751998304          0.6637674371                0.0130263240                0.0000000041
    127.5251998304          0.6668645114                0.0127128651                0.0000000031
    127.5751998304          0.6699615857                0.0124105696                0.0000000023
    127.6251998304          0.6730586601                0.0121189145                0.0000000017
    127.6751998304          0.6761557344                0.0118374068                0.0000000013
    127.7251998304          0.6792528088                0.0115655818                0.0000000009
    127.7751998304          0.6823498831                0.0113030012                0.0000000007
    127.8251998304          0.6854469574                0.0110492509                0.0000000005
    127.8751998304          0.6885440318                0.0108039399                0.0000000004
    127.9251998304          0.6916411061                0.0105666986                0.0000000003
    127.9751998304          0.6947381805                0.0103371772                0.0000000002
    128.0251998304          0.6978352548                0.0101150449                0.0000000001
    128.0751998304          0.7009323291                0.0098999881                0.0000000001
    128.1251998304          0.7040294035                0.0096917100                0.0000000001
    128.1751998304          0.7071264778                0.0094899288                0.0000000001
    128.2251998304          0.7102235522                0.0092943774                0.0000000000
    128.2751998304          0.7133206265                0.0091048023                0.0000000000
    128.3251998304          0.7164177008                0.0089209627                0.0000000000
    128.3751998304          0.7195147752                0.0087426297                0.0000000000
