# 	2theta (deg)	Background (arb. units)	Structural peak (arb. units)
    119.5007308390         -0.0085744422                0.0058289201
    119.5507308390         -0.0044663518                0.0059469402
    119.6007308390         -0.0003582614                0.0060685779
    119.6507308390          0.0037498290                0.0061939822
    119.7007308390          0.0078579194                0.0063233104
    119.7507308390          0.0119660098                0.0064567275
    119.8007308390          0.0160741002                0.0065944076
    119.8507308390          0.0201821906                0.0067365341
    119.9007308390          0.0242902810                0.0068833004
    119.9507308390          0.0283983714                0.0070349103
    120.0007308390          0.0325064617                0.0071915791
    120.0507308390          0.0366145521                0.0073535342
    120.1007308390          0.0407226425                0.0075210158
    120.1507308390          0.0448307329                0.0076942779
    120.2007308390          0.0489388233                0.0078735894
    120.2507308390          0.0530469137                0.0080592346
    120.3007308390          0.0571550041                0.0082515152
    120.3507308390          0.0612630945                0.0084507507
    120.4007308390          0.0653711849                0.0086572801
    120.4507308390          0.0694792753                0.0088714634
    120.5007308390          0.0735873657                0.0090936829
    120.5507308390          0.0776954561                0.0093243451
    120.6007308390          0.0818035465                0.0095638826
    120.6507308390          0.0859116369                0.0098127558
    120.7007308390          0.0900197273                0.0100714554
    120.7507308390          0.0941278176                0.0103405049
    120.8007308390          0.0982359080                0.0106204628
    120.8507308390          0.1023439984                0.0109119257
    120.9007308390          0.1064520888                0.0112155318
    120.9507308390          0.1105601792                0.0115319638
    121.0007308390          0.1146682696                0.0118619531
    121.0507308390          0.1187763600                0.0122062837
    121.1007308390          0.1228844504                0.0125657973
    121.1507308390          0.1269925408                0.0129413979
    121.2007308390          0.1311006312                0.0133340576
    121.2507308390          0.1352087216                0.0137448231
    121.3007308390          0.1393168120                0.0141748224
    121.3507308390          0.1434249024                0.0146252723
    121.4007308390          0.1475329928                0.0150974874
    121.4507308390          0.1516410832                0.0155928893
    121.5007308390          0.1557491735                0.0161130170
    121.5507308390          0.1598572639                0.0166595395
    121.6007308390          0.1639653543                0.0172342683
    121.6507308390          0.1680734447                0.0178391725
    121.7007308390          0.1721815351                0.0184763957
    121.7507308390          0.1762896255                0.0191482748
    121.8007308390          0.1803977159                0.0198573608
    121.8507308390          0.1845058063                0.0206064431
    121.9007308390          0.1886138967                0.0213985767
    121.9507308390          0.1927219871                0.0222371127
    122.0007308390          0.1968300775                0.0231257336
    122.0507308390          0.2009381679                0.0240684929
    122.1007308390          0.2050462583                0.0250698610
    122.1507308390          0.2091543487                0.0261347775
    122.2007308390          0.2132624391                0.0272687110
    122.2507308390          0.2173705294                0.0284777284
    122.3007308390          0.2214786198                0.0297685750
    122.3507308390          0.2255867102                0.0311487665
    122.4007308390          0.2296948006                0.0326266974
    122.4507308390          0.2338028910                0.0342117654
    122.5007308390          0.2379109814                0.0359145189
    122.5507308390          0.2420190718                0.0377468284
    122.6007308390          0.2461271622                0.0397220894
    122.6507308390          0.2502352526                0.0418554619
    122.7007308390          0.2543433430                0.0441641547
    122.7507308390          0.2584514334                0.0466677635
    122.8007308390          0.2625595238                0.0493886767
    122.8507308390          0.2666676142                0.0523525617
    122.9007308390          0.2707757046                0.0555889528
    122.9507308390          0.2748837950                0.0591319644
    123.0007308390          0.2789918853                0.0630211599
    123.0507308390          0.2830999757                0.0673026179
    123.1007308390          0.2872080661                0.0720302465
    123.1507308390          0.2913161565                0.0772674167
    123.2007308390          0.2954242469                0.0830890124
    123.2507308390          0.2995323373                0.0895840452
    123.3007308390          0.3036404277                0.0968590809
    123.3507308390          0.3077485181                0.1050429406
    123.4007308390          0.3118566085                0.1142936061
    123.4507308390          0.3159646989                0.1248092446
    123.5007308390          0.3200727893                0.1368472231
    123.5507308390          0.3241808797                0.1507585269
    123.6007308390          0.3282889701                0.1670507146
    123.6507308390          0.3323970605                0.1865003936
    123.7007308390          0.3365051509                0.2103443090
    123.7507308390          0.3406132412                0.2405813753
    123.8007308390          0.3447213316                0.2804068790
    123.8507308390          0.3488294220                0.3347623443
    123.9007308390          0.3529375124                0.4109108513
    123.9507308390          0.3570456028                0.5188424985
    124.0007308390          0.3611536932                0.6712086061
    124.0507308390          0.3652617836                0.8824354596
    124.1007308390          0.3693698740                1.1667476005
    124.1507308390          0.3734779644                1.5350651225
    124.2007308390          0.3775860548                1.9910483346
    124.2507308390          0.3816941452                2.5267193422
    124.3007308390          0.3858022356                3.1178390639
    124.3507308390          0.3899103260                3.7188209929
    124.4007308390          0.3940184164                4.2583339878
    124.4507308390          0.3981265068                4.6431055397
    124.5007308390          0.4022345971                4.7841240442
    124.5507308390          0.4063426875                4.6431055397
    124.6007308390          0.4104507779                4.2583339878
    124.6507308390          0.4145588683                3.7188209929
    124.7007308390          0.4186669587                3.1178390639
    124.7507308390          0.4227750491                2.5267193422
    124.8007308390          0.4268831395                1.9910483346
    124.8507308390          0.4309912299                1.5350651225
    124.9007308390          0.4350993203                1.1667476005
    124.9507308390          0.4392074107                0.8824354596
    125.0007308390          0.4433155011                0.6712086061
    125.0507308390          0.4474235915                0.5188424985
    125.1007308390          0.4515316819                0.4109108513
    125.1507308390          0.4556397723                0.3347623443
    125.2007308390          0.4597478627                0.2804068790
    125.2507308390          0.4638559530                0.2405813753
    125.3007308390          0.4679640434                0.2103443090
    125.3507308390          0.4720721338                0.1865003936
    125.4007308390          0.4761802242                0.1670507146
    125.4507308390          0.4802883146                0.1507585269
    125.5007308390          0.4843964050                0.1368472231
    125.5507308390          0.4885044954                0.1248092446
    125.6007308390          0.4926125858                0.1142936061
    125.6507308390          0.4967206762                0.1050429406
    125.7007308390          0.5008287666                0.0968590809
    125.7507308390          0.5049368570                0.0895840452
    125.8007308390          0.5090449474                0.0830890124
    125.8507308390          0.5131530378                0.0772674167
    125.9007308390          0.5172611282                0.0720302465
    125.9507308390          0.5213692186                0.0673026179
    126.0007308390          0.5254773089                0.0630211599
    126.0507308390          0.5295853993                0.0591319644
    126.1007308390          0.5336934897                0.0555889528
    126.1507308390          0.5378015801                0.0523525617
    126.2007308390          0.5419096705                0.0493886767
    126.2507308390          0.5460177609                0.0466677635
    126.3007308390          0.5501258513                0.0441641547
    126.3507308390          0.5542339417                0.0418554619
    126.4007308390          0.5583420321                0.0397220894
    126.4507308390          0.5624501225                0.0377468284
    126.5007308390          0.5665582129                0.0359145189
    126.5507308390          0.5706663033                0.0342117654
    126.6007308390          0.5747743937                0.0326266974
    126.6507308390          0.5788824841                0.0311487665
    126.7007308390          0.5829905745                0.0297685750
    126.7507308390          0.5870986648                0.0284777284
    126.8007308390          0.5912067552                0.0272687110
    126.8507308390          0.5953148456                0.0261347775
    126.9007308390          0.5994229360                0.0250698610
    126.9507308390          0.6035310264                0.0240684929
    127.0007308390          0.6076391168                0.0231257336
    127.0507308390          0.6117472072                0.0222371127
    127.1007308390          0.6158552976                0.0213985767
    127.1507308390          0.6199633880                0.0206064431
    127.2007308390          0.6240714784                0.0198573608
    127.2507308390          0.6281795688                0.0191482748
    127.3007308390          0.6322876592                0.0184763957
    127.3507308390          0.6363957496                0.0178391725
    127.4007308390          0.6405038400                0.0172342683
    127.4507308390          0.6446119304                0.0166595395
    127.5007308390          0.6487200207                0.0161130170
    127.5507308390          0.6528281111                0.0155928893
    127.6007308390          0.6569362015                0.0150974874
    127.6507308390          0.6610442919                0.0146252723
    127.7007308390          0.6651523823                0.0141748224
    127.7507308390          0.6692604727                0.0137448231
    127.8007308390          0.6733685631                0.0133340576
    127.8507308390          0.6774766535                0.0129413979
    127.9007308390          0.6815847439                0.0125657973
    127.9507308390          0.6856928343                0.0122062837
    128.0007308390          0.6898009247                0.0118619531
    128.0507308390          0.6939090151                0.0115319638
    128.1007308390          0.6980171055                0.0112155318
    128.1507308390          0.7021251959                0.0109119257
    128.2007308390          0.7062332863                0.0106204628
    128.2507308390          0.7103413766                0.0103405049
    128.3007308390          0.7144494670                0.0100714554
    128.3507308390          0.7185575574                0.0098127558
    128.4007308390          0.7226656478                0.0095638826
    128.4507308390          0.7267737382                0.0093243451
    128.5007308390          0.7308818286                0.0090936829
    128.5507308390          0.7349899190                0.0088714634
    128.6007308390          0.7390980094                0.0086572801
    128.6507308390          0.7432060998                0.0084507507
    128.7007308390          0.7473141902                0.0082515152
    128.7507308390          0.7514222806                0.0080592346
    128.8007308390          0.7555303710                0.0078735894
    128.8507308390          0.7596384614                0.0076942779
    128.9007308390          0.7637465518                0.0075210158
    128.9507308390          0.7678546422                0.0073535342
    129.0007308390          0.7719627325                0.0071915791
    129.0507308390          0.7760708229                0.0070349103
    129.1007308390          0.7801789133                0.0068833004
    129.1507308390          0.7842870037                0.0067365341
    129.2007308390          0.7883950941                0.0065944076
    129.2507308390          0.7925031845                0.0064567275
    129.3007308390          0.7966112749                0.0063233104
    129.3507308390          0.8007193653                0.0061939822
    129.4007308390          0.8048274557                0.0060685779
    129.4507308390          0.8089355461                0.0059469402
    129.5007308390          0.8130436365                0.0058289201
