# 	2theta (deg)	Background (arb. units)	Structural peak (arb. units)	Magnetic peak (arb. units)
    118.3751998304         -0.0504445529                0.0084226506                0.0000000000
    118.4251998304         -0.0458874786                0.0085911094                0.0000000000
    118.4751998304         -0.0413304044                0.0087646676                0.0000000000
    118.5251998304         -0.0367733301                0.0089435329                0.0000000000
    118.5751998304         -0.0322162558                0.0091279237                0.0000000001
    118.6251998304         -0.0276591816                0.0093180696                0.0000000001
    118.6751998304         -0.0231021073                0.0095142124                0.0000000001
    118.7251998304         -0.0185450331                0.0097166067                0.0000000001
    118.7751998304         -0.0139879588                0.0099255206                0.0000000002
    118.8251998304         -0.0094308845                0.0101412368                0.0000000003
    118.8751998304         -0.0048738103                0.0103640535                0.0000000004
    118.9251998304         -0.0003167360                0.0105942854                0.0000000005
    118.9751998304          0.0042403383                0.0108322647                0.0000000007
    119.0251998304          0.0087974125                0.0110783424                0.0000000009
    119.0751998304          0.0133544868                0.0113328898                0.0000000013
    119.1251998304          0.0179115610                0.0115962994                0.0000000017
    119.1751998304          0.0224686353                0.0118689870                0.0000000023
    119.2251998304          0.0270257096                0.0121513925                0.0000000031
    119.2751998304          0.0315827838                0.0124439828                0.0000000041
    119.3251998304          0.0361398581                0.0127472527                0.0000000054
    119.3751998304          0.0406969323                0.0130617274                0.0000000072
    119.4251998304          0.0452540066                0.0133879649                0.0000000094
    119.4751998304          0.0498110809                0.0137265583                0.0000000124
    119.5251998304          0.0543681551                0.0140781382                0.0000000162
    119.5751998304          0.0589252294                0.0144433764                0.0000000211
    119.6251998304          0.0634823036                0.0148229880                0.0000000275
    119.6751998304          0.0680393779                0.0152177360                0.0000000355
    119.7251998304          0.0725964522                0.0156284342                0.0000000459
    119.7751998304          0.0771535264                0.0160559520                0.0000000590
    119.8251998304          0.0817106007                0.0165012186                0.0000000755
    119.8751998304          0.0862676750                0.0169652281                0.0000000964
    119.9251998304          0.0908247492                0.0174490450                0.0000001227
    119.9751998304          0.0953818235                0.0179538105                0.0000001556
    120.0251998304          0.0999388977                0.0184807487                0.0000001966
    120.0751998304          0.1044959720                0.0190311745                0.0000002475
    120.1251998304          0.1090530463                0.0196065013                0.0000003106
    120.1751998304          0.1136101205                0.0202082502                0.0000003884
    120.2251998304          0.1181671948                0.0208380600                0.0000004840
    120.2751998304          0.1227242690                0.0214976981                0.0000006011
    120.3251998304          0.1272813433                0.0221890730                0.0000007439
    120.3751998304          0.1318384176                0.0229142478                0.0000009174
    120.4251998304          0.1363954918                0.0236754553                0.0000011275
    120.4751998304          0.1409525661                0.0244751156                0.0000013809
    120.5251998304          0.1455096404                0.0253158545                0.0000016855
    120.5751998304          0.1500667146                0.0262005251                0.0000020500
    120.6251998304          0.1546237889                0.0271322317                0.0000024848
    120.6751998304          0.1591808631                0.0281143566                0.0000030014
    120.7251998304          0.1637379374                0.0291505908                0.0000036129
    120.7751998304          0.1682950117                0.0302449679                0.0000043339
    120.8251998304          0.1728520859                0.0314019027                0.0000051807
    120.8751998304          0.1774091602                0.0326262357                0.0000061716
    120.9251998304          0.1819662344                0.0339232824                0.0000073266
    120.9751998304          0.1865233087                0.0352988907                0.0000086677
    121.0251998304          0.1910803830                0.0367595052                0.0000102188
    121.0751998304          0.1956374572                0.0383122421                0.0000120057
    121.1251998304          0.2001945315                0.0399649741                0.0000140564
    121.1751998304          0.2047516058                0.0417264285                0.0000164003
    121.2251998304          0.2093086800                0.0436063006                0.0000190689
    121.2751998304          0.2138657543                0.0456153840                0.0000220951
    121.3251998304          0.2184228285                0.0477657231                0.0000255129
    121.3751998304          0.2229799028                0.0500707896                0.0000293574
    121.4251998304          0.2275369771                0.0525456890                0.0000336644
    121.4751998304          0.2320940513                0.0552074021                0.0000384698
    121.5251998304          0.2366511256                0.0580750697                0.0000438089
    121.5751998304          0.2412081998                0.0611703278                0.0000497165
    121.6251998304          0.2457652741                0.0645177045                0.0000562255
    121.6751998304          0.2503223484                0.0681450927                0.0000633667
    121.7251998304          0.2548794226                0.0720843131                0.0000711678
    121.7751998304          0.2594364969                0.0763717903                0.0000796528
    121.8251998304          0.2639935712                0.0810493660                0.0000888410
    121.8751998304          0.2685506454                0.0861652833                0.0000987462
    121.9251998304          0.2731077197                0.0917753839                0.0001093760
    121.9751998304          0.2776647939                0.0979445713                0.0001207311
    122.0251998304          0.2822218682                0.1047486153                0.0001328038
    122.0751998304          0.2867789425                0.1122763974                0.0001455785
    122.1251998304          0.2913360167                0.1206327500                0.0001590298
    122.1751998304          0.2958930910                0.1299421395                0.0001731229
    122.2251998304          0.3004501652                0.1403536280                0.0001878130
    122.2751998304          0.3050072395                0.1520479311                0.0002030446
    122.3251998304          0.3095643138                0.1652480991                0.0002187521
    122.3751998304          0.3141213880                0.1802366481                0.0002348593
    122.4251998304          0.3186784623                0.1973841116                0.0002512802
    122.4751998304          0.3232355365                0.2171971701                0.0002679190
    122.5251998304          0.3277926108                0.2403985473                0.0002846713
    122.5751998304          0.3323496851                0.2680546556                0.0003014245
    122.6251998304          0.3369067593                0.3017680442                0.0003180595
    122.6751998304          0.3414638336                0.3439458571                0.0003344515
    122.7251998304          0.3460209079                0.3981375642                0.0003504714
    122.7751998304          0.3505779821                0.4694012439                0.0003659881
    122.8251998304          0.3551350564                0.5646089327                0.0003808695
    122.8751998304          0.3596921306                0.6925488380                0.0003949847
    122.9251998304          0.3642492049                0.8636474728                0.0004082058
    122.9751998304          0.3688062792                1.0891453004                0.0004204100
    123.0251998304          0.3733633534                1.3796312120                0.0004314809
    123.0751998304          0.3779204277                1.7429523188                0.0004413113
    123.1251998304          0.3824775019                2.1815823059                0.0004498041
    123.1751998304          0.3870345762                2.6894199711                0.0004568742
    123.2251998304          0.3915916505                3.2476503828                0.0004624498
    123.2751998304          0.3961487247                3.8191983610                0.0004664741
    123.3251998304          0.4007057990                4.3431082475                0.0004689054
    123.3751998304          0.4052628733                4.7359745975                0.0004697186
    123.4251998304          0.4098199475                4.9129461039                0.0004689054
    123.4751998304          0.4143770218                4.8284012366                0.0004664741
    123.5251998304          0.4189340960                4.5047493146                0.0004624498
    123.5751998304          0.4234911703                4.0177207558                0.0004568742
    123.6251998304          0.4280482446                3.4549874107                0.0004498041
    123.6751998304          0.4326053188                2.8865251266                0.0004413113
    123.7251998304          0.4371623931                2.3575123169                0.0004314809
    123.7751998304          0.4417194673                1.8926424375                0.0004204100
    123.8251998304          0.4462765416                1.5020590949                0.0004082058
    123.8751998304          0.4508336159                1.1859766031                0.0003949847
    123.9251998304          0.4553906901                0.9381567363                0.0003808695
    123.9751998304          0.4599477644                0.7487288381                0.0003659881
    124.0251998304          0.4645048387                0.6064843950                0.0003504714
    124.0751998304          0.4690619129                0.5005755546                0.0003344515
    124.1251998304          0.4736189872                0.4215654302                0.0003180595
    124.1751998304          0.4781760614                0.3618864014                0.0003014245
    124.2251998304          0.4827331357                0.3158539639                0.0002846713
    124.2751998304          0.4872902100                0.2794158024                0.0002679190
    124.3251998304          0.4918472842                0.2497943275                0.0002512802
    124.3751998304          0.4964043585                0.2251316532                0.0002348593
    124.4251998304          0.5009614327                0.2041939519                0.0002187521
    124.4751998304          0.5055185070                0.1861522446                0.0002030446
    124.5251998304          0.5100755813                0.1704332318                0.0001878130
    124.5751998304          0.5146326555                0.1566241601                0.0001731229
    124.6251998304          0.5191897298                0.1444148567                0.0001590298
    124.6751998304          0.5237468040                0.1335632522                0.0001455785
    124.7251998304          0.5283038783                0.1238748465                0.0001328038
    124.7751998304          0.5328609526                0.1151901161                0.0001207311
    124.8251998304          0.5374180268                0.1073763785                0.0001093760
    124.8751998304          0.5419751011                0.1003221962                0.0000987462
    124.9251998304          0.5465321754                0.0939332966                0.0000888410
    124.9751998304          0.5510892496                0.0881294650                0.0000796528
    125.0251998304          0.5556463239                0.0828421052                0.0000711678
    125.0751998304          0.5602033981                0.0780122905                0.0000633667
    125.1251998304          0.5647604724                0.0735891868                0.0000562255
    125.1751998304          0.5693175467                0.0695287658                0.0000497165
    125.2251998304          0.5738746209                0.0657927504                0.0000438089
    125.2751998304          0.5784316952                0.0623477429                0.0000384698
    125.3251998304          0.5829887694                0.0591645037                0.0000336644
    125.3751998304          0.5875458437                0.0562173492                0.0000293574
    125.4251998304          0.5921029180                0.0534836493                0.0000255129
    125.4751998304          0.5966599922                0.0509434045                0.0000220951
    125.5251998304          0.6012170665                0.0485788898                0.0000190689
    125.5751998304          0.6057741408                0.0463743529                0.0000164003
    125.6251998304          0.6103312150                0.0443157582                0.0000140564
    125.6751998304          0.6148882893                0.0423905681                0.0000120057
    125.7251998304          0.6194453635                0.0405875562                0.0000102188
    125.7751998304          0.6240024378                0.0388966471                0.0000086677
    125.8251998304          0.6285595121                0.0373087782                0.0000073266
    125.8751998304          0.6331165863                0.0358157804                0.0000061716
    125.9251998304          0.6376736606                0.0344102750                0.0000051807
    125.9751998304          0.6422307348                0.0330855842                0.0000043339
    126.0251998304          0.6467878091                0.0318356527                0.0000036129
    126.0751998304          0.6513448834                0.0306549797                0.0000030014
    126.1251998304          0.6559019576                0.0295385596                0.0000024848
    126.1751998304          0.6604590319                0.0284818293                0.0000020500
    126.2251998304          0.6650161062                0.0274806223                0.0000016855
    126.2751998304          0.6695731804                0.0265311282                0.0000013809
    126.3251998304          0.6741302547                0.0256298570                0.0000011275
    126.3751998304          0.6786873289                0.0247736074                0.0000009174
    126.4251998304          0.6832444032                0.0239594385                0.0000007439
    126.4751998304          0.6878014775                0.0231846450                0.0000006011
    126.5251998304          0.6923585517                0.0224467350                0.0000004840
    126.5751998304          0.6969156260                0.0217434102                0.0000003884
    126.6251998304          0.7014727002                0.0210725480                0.0000003106
    126.6751998304          0.7060297745                0.0204321859                0.0000002475
    126.7251998304          0.7105868488                0.0198205069                0.0000001966
    126.7751998304          0.7151439230                0.0192358273                0.0000001556
    126.8251998304          0.7197009973                0.0186765846                0.0000001227
    126.8751998304          0.7242580716                0.0181413277                0.0000000964
    126.9251998304          0.7288151458                0.0176287071                0.0000000755
    126.9751998304          0.7333722201                0.0171374669                0.0000000590
    127.0251998304          0.7379292943                0.0166664367                0.0000000459
    127.0751998304          0.7424863686                0.0162145251                0.0000000355
    127.1251998304          0.7470434429                0.0157807133                0.0000000275
    127.1751998304          0.7516005171                0.0153640491                0.0000000211
    127.2251998304          0.7561575914                0.0149636423                0.0000000162
    127.2751998304          0.7607146656                0.0145786594                0.0000000124
    127.3251998304          0.7652717399                0.0142083196                0.0000000094
    127.3751998304          0.7698288142                0.0138518909                0.0000000072
    127.4251998304          0.7743858884                0.0135086863                0.0000000054
    127.4751998304          0.7789429627                0.0131780605                0.0000000041
    127.5251998304          0.7835000369                0.0128594074                0.0000000031
    127.5751998304          0.7880571112                0.0125521566                0.0000000023
    127.6251998304          0.7926141855                0.0122557713                0.0000000017
    127.6751998304          0.7971712597                0.0119697460                0.0000000013
    127.7251998304          0.8017283340                0.0116936039                0.0000000009
    127.7751998304          0.8062854083                0.0114268956                0.0000000007
    127.8251998304          0.8108424825                0.0111691968                0.0000000005
    127.8751998304          0.8153995568                0.0109201067                0.0000000004
    127.9251998304          0.8199566310                0.0106792467                0.0000000003
    127.9751998304          0.8245137053                0.0104462585                0.0000000002
    128.0251998304          0.8290707796                0.0102208033                0.0000000001
    128.0751998304          0.8336278538                0.0100025602                0.0000000001
    128.1251998304          0.8381849281                0.0097912251                0.0000000001
    128.1751998304          0.8427420023                0.0095865099                0.0000000001
    128.2251998304          0.8472990766                0.0093881414                0.0000000000
