# 	2theta (deg)	Background (arb. units)	Structural peak (arb. units)	Magnetic peak (arb. units)
    126.9417305598         -0.0966840893                0.0200905209                0.2202732440
    126.9917305598         -0.0970386028                0.0195544730                0.2135994931
    127.0417305598         -0.0973931163                0.0190395638                0.2073148728
    127.0917305598         -0.0977476298                0.0185446978                0.2013817937
    127.1417305598         -0.0981021433                0.0180688497                0.1957670423
    127.1917305598         -0.0984566568                0.0176110587                0.1904412971
    127.2417305598         -0.0988111703                0.0171704238                0.1853786862
    127.2917305598         -0.0991656838                0.0167460995                0.1805563852
    127.3417305598         -0.0995201973                0.0163372917                0.1759542528
    127.3917305598         -0.0998747108                0.0159432540                0.1715545043
    127.4417305598         -0.1002292243                0.0155632841                0.1673414186
    127.4917305598         -0.1005837378                0.0151967212                0.1633010782
    127.5417305598         -0.1009382513                0.0148429426                0.1594211382
    127.5917305598         -0.1012927648                0.0145013613                0.1556906233
    127.6417305598         -0.1016472782                0.0141714236                0.1520997489
    127.6917305598         -0.1020017917                0.0138526069                0.1486397651
    127.7417305598         -0.1023563052                0.0135444174                0.1453028206
    127.7917305598         -0.1027108187                0.0132463886                0.1420818440
    127.8417305598         -0.1030653322                0.0129580792                0.1389704422
    127.8917305598         -0.1034198457                0.0126790714                0.1359628115
    127.9417305598         -0.1037743592                0.0124089698                0.1330536616
    127.9917305598         -0.1041288727                0.0121473997                0.1302381502
    128.0417305598         -0.1044833862                0.0118940059                0.1275118273
    128.0917305598         -0.1048378997                0.0116484514                0.1248705865
    128.1417305598         -0.1051924132                0.0114104166                0.1223106246
    128.1917305598         -0.1055469267                0.0111795977                0.1198284061
    128.2417305598         -0.1059014402                0.0109557062                0.1174206329
    128.2917305598         -0.1062559537                0.0107384680                0.1150842192
    128.3417305598         -0.1066104672                0.0105276222                0.1128162692
    128.3917305598         -0.1069649807                0.0103229206                0.1106140578
    128.4417305598         -0.1073194942                0.0101241271                0.1084750149
    128.4917305598         -0.1076740077                0.0099310166                0.1063967113
    128.5417305598         -0.1080285212                0.0097433747                0.1043768461
