# 	2theta (deg)	Background (arb. units)	Structural peak (arb. units)	Magnetic peak (arb. units)
    118.5417305598         -0.0371258216                0.0119421671                0.1043768461
    118.5917305598         -0.0374803351                0.0121971082                0.1063967113
    118.6417305598         -0.0378348485                0.0124602925                0.1084750149
    118.6917305598         -0.0381893620                0.0127320788                0.1106140578
    118.7417305598         -0.0385438755                0.0130128459                0.1128162692
    118.7917305598         -0.0388983890                0.0133029933                0.1150842192
    118.8417305598         -0.0392529025                0.0136029430                0.1174206329
    118.8917305598         -0.0396074160                0.0139131413                0.1198284061
    118.9417305598         -0.0399619295                0.0142340596                0.1223106246
    118.9917305598         -0.0403164430                0.0145661973                0.1248705865
    119.0417305598         -0.0406709565                0.0149100827                0.1275118273
    119.0917305598         -0.0410254700                0.0152662757                0.1302381502
    119.1417305598         -0.0413799835                0.0156353700                0.1330536616
    119.1917305598         -0.0417344970                0.0160179955                0.1359628115
    119.2417305598         -0.0420890105                0.0164148207                0.1389704422
    119.2917305598         -0.0424435240                0.0168265561                0.1420818440
    119.3417305598         -0.0427980375                0.0172539570                0.1453028206
    119.3917305598         -0.0431525510                0.0176978273                0.1486397651
    119.4417305598         -0.0435070645                0.0181590227                0.1520997489
    119.4917305598         -0.0438615780                0.0186384553                0.1556906233
    119.5417305598         -0.0442160915                0.0191370980                0.1594211382
    119.5917305598         -0.0445706050                0.0196559893                0.1633010782
    119.6417305598         -0.0449251185                0.0201962385                0.1673414186
    119.6917305598         -0.0452796320                0.0207590322                0.1715545043
    119.7417305598         -0.0456341455                0.0213456400                0.1759542528
    119.7917305598         -0.0459886590                0.0219574222                0.1805563852
    119.8417305598         -0.0463431725                0.0225958375                0.1853786862
    119.8917305598         -0.0466976860                0.0232624513                0.1904412971
    119.9417305598         -0.0470521995                0.0239589460                0.1957670423
    119.9917305598         -0.0474067130                0.0246871305                0.2013817937
    120.0417305598         -0.0477612265                0.0254489529                0.2073148728
    120.0917305598         -0.0481157400                0.0262465126                0.2135994931
    120.1417305598         -0.0484702535                0.0270820752                0.2202732440
    120.1917305598         -0.0488247670                0.0279580884                0.2273786150
    120.2417305598         -0.0491792805                0.0288771994                0.2349635619
    120.2917305598         -0.0495337940                0.0298422752                0.2430821115
    120.3417305598         -0.0498883075                0.0308564245                0.2517950036
    120.3917305598         -0.0502428210                0.0319230228                0.2611703649
    120.4417305598         -0.0505973345                0.0330457397                0.2712844117
    120.4917305598         -0.0509518480                0.0342285708                0.2822221709
    120.5417305598         -0.0513063615                0.0354758726                0.2940782143
    120.5917305598         -0.0516608750                0.0367924021                0.3069573917
    120.6417305598         -0.0520153885                0.0381833619                0.3209755528
    120.6917305598         -0.0523699020                0.0396544510                0.3362602412
    120.7417305598         -0.0527244155                0.0412119226                0.3529513433
    120.7917305598         -0.0530789290                0.0428626496                0.3712016747
    120.8417305598         -0.0534334425                0.0446141997                0.3911774798
    120.8917305598         -0.0537879560                0.0464749208                0.4130588241
    120.9417305598         -0.0541424695                0.0484540396                0.4370398532
    120.9917305598         -0.0544969830                0.0505617740                0.4633288928
    121.0417305598         -0.0548514965                0.0528094634                0.4921483617
    121.0917305598         -0.0552060100                0.0552097188                0.5237344729
    121.1417305598         -0.0555605235                0.0577765970                0.5583366926
    121.1917305598         -0.0559150370                0.0605258031                0.5962169338
    121.2417305598         -0.0562695505                0.0634749265                0.6376484573
    121.2917305598         -0.0566240640                0.0666437176                0.6829144602
    121.3417305598         -0.0569785775                0.0700544117                0.7323063315
    121.3917305598         -0.0573330910                0.0737321117                0.7861215595
    121.4417305598         -0.0576876045                0.0777052403                0.8446612830
    121.4917305598         -0.0580421180                0.0820060772                0.9082274803
    121.5417305598         -0.0583966315                0.0866713991                0.9771197978
    121.5917305598         -0.0587511450                0.0917432467                1.0516320297
    121.6417305598         -0.0591056584                0.0972698470                1.1320482620
    121.6917305598         -0.0594601719                0.1033067279                1.2186387074
    121.7417305598         -0.0598146854                0.1099180712                1.3116552620
    121.7917305598         -0.0601691989                0.1171783648                1.4113268211
    121.8417305598         -0.0605237124                0.1251744292                1.5178544021
    121.8917305598         -0.0608782259                0.1340079192                1.6314061236
    121.9417305598         -0.0612327394                0.1437984303                1.7521120954
    121.9917305598         -0.0615872529                0.1546873824                1.8800592793
    122.0417305598         -0.0619417664                0.1668429196                2.0152863753
    122.0917305598         -0.0622962799                0.1804661639                2.1577787921
    122.1417305598         -0.0626507934                0.1957993420                2.3074637520
    122.1917305598         -0.0630053069                0.2131366469                2.4642055743
    122.2417305598         -0.0633598204                0.2328393639                2.6278011731
    122.2917305598         -0.0637143339                0.2553580891                2.7979757933
    122.3417305598         -0.0640688474                0.2812672444                2.9743789955
    122.3917305598         -0.0644233609                0.3113210684                3.1565808897
    122.4417305598         -0.0647778744                0.3465460707                3.3440686069
    122.4917305598         -0.0651323879                0.3883917739                3.5362429943
    122.5417305598         -0.0654869014                0.4389664168                3.7324155196
    122.5917305598         -0.0658414149                0.5013809294                3.9318053890
    122.6417305598         -0.0661959284                0.5802038310                4.1335369146
    122.6917305598         -0.0665504419                0.6819832801                4.3366372190
    122.7417305598         -0.0669049554                0.8157198489                4.5400344484
    122.7917305598         -0.0672594689                0.9930909334                4.7425567717
    122.8417305598         -0.0676139824                1.2281701380                4.9429325798
    122.8917305598         -0.0679684959                1.5363893062                5.1397924596
    122.9417305598         -0.0683230094                1.9325486541                5.3316736787
    122.9917305598         -0.0686775229                2.4276670129                5.5170280708
    123.0417305598         -0.0690320364                3.0241015150                5.6942343085
    123.0917305598         -0.0693865499                3.7074373629                5.8616155543
    123.1417305598         -0.0697410634                4.4330608122                6.0174633455
    123.1917305598         -0.0700955769                5.1095303085                6.1600682408
    123.2417305598         -0.0704500904                5.5968470826                6.2877572240
    123.2917305598         -0.0708046039                5.7532651759                6.3989371240
    123.3417305598         -0.0711591174                5.5250301420                6.4921424320
    123.3917305598         -0.0715136309                4.9891835087                6.5660849940
    123.4417305598         -0.0718681444                4.2936056979                6.6197022807
    123.4917305598         -0.0722226579                3.5706672461                6.6522004738
    123.5417305598         -0.0725771714                2.9017606976                6.6630885991
    123.5917305598         -0.0729316849                2.3243783000                6.6522004738
    123.6417305598         -0.0732861984                1.8488485779                6.6197022807
    123.6917305598         -0.0736407119                1.4706466168                6.5660849940
    123.7417305598         -0.0739952254                1.1777134902                6.4921424320
    123.7917305598         -0.0743497389                0.9549226110                6.3989371240
    123.8417305598         -0.0747042524                0.7869806284                6.2877572240
    123.8917305598         -0.0750587659                0.6602210795                6.1600682408
    123.9417305598         -0.0754132794                0.5634794385                6.0174633455
    123.9917305598         -0.0757677929                0.4882557315                5.8616155543
    124.0417305598         -0.0761223064                0.4284234579                5.6942343085
    124.0917305598         -0.0764768199                0.3797343176                5.5170280708
    124.1417305598         -0.0768313334                0.3393025822                5.3316736787
    124.1917305598         -0.0771858469                0.3051699839                5.1397924597
    124.2417305598         -0.0775403604                0.2759837463                4.9429325798
    124.2917305598         -0.0778948739                0.2507793345                4.7425567717
    124.3417305598         -0.0782493874                0.2288429228                4.5400344484
    124.3917305598         -0.0786039009                0.2096274465                4.3366372190
    124.4417305598         -0.0789584144                0.1927017072                4.1335369146
    124.4917305598         -0.0793129279                0.1777187890                3.9318053890
    124.5417305598         -0.0796674414                0.1643955176                3.7324155196
    124.5917305598         -0.0800219549                0.1524983232                3.5362429943
    124.6417305598         -0.0803764683                0.1418329969                3.3440686069
    124.6917305598         -0.0807309818                0.1322369776                3.1565808897
    124.7417305598         -0.0810854953                0.1235733923                2.9743789955
    124.7917305598         -0.0814400088                0.1157263744                2.7979757933
    124.8417305598         -0.0817945223                0.1085973453                2.6278011731
    124.8917305598         -0.0821490358                0.1021020368                2.4642055743
    124.9417305598         -0.0825035493                0.0961680899                2.3074637520
    124.9917305598         -0.0828580628                0.0907331068                2.1577787921
    125.0417305598         -0.0832125763                0.0857430623                2.0152863753
    125.0917305598         -0.0835670898                0.0811510004                1.8800592793
    125.1417305598         -0.0839216033                0.0769159602                1.7521120954
    125.1917305598         -0.0842761168                0.0730020858                1.6314061236
    125.2417305598         -0.0846306303                0.0693778866                1.5178544021
    125.2917305598         -0.0849851438                0.0660156179                1.4113268211
    125.3417305598         -0.0853396573                0.0628907614                1.3116552620
    125.3917305598         -0.0856941708                0.0599815881                1.2186387074
    125.4417305598         -0.0860486843                0.0572687872                1.1320482620
    125.4917305598         -0.0864031978                0.0547351521                1.0516320297
    125.5417305598         -0.0867577113                0.0523653124                0.9771197978
    125.5917305598         -0.0871122248                0.0501455043                0.9082274803
    125.6417305598         -0.0874667383                0.0480633744                0.8446612830
    125.6917305598         -0.0878212518                0.0461078101                0.7861215595
    125.7417305598         -0.0881757653                0.0442687939                0.7323063315
    125.7917305598         -0.0885302788                0.0425372767                0.6829144602
    125.8417305598         -0.0888847923                0.0409050679                0.6376484573
    125.8917305598         -0.0892393058                0.0393647398                0.5962169338
    125.9417305598         -0.0895938193                0.0379095443                0.5583366926
    125.9917305598         -0.0899483328                0.0365333399                0.5237344729
    126.0417305598         -0.0903028463                0.0352305274                0.4921483617
    126.0917305598         -0.0906573598                0.0339959936                0.4633288928
    126.1417305598         -0.0910118733                0.0328250619                0.4370398532
    126.1917305598         -0.0913663868                0.0317134484                0.4130588241
    126.2417305598         -0.0917209003                0.0306572228                0.3911774798
    126.2917305598         -0.0920754138                0.0296527743                0.3712016747
    126.3417305598         -0.0924299273                0.0286967810                0.3529513433
    126.3917305598         -0.0927844408                0.0277861825                0.3362602412
    126.4417305598         -0.0931389543                0.0269181558                0.3209755528
    126.4917305598         -0.0934934678                0.0260900934                0.3069573917
    126.5417305598         -0.0938479813                0.0252995842                0.2940782143
    126.5917305598         -0.0942024948                0.0245443958                0.2822221709
    126.6417305598         -0.0945570083                0.0238224588                0.2712844117
    126.6917305598         -0.0949115218                0.0231318530                0.2611703649
    126.7417305598         -0.0952660353                0.0224707947                0.2517950036
    126.7917305598         -0.0956205488                0.0218376248                0.2430821115
    126.8417305598         -0.0959750623                0.0212307991                0.2349635619
    126.8917305598         -0.0963295758                0.0206488785                0.2273786150
