# 	2theta (deg)	Background (arb. units)	Structural peak (arb. units)
    119.4590707918          0.0000099775                0.0068465043
    119.5090707918          0.0048818125                0.0069851208
    119.5590707918          0.0097536474                0.0071279858
    119.6090707918          0.0146254823                0.0072752746
    119.6590707918          0.0194973173                0.0074271715
    119.7090707918          0.0243691522                0.0075838707
    119.7590707918          0.0292409871                0.0077455764
    119.8090707918          0.0341128220                0.0079125040
    119.8590707918          0.0389846570                0.0080848805
    119.9090707918          0.0438564919                0.0082629455
    119.9590707918          0.0487283268                0.0084469516
    120.0090707918          0.0536001618                0.0086371659
    120.0590707918          0.0584719967                0.0088338705
    120.1090707918          0.0633438316                0.0090373636
    120.1590707918          0.0682156666                0.0092479609
    120.2090707918          0.0730875015                0.0094659964
    120.2590707918          0.0779593364                0.0096918242
    120.3090707918          0.0828311714                0.0099258196
    120.3590707918          0.0877030063                0.0101683806
    120.4090707918          0.0925748412                0.0104199299
    120.4590707918          0.0974466762                0.0106809164
    120.5090707918          0.1023185111                0.0109518175
    120.5590707918          0.1071903460                0.0112331409
    120.6090707918          0.1120621809                0.0115254275
    120.6590707918          0.1169340159                0.0118292533
    120.7090707918          0.1218058508                0.0121452329
    120.7590707918          0.1266776857                0.0124740220
    120.8090707918          0.1315495207                0.0128163214
    120.8590707918          0.1364213556                0.0131728801
    120.9090707918          0.1412931905                0.0135444997
    120.9590707918          0.1461650255                0.0139320389
    121.0090707918          0.1510368604                0.0143364183
    121.0590707918          0.1559086953                0.0147586259
    121.1090707918          0.1607805303                0.0151997231
    121.1590707918          0.1656523652                0.0156608511
    121.2090707918          0.1705242001                0.0161432388
    121.2590707918          0.1753960351                0.0166482102
    121.3090707918          0.1802678700                0.0171771940
    121.3590707918          0.1851397049                0.0177317333
    121.4090707918          0.1900115398                0.0183134968
    121.4590707918          0.1948833748                0.0189242913
    121.5090707918          0.1997552097                0.0195660758
    121.5590707918          0.2046270446                0.0202409766
    121.6090707918          0.2094988796                0.0209513051
    121.6590707918          0.2143707145                0.0216995775
    121.7090707918          0.2192425494                0.0224885363
    121.7590707918          0.2241143844                0.0233211758
    121.8090707918          0.2289862193                0.0242007698
    121.8590707918          0.2338580542                0.0251309037
    121.9090707918          0.2387298892                0.0261155102
    121.9590707918          0.2436017241                0.0271589109
    122.0090707918          0.2484735590                0.0282658626
    122.0590707918          0.2533453940                0.0294416111
    122.1090707918          0.2582172289                0.0306919524
    122.1590707918          0.2630890638                0.0320233031
    122.2090707918          0.2679608987                0.0334427815
    122.2590707918          0.2728327337                0.0349583013
    122.3090707918          0.2777045686                0.0365786798
    122.3590707918          0.2825764035                0.0383137644
    122.4090707918          0.2874482385                0.0401745791
    122.4590707918          0.2923200734                0.0421734965
    122.5090707918          0.2971919083                0.0443244391
    122.5590707918          0.3020637433                0.0466431170
    122.6090707918          0.3069355782                0.0491473080
    122.6590707918          0.3118074131                0.0518571905
    122.7090707918          0.3166792481                0.0547957400
    122.7590707918          0.3215510830                0.0579892031
    122.8090707918          0.3264229179                0.0614676674
    122.8590707918          0.3312947529                0.0652657491
    122.9090707918          0.3361665878                0.0694234267
    122.9590707918          0.3410384227                0.0739870581
    123.0090707918          0.3459102576                0.0790106260
    123.0590707918          0.3507820926                0.0845572748
    123.1090707918          0.3556539275                0.0907012186
    123.1590707918          0.3605257624                0.0975301352
    123.2090707918          0.3653975974                0.1051482157
    123.2590707918          0.3702694323                0.1136801504
    123.3090707918          0.3751412672                0.1232765596
    123.3590707918          0.3800131022                0.1341218632
    123.4090707918          0.3848849371                0.1464465736
    123.4590707918          0.3897567720                0.1605479000
    123.5090707918          0.3946286070                0.1768259094
    123.5590707918          0.3995004419                0.1958477303
    123.6090707918          0.4043722768                0.2184591831
    123.6590707918          0.4092441118                0.2459698593
    123.7090707918          0.4141159467                0.2804392065
    123.7590707918          0.4189877816                0.3250792884
    123.8090707918          0.4238596165                0.3847543375
    123.8590707918          0.4287314515                0.4664912869
    123.9090707918          0.4336032864                0.5798251530
    123.9590707918          0.4384751213                0.7367162639
    124.0090707918          0.4433469563                0.9507428962
    124.0590707918          0.4482187912                1.2353455091
    124.1090707918          0.4530906261                1.6010877697
    124.1590707918          0.4579624611                2.0521147212
    124.2090707918          0.4628342960                2.5820154767
    124.2590707918          0.4677061309                3.1689376354
    124.3090707918          0.4725779659                3.7694540729
    124.3590707918          0.4774498008                4.3125268532
    124.4090707918          0.4823216357                4.7022938042
    124.4590707918          0.4871934706                4.8456574644
    124.5090707918          0.4920653056                4.7022938042
    124.5590707918          0.4969371405                4.3125268532
    124.6090707918          0.5018089754                3.7694540730
    124.6590707918          0.5066808104                3.1689376354
    124.7090707918          0.5115526453                2.5820154767
    124.7590707918          0.5164244802                2.0521147212
