# 	2theta (deg)	Background (arb. units)	Structural peak (arb. units)	Magnetic peak (arb. units)
    118.5431210897         -0.0872533904                0.0065436662                0.2411727974
    118.5931210897         -0.0831453000                0.0066841485                0.2460066698
    118.6431210897         -0.0790372096                0.0068291988                0.2509866853
    118.6931210897         -0.0749291192                0.0069790170                0.2561187675
    118.7431210897         -0.0708210288                0.0071338143                0.2614091417
    118.7931210897         -0.0667129385                0.0072938134                0.2668643534
    118.8431210897         -0.0626048481                0.0074592499                0.2724912884
    118.8931210897         -0.0584967577                0.0076303725                0.2782971939
    118.9431210897         -0.0543886673                0.0078074445                0.2842897014
    118.9931210897         -0.0502805769                0.0079907447                0.2904768515
    119.0431210897         -0.0461724865                0.0081805682                0.2968671200
    119.0931210897         -0.0420643961                0.0083772278                0.3034694466
    119.1431210897         -0.0379563057                0.0085810553                0.3102932656
    119.1931210897         -0.0338482153                0.0087924028                0.3173485383
    119.2431210897         -0.0297401249                0.0090116442                0.3246457893
    119.2931210897         -0.0256320345                0.0092391772                0.3321961444
    119.3431210897         -0.0215239441                0.0094754245                0.3400113721
    119.3931210897         -0.0174158537                0.0097208361                0.3481039287
    119.4431210897         -0.0133077633                0.0099758915                0.3564870061
    119.4931210897         -0.0091996729                0.0102411018                0.3651745850
    119.5431210897         -0.0050915826                0.0105170124                0.3741814909
    119.5931210897         -0.0009834922                0.0108042057                0.3835234564
    119.6431210897          0.0031245982                0.0111033044                0.3932171878
    119.6931210897          0.0072326886                0.0114149745                0.4032804376
    119.7431210897          0.0113407790                0.0117399291                0.4137320836
    119.7931210897          0.0154488694                0.0120789325                0.4245922149
    119.8431210897          0.0195569598                0.0124328049                0.4358822258
    119.8931210897          0.0236650502                0.0128024268                0.4476249174
    119.9431210897          0.0277731406                0.0131887448                0.4598446094
    119.9931210897          0.0318812310                0.0135927778                0.4725672622
    120.0431210897          0.0359893214                0.0140156230                0.4858206096
    120.0931210897          0.0400974118                0.0144584640                0.4996343055
    120.1431210897          0.0442055022                0.0149225787                0.5140400832
    120.1931210897          0.0483135926                0.0154093483                0.5290719315
    120.2431210897          0.0524216830                0.0159202680                0.5447662875
    120.2931210897          0.0565297733                0.0164569576                0.5611622487
    120.3431210897          0.0606378637                0.0170211751                0.5783018075
    120.3931210897          0.0647459541                0.0176148302                0.5962301080
    120.4431210897          0.0688540445                0.0182400009                0.6149957320
    120.4931210897          0.0729621349                0.0188989511                0.6346510128
    120.5431210897          0.0770702253                0.0195941511                0.6552523851
    120.5931210897          0.0811783157                0.0203283004                0.6768607713
    120.6431210897          0.0852864061                0.0211043537                0.6995420129
    120.6931210897          0.0893944965                0.0219255502                0.7233673493
    120.7431210897          0.0935025869                0.0227954472                0.7484139551
    120.7931210897          0.0976106773                0.0237179578                0.7747655409
    120.8431210897          0.1017187677                0.0246973946                0.8025130320
    120.8931210897          0.1058268581                0.0257385195                0.8317553354
    120.9431210897          0.1099349485                0.0268466006                0.8626002163
    120.9931210897          0.1140430389                0.0280274779                0.8951653044
    121.0431210897          0.1181511292                0.0292876389                0.9295792640
    121.0931210897          0.1222592196                0.0306343069                0.9659831668
    121.1431210897          0.1263673100                0.0320755420                1.0045321258
    121.1931210897          0.1304754004                0.0336203602                1.0453972646
    121.2431210897          0.1345834908                0.0352788715                1.0887681227
    121.2931210897          0.1386915812                0.0370624422                1.1348556330
    121.3431210897          0.1427996716                0.0389838858                1.1838958458
    121.3931210897          0.1469077620                0.0410576881                1.2361546304
    121.4431210897          0.1510158524                0.0433002742                1.2919336428
    121.4931210897          0.1551239428                0.0457303256                1.3515779242
    121.5431210897          0.1592320332                0.0483691602                1.4154855702
    121.5931210897          0.1633401236                0.0512411865                1.4841199918
    121.6431210897          0.1674482140                0.0543744526                1.5580253614
    121.6931210897          0.1715563044                0.0578013098                1.6378458935
    121.7431210897          0.1756643948                0.0615592213                1.7243496263
    121.7931210897          0.1797724851                0.0656917505                1.8184573367
    121.8431210897          0.1838805755                0.0702497781                1.9212771048
    121.8931210897          0.1879886659                0.0752930091                2.0341448250
    121.9431210897          0.1920967563                0.0808918576                2.1586706138
    121.9931210897          0.1962048467                0.0871298331                2.2967905684
    122.0431210897          0.2003129371                0.0941066325                2.4508226796
    122.0931210897          0.2044210275                0.1019423006                2.6235249019
    122.1431210897          0.2085291179                0.1107831767                2.8181524613
    122.1931210897          0.2126372083                0.1208110982                3.0385104913
    122.2431210897          0.2167452987                0.1322588698                3.2889971089
    122.2931210897          0.2208533891                0.1454378918                3.5746311828
    122.3431210897          0.2249614795                0.1607887221                3.9010584250
    122.3931210897          0.2290695699                0.1789725049                4.2745291790
    122.4431210897          0.2331776603                0.2010296067                4.7018414860
    122.4931210897          0.2372857507                0.2286376790                5.1902437339
    122.5431210897          0.2413938410                0.2644968439                5.7472923898
    122.5931210897          0.2455019314                0.3128431091                6.3806618169
    122.6431210897          0.2496100218                0.3800310195                7.0979046389
    122.6931210897          0.2537181122                0.4750309659                7.9061619929
    122.7431210897          0.2578262026                0.6095753620                8.8118225691
    122.7931210897          0.2619342930                0.7976106071                9.8201266728
    122.8431210897          0.2660423834                1.0537378066               10.9347057676
    122.8931210897          0.2701504738                1.3905051758               12.1570385095
    122.9431210897          0.2742585642                1.8147155487               13.4857915772
    122.9931210897          0.2783666546                2.3231581402               14.9160001663
    123.0431210897          0.2824747450                2.8980872813               16.4380352154
    123.0931210897          0.2865828354                3.5023205300               18.0363146895
    123.1431210897          0.2906909258                4.0741854540               19.6877647571
    123.1931210897          0.2947990162                4.5268534491               21.3601497692
    123.2431210897          0.2989071066                4.7649399715               23.0105895121
    123.2931210897          0.3030151969                4.7263917896               24.5848594968
    123.3431210897          0.3071232873                4.4218768011               26.0183428508
    123.3931210897          0.3112313777                3.9273789726               27.2395791519
    123.4431210897          0.3153394681                3.3391592801               28.1769690278
    123.4931210897          0.3194475585                2.7378675558               28.7681769822
