# Energy loss (meV)	Quasi-elastic (arb. units)	Magnetic excitations (arb. units)	dd excitations (arb. units)
         -222.7608622480             0.0401086079             0.0169877783             0.0000000000
         -221.6208622480             0.0405195920             0.0171533464             0.0000000000
         -220.4808622480             0.0409369114             0.0173206389             0.0000000000
         -219.3408622480             0.0413606966             0.0174896927             0.0000000000
         -218.2008622480             0.0417910815             0.0176606288             0.0000000000
         -217.0608622480             0.0422282038             0.0178336465             0.0000000000
         -215.9208622480             0.0426722043             0.0180085515             0.0000000000
         -214.7808622480             0.0431232277             0.0181853832             0.0000000000
         -213.6408622480             0.0435814227             0.0183643638             0.0000000000
         -212.5008622480             0.0440469417             0.0185455297             0.0000000000
         -211.3608622480             0.0445199413             0.0187287572             0.0000000000
         -210.2208622480             0.0450005821             0.0189140887             0.0000000000
         -209.0808622480             0.0454890293             0.0191018651             0.0000000000
         -207.9408622480             0.0459854525             0.0192919286             0.0000000000
         -206.8008622480             0.0464900256             0.0194842413             0.0000000000
         -205.6608622480             0.0470029278             0.0196788653             0.0000000000
         -204.5208622480             0.0475243428             0.0198762311             0.0000000000
         -203.3808622480             0.0480544596             0.0200760003             0.0000000000
         -202.2408622480             0.0485934723             0.0202782217             0.0000000000
         -201.1008622480             0.0491415807             0.0204830783             0.0000000000
         -199.9608622480             0.0496989898             0.0206908093             0.0000000000
         -198.8208622480             0.0502659108             0.0209011600             0.0000000000
         -197.6808622480             0.0508425608             0.0211141831             0.0000000000
         -196.5408622480             0.0514291629             0.0213302043             0.0000000000
         -195.4008622480             0.0520259468             0.0215492341             0.0000000000
         -194.2608622480             0.0526331489             0.0217711190             0.0000000000
         -193.1208622480             0.0532510124             0.0219959169             0.0000000000
         -191.9808622480             0.0538797876             0.0222241198             0.0000000000
         -190.8408622480             0.0545197322             0.0224554673             0.0000000000
         -189.7008622480             0.0551711114             0.0226899275             0.0000000000
         -188.5608622480             0.0558341986             0.0229276088             0.0000000000
         -187.4208622480             0.0565092750             0.0231690633             0.0000000000
         -186.2808622480             0.0571966306             0.0234138451             0.0000000000
         -185.1408622480             0.0578965640             0.0236620227             0.0000000000
         -184.0008622480             0.0586093830             0.0239138751             0.0000000000
         -182.8608622480             0.0593354048             0.0241696872             0.0000000000
         -181.7208622480             0.0600749564             0.0244291314             0.0000000000
         -180.5808622480             0.0608283749             0.0246922832             0.0000000000
         -179.4408622480             0.0615960079             0.0249596233             0.0000000000
         -178.3008622480             0.0623782142             0.0252311164             0.0000000000
         -177.1608622480             0.0631753636             0.0255065784             0.0000000000
         -176.0208622480             0.0639878378             0.0257860928             0.0000000000
         -174.8808622480             0.0648160308             0.0260703773             0.0000000000
         -173.7408622480             0.0656603492             0.0263590157             0.0000000000
         -172.6008622480             0.0665212129             0.0266519963             0.0000000000
         -171.4608622480             0.0673990552             0.0269495056             0.0000000000
         -170.3208622480             0.0682943240             0.0272522583             0.0000000000
         -169.1808622480             0.0692074818             0.0275596676             0.0000000000
         -168.0408622480             0.0701390065             0.0278718342             0.0000000000
         -166.9008622480             0.0710893921             0.0281891895             0.0000000000
         -165.7608622480             0.0720591492             0.0285120722             0.0000000000
         -164.6208622480             0.0730488056             0.0288400628             0.0000000000
         -163.4808622480             0.0740589074             0.0291732739             0.0000000000
         -162.3408622480             0.0750900192             0.0295124282             0.0000000000
         -161.2008622480             0.0761427252             0.0298574103             0.0000000000
         -160.0608622480             0.0772176302             0.0302080052             0.0000000000
         -158.9208622480             0.0783153598             0.0305643390             0.0000000000
         -157.7808622480             0.0794365622             0.0309274806             0.0000000000
         -156.6408622480             0.0805819083             0.0312967681             0.0000000000
         -155.5008622480             0.0817520930             0.0316722351             0.0000000000
         -154.3608622480             0.0829478366             0.0320542019             0.0000000000
         -153.2208622480             0.0841698854             0.0324436122             0.0000000000
         -152.0808622480             0.0854190127             0.0328396844             0.0000000000
         -150.9408622480             0.0866960209             0.0332425740             0.0000000000
         -149.8008622480             0.0880017416             0.0336529619             0.0000000000
         -148.6608622480             0.0893370380             0.0340712523             0.0000000000
         -147.5208622480             0.0907028053             0.0344969050             0.0000000000
         -146.3808622480             0.0920999730             0.0349300956             0.0000000000
         -145.2408622480             0.0935295061             0.0353719399             0.0000000000
