# Energy loss (meV)	Quasi-elastic (arb. units)	Magnetic excitations (arb. units)	dd excitations (arb. units)
         -227.1196565271             0.0054168244             0.0025745355             0.0000000000
         -225.9796565271             0.0054712705             0.0026123148             0.0000000000
         -224.8396565271             0.0055265399             0.0026502231             0.0000000000
         -223.6996565271             0.0055826493             0.0026882626             0.0000000000
         -222.5596565271             0.0056396156             0.0027264426             0.0000000000
         -221.4196565271             0.0056974563             0.0027647770             0.0000000000
         -220.2796565271             0.0057561895             0.0028032518             0.0000000000
         -219.1396565271             0.0058158336             0.0028418703             0.0000000000
         -217.9996565271             0.0058764073             0.0028806509             0.0000000000
         -216.8596565271             0.0059379302             0.0029195948             0.0000000000
         -215.7196565271             0.0060004221             0.0029586947             0.0000000000
         -214.5796565271             0.0060639033             0.0029979547             0.0000000000
         -213.4396565271             0.0061283950             0.0030374041             0.0000000000
         -212.2996565271             0.0061939184             0.0030770284             0.0000000000
         -211.1596565271             0.0062604958             0.0031168279             0.0000000000
         -210.0196565271             0.0063281498             0.0031568115             0.0000000000
         -208.8796565271             0.0063969037             0.0031970098             0.0000000000
         -207.7396565271             0.0064667813             0.0032374002             0.0000000000
         -206.5996565271             0.0065378073             0.0032779883             0.0000000000
         -205.4596565271             0.0066100069             0.0033187947             0.0000000000
         -204.3196565271             0.0066834059             0.0033598336             0.0000000000
         -203.1796565271             0.0067580312             0.0034010895             0.0000000000
         -202.0396565271             0.0068339100             0.0034425689             0.0000000000
         -200.8996565271             0.0069110705             0.0034843066             0.0000000000
         -199.7596565271             0.0069895417             0.0035262952             0.0000000000
         -198.6196565271             0.0070693533             0.0035685290             0.0000000000
         -197.4796565271             0.0071505359             0.0036110149             0.0000000000
         -196.3396565271             0.0072331211             0.0036538050             0.0000000000
         -195.1996565271             0.0073171413             0.0036968651             0.0000000000
         -194.0596565271             0.0074026297             0.0037402013             0.0000000000
         -192.9196565271             0.0074896207             0.0037838337             0.0000000000
         -191.7796565271             0.0075781497             0.0038277973             0.0000000000
         -190.6396565271             0.0076682529             0.0038720625             0.0000000000
         -189.4996565271             0.0077599678             0.0039166374             0.0000000000
         -188.3596565271             0.0078533330             0.0039615606             0.0000000000
         -187.2196565271             0.0079483881             0.0040068389             0.0000000000
         -186.0796565271             0.0080451741             0.0040524548             0.0000000000
         -184.9396565271             0.0081437331             0.0040984169             0.0000000000
         -183.7996565271             0.0082441086             0.0041447860             0.0000000000
         -182.6596565271             0.0083463453             0.0041915339             0.0000000000
         -181.5196565271             0.0084504893             0.0042386582             0.0000000000
         -180.3796565271             0.0085565882             0.0042861748             0.0000000000
         -179.2396565271             0.0086646912             0.0043341516             0.0000000000
         -178.0996565271             0.0087748488             0.0043825368             0.0000000000
         -176.9596565271             0.0088871132             0.0044313404             0.0000000000
         -175.8196565271             0.0090015383             0.0044806014             0.0000000000
         -174.6796565271             0.0091181798             0.0045303520             0.0000000000
         -173.5396565271             0.0092370950             0.0045805556             0.0000000000
         -172.3996565271             0.0093583431             0.0046312232             0.0000000000
         -171.2596565271             0.0094819855             0.0046824215             0.0000000000
         -170.1196565271             0.0096080852             0.0047341384             0.0000000000
         -168.9796565271             0.0097367076             0.0047863566             0.0000000000
         -167.8396565271             0.0098679203             0.0048390880             0.0000000000
         -166.6996565271             0.0100017928             0.0048924326             0.0000000000
         -165.5596565271             0.0101383974             0.0049463243             0.0000000000
         -164.4196565271             0.0102778085             0.0050007698             0.0000000000
         -163.2796565271             0.0104201032             0.0050558039             0.0000000000
         -162.1396565271             0.0105653614             0.0051114998             0.0000000000
         -160.9996565271             0.0107136655             0.0051677927             0.0000000000
         -159.8596565271             0.0108651009             0.0052246965             0.0000000000
         -158.7196565271             0.0110197560             0.0052822808             0.0000000000
         -157.5796565271             0.0111777222             0.0053405636             0.0000000000
         -156.4396565271             0.0113390945             0.0053995045             0.0000000000
         -155.2996565271             0.0115039709             0.0054591184             0.0000000000
         -154.1596565271             0.0116724533             0.0055195166             0.0000000000
         -153.0196565271             0.0118446469             0.0055806501             0.0000000000
         -151.8796565271             0.0120206611             0.0056425085             0.0000000000
         -150.7396565271             0.0122006093             0.0057051159             0.0000000000
         -149.5996565271             0.0123846089             0.0057686090             0.0000000000
         -148.4596565271             0.0125727818             0.0058328824             0.0000000000
         -147.3196565271             0.0127652547             0.0058979538             0.0000000000
         -146.1796565271             0.0129621588             0.0059638912             0.0000000000
         -145.0396565271             0.0131636305             0.0060307632             0.0000000000
         -143.8996565271             0.0133698114             0.0060984944             0.0000000000
         -142.7596565271             0.0135808487             0.0061671044             0.0000000000
         -141.6196565271             0.0137968951             0.0062367132             0.0000000000
         -140.4796565271             0.0140181097             0.0063073070             0.0000000000
         -139.3396565271             0.0142446576             0.0063788473             0.0000000000
         -138.1996565271             0.0144767106             0.0064513556             0.0000000000
         -137.0596565271             0.0147144476             0.0065250143             0.0000000000
         -135.9196565271             0.0149580546             0.0065997097             0.0000000000
         -134.7796565271             0.0152077252             0.0066754484             0.0000000000
         -133.6396565271             0.0154636611             0.0067522898             0.0000000000
         -132.4996565271             0.0157260723             0.0068303840             0.0000000000
         -131.3596565271             0.0159951779             0.0069096033             0.0000000000
         -130.2196565271             0.0162712058             0.0069899740             0.0000000000
         -129.0796565271             0.0165543941             0.0070716214             0.0000000000
         -127.9396565271             0.0168449908             0.0071545937             0.0000000000
         -126.7996565271             0.0171432548             0.0072388089             0.0000000000
         -125.6596565271             0.0174494564             0.0073242964             0.0000000000
         -124.5196565271             0.0177638777             0.0074112608             0.0000000000
