# Energy loss (meV)	Quasi-elastic (arb. units)	Magnetic excitations (arb. units)	dd excitations (arb. units)
         -223.6594520453             0.0144566680             0.0255118504             0.0000000000
         -222.5194520453             0.0146042103             0.0257708074             0.0000000000
         -221.3794520453             0.0147540179             0.0260320351             0.0000000000
         -220.2394520453             0.0149061373             0.0262955874             0.0000000000
         -219.0994520453             0.0150606161             0.0265616293             0.0000000000
         -217.9594520453             0.0152175033             0.0268304306             0.0000000000
         -216.8194520453             0.0153768491             0.0271017390             0.0000000000
         -215.6794520453             0.0155387050             0.0273756115             0.0000000000
         -214.5394520453             0.0157031240             0.0276523490             0.0000000000
         -213.3994520453             0.0158701601             0.0279320049             0.0000000000
         -212.2594520453             0.0160398693             0.0282144185             0.0000000000
         -211.1194520453             0.0162123086             0.0284996506             0.0000000000
         -209.9794520453             0.0163875368             0.0287881627             0.0000000000
         -208.8394520453             0.0165656143             0.0290797470             0.0000000000
         -207.6994520453             0.0167466029             0.0293743564             0.0000000000
         -206.5594520453             0.0169305663             0.0296720778             0.0000000000
         -205.4194520453             0.0171175699             0.0299734951             0.0000000000
         -204.2794520453             0.0173076809             0.0302781557             0.0000000000
         -203.1394520453             0.0175009683             0.0305861281             0.0000000000
         -201.9994520453             0.0176975031             0.0308976626             0.0000000000
         -200.8594520453             0.0178973582             0.0312130860             0.0000000000
         -199.7194520453             0.0181006087             0.0315320560             0.0000000000
         -198.5794520453             0.0183073317             0.0318546467             0.0000000000
         -197.4394520453             0.0185176065             0.0321813015             0.0000000000
         -196.2994520453             0.0187315147             0.0325120373             0.0000000000
         -195.1594520453             0.0189491403             0.0328466479             0.0000000000
         -194.0194520453             0.0191705697             0.0331852133             0.0000000000
         -192.8794520453             0.0193958917             0.0335284038             0.0000000000
         -191.7394520453             0.0196251979             0.0338758672             0.0000000000
         -190.5994520453             0.0198585825             0.0342275615             0.0000000000
         -189.4594520453             0.0200961425             0.0345836348             0.0000000000
         -188.3194520453             0.0203379777             0.0349448392             0.0000000000
         -187.1794520453             0.0205841911             0.0353105692             0.0000000000
         -186.0394520453             0.0208348886             0.0356809185             0.0000000000
         -184.8994520453             0.0210901795             0.0360562671             0.0000000000
         -183.7594520453             0.0213501762             0.0364370028             0.0000000000
         -182.6194520453             0.0216149948             0.0368226803             0.0000000000
         -181.4794520453             0.0218847548             0.0372134019             0.0000000000
         -180.3394520453             0.0221595796             0.0376098214             0.0000000000
         -179.1994520453             0.0224395962             0.0380118902             0.0000000000
         -178.0594520453             0.0227249359             0.0384193574             0.0000000000
         -176.9194520453             0.0230157339             0.0388323356             0.0000000000
         -175.7794520453             0.0233121299             0.0392517996             0.0000000000
         -174.6394520453             0.0236142679             0.0396771821             0.0000000000
         -173.4994520453             0.0239222967             0.0401084658             0.0000000000
         -172.3594520453             0.0242363699             0.0405459025             0.0000000000
         -171.2194520453             0.0245566459             0.0409904608             0.0000000000
         -170.0794520453             0.0248832888             0.0414413415             0.0000000000
         -168.9394520453             0.0252164676             0.0418986792             0.0000000000
         -167.7994520453             0.0255563572             0.0423630565             0.0000000000
         -166.6594520453             0.0259031384             0.0428349297             0.0000000000
         -165.5194520453             0.0262569979             0.0433137268             0.0000000000
         -164.3794520453             0.0266181290             0.0437995971             0.0000000000
         -163.2394520453             0.0269867314             0.0442935157             0.0000000000
         -162.0994520453             0.0273630118             0.0447953220             0.0000000000
         -160.9594520453             0.0277471840             0.0453047210             0.0000000000
         -159.8194520453             0.0281394693             0.0458218790             0.0000000000
