# Energy loss (eV)	Quasi-elastic (arb. units)	Magnetic excitations (arb. units)	Intra-t2g excitations (arb. units)	t2g-eg excitations (arb. units)
           -0.1433628451             0.0480703058             0.0184364584             0.0414332505             0.0000000000
           -0.1422228451             0.0488298716             0.0186392454             0.0418083162             0.0000000000
           -0.1410828451             0.0496074682             0.0188452528             0.0421864486             0.0000000000
           -0.1399428451             0.0504036673             0.0190544951             0.0425676699             0.0000000000
           -0.1388028451             0.0512190630             0.0192668802             0.0429520021             0.0000000000
           -0.1376628451             0.0520542730             0.0194824801             0.0433394677             0.0000000000
           -0.1365228451             0.0529099402             0.0197013687             0.0437300892             0.0000000000
           -0.1353828451             0.0537867335             0.0199236218             0.0441238891             0.0000000000
           -0.1342428451             0.0546853489             0.0201497091             0.0445208903             0.0000000000
           -0.1331028451             0.0556065115             0.0203794010             0.0449211157             0.0000000000
           -0.1319628451             0.0565509761             0.0206127175             0.0453245884             0.0000000000
           -0.1308228451             0.0575195296             0.0208497441             0.0457313315             0.0000000000
           -0.1296828451             0.0585129917             0.0210905686             0.0461413684             0.0000000000
           -0.1285428451             0.0595322171             0.0213353510             0.0465547227             0.0000000000
           -0.1274028451             0.0605780974             0.0215845747             0.0469714179             0.0000000000
           -0.1262628451             0.0616515624             0.0218378982             0.0473914779             0.0000000000
           -0.1251228451             0.0627535828             0.0220954213             0.0478149267             0.0000000000
           -0.1239828451             0.0638851717             0.0223572463             0.0482417884             0.0000000000
           -0.1228428451             0.0650473874             0.0226234788             0.0486720872             0.0000000000
           -0.1217028451             0.0662413354             0.0228944737             0.0491058476             0.0000000000
           -0.1205628451             0.0674681710             0.0231704697             0.0495430941             0.0000000000
           -0.1194228451             0.0687291023             0.0234512369             0.0499838515             0.0000000000
           -0.1182828451             0.0700253926             0.0237368957             0.0504281447             0.0000000000
           -0.1171428451             0.0713583637             0.0240275699             0.0508759988             0.0000000000
           -0.1160028451             0.0727293994             0.0243233875             0.0513274389             0.0000000000
           -0.1148628451             0.0741399483             0.0246249613             0.0517824905             0.0000000000
           -0.1137228451             0.0755915282             0.0249321942             0.0522411791             0.0000000000
           -0.1125828451             0.0770857295             0.0252450127             0.0527035304             0.0000000000
           -0.1114428451             0.0786242197             0.0255635636             0.0531695703             0.0000000000
           -0.1103028451             0.0802087477             0.0258879981             0.0536393250             0.0000000000
           -0.1091628451             0.0818411486             0.0262184729             0.0541128205             0.0000000000
           -0.1080228451             0.0835233489             0.0265559422             0.0545900833             0.0000000000
           -0.1068828451             0.0852573719             0.0268998515             0.0550711400             0.0000000000
           -0.1057428451             0.0870453436             0.0272503440             0.0555560173             0.0000000000
           -0.1046028451             0.0888894990             0.0276076006             0.0560447421             0.0000000000
           -0.1034628451             0.0907921889             0.0279718080             0.0565373417             0.0000000000
           -0.1023228451             0.0927558872             0.0283433857             0.0570338431             0.0000000000
           -0.1011828451             0.0947831988             0.0287230648             0.0575342740             0.0000000000
           -0.1000428451             0.0968768682             0.0291103454             0.0580386619             0.0000000000
           -0.0989028451             0.0990397891             0.0295054446             0.0585470347             0.0000000000
           -0.0977628451             0.1012750144             0.0299085877             0.0590594204             0.0000000000
           -0.0966228451             0.1035857677             0.0303200079             0.0595758473             0.0000000000
           -0.0954828451             0.1059754561             0.0307405300             0.0600963438             0.0000000000
           -0.0943428451             0.1084476842             0.0311704219             0.0606209383             0.0000000000
           -0.0932028451             0.1110062702             0.0316094066             0.0611496599             0.0000000000
           -0.0920628451             0.1136552645             0.0320577577             0.0616825373             0.0000000000
           -0.0909228451             0.1163989710             0.0325157592             0.0622195999             0.0000000000
           -0.0897828451             0.1192419721             0.0329837062             0.0627608770             0.0000000000
           -0.0886428451             0.1221891582             0.0334629845             0.0633063983             0.0000000000
           -0.0875028451             0.1252457639             0.0339531917             0.0638561934             0.0000000000
           -0.0863628451             0.1284174104             0.0344543811             0.0644102925             0.0000000000
           -0.0852228451             0.1317101587             0.0349669020             0.0649687258             0.0000000000
           -0.0840828451             0.1351305746             0.0354911179             0.0655315237             0.0000000000
           -0.0829428451             0.1386858090             0.0360275109             0.0660987168             0.0000000000
           -0.0818028451             0.1423836981             0.0365779394             0.0666703360             0.0000000000
           -0.0806628451             0.1462328888             0.0371413466             0.0672464124             0.0000000000
           -0.0795228451             0.1502429947             0.0377181681             0.0678269773             0.0000000000
           -0.0783828451             0.1544247920             0.0383088586             0.0684120623             0.0000000000
           -0.0772428451             0.1587904634             0.0389138935             0.0690016991             0.0000000000
           -0.0761028451             0.1633539026             0.0395344473             0.0695959197             0.0000000000
           -0.0749628451             0.1681310922             0.0401717658             0.0701947563             0.0000000000
           -0.0738228451             0.1731405719             0.0408251266             0.0707982414             0.0000000000
           -0.0726828451             0.1784040152             0.0414951131             0.0714064077             0.0000000000
           -0.0715428451             0.1839469363             0.0421823398             0.0720192881             0.0000000000
