# Energy loss (meV)	Quasi-elastic (arb. units)	Magnetic excitations (arb. units)	dd excitations (arb. units)
         -226.9721440706             0.0044647540             0.0030478532             0.0000000000
         -225.8321440706             0.0045096597             0.0030918484             0.0000000000
         -224.6921440706             0.0045552447             0.0031360165             0.0000000000
         -223.5521440706             0.0046015230             0.0031803607             0.0000000000
         -222.4121440706             0.0046485085             0.0032248935             0.0000000000
         -221.2721440706             0.0046962158             0.0032696330             0.0000000000
         -220.1321440706             0.0047446596             0.0033145605             0.0000000000
         -218.9921440706             0.0047938552             0.0033596800             0.0000000000
         -217.8521440706             0.0048438182             0.0034050157             0.0000000000
         -216.7121440706             0.0048945646             0.0034505687             0.0000000000
         -215.5721440706             0.0049461107             0.0034963287             0.0000000000
         -214.4321440706             0.0049984735             0.0035423006             0.0000000000
         -213.2921440706             0.0050516703             0.0035885226             0.0000000000
         -212.1521440706             0.0051057188             0.0036349746             0.0000000000
         -211.0121440706             0.0051606372             0.0036816564             0.0000000000
         -209.8721440706             0.0052164443             0.0037285791             0.0000000000
         -208.7321440706             0.0052731593             0.0037757816             0.0000000000
         -207.5921440706             0.0053308020             0.0038232337             0.0000000000
         -206.4521440706             0.0053893926             0.0038709419             0.0000000000
         -205.3121440706             0.0054489520             0.0039189321             0.0000000000
         -204.1721440706             0.0055095016             0.0039672213             0.0000000000
         -203.0321440706             0.0055710635             0.0040157891             0.0000000000
         -201.8921440706             0.0056336602             0.0040646429             0.0000000000
         -200.7521440706             0.0056973150             0.0041138261             0.0000000000
         -199.6121440706             0.0057620519             0.0041633285             0.0000000000
         -198.4721440706             0.0058278954             0.0042131420             0.0000000000
         -197.3321440706             0.0058948708             0.0042632744             0.0000000000
         -196.1921440706             0.0059630041             0.0043137907             0.0000000000
         -195.0521440706             0.0060323222             0.0043646468             0.0000000000
         -193.9121440706             0.0061028526             0.0044158495             0.0000000000
         -192.7721440706             0.0061746235             0.0044674235             0.0000000000
         -191.6321440706             0.0062476643             0.0045194114             0.0000000000
         -190.4921440706             0.0063220049             0.0045717754             0.0000000000
         -189.3521440706             0.0063976763             0.0046245251             0.0000000000
         -188.2121440706             0.0064747103             0.0046777074             0.0000000000
         -187.0721440706             0.0065531397             0.0047313302             0.0000000000
         -185.9321440706             0.0066329983             0.0047853707             0.0000000000
         -184.7921440706             0.0067143211             0.0048398392             0.0000000000
         -183.6521440706             0.0067971437             0.0048948099             0.0000000000
         -182.5121440706             0.0068815034             0.0049502472             0.0000000000
         -181.3721440706             0.0069674381             0.0050061475             0.0000000000
         -180.2321440706             0.0070549872             0.0050625298             0.0000000000
         -179.0921440706             0.0071441913             0.0051194766             0.0000000000
         -177.9521440706             0.0072350922             0.0051769238             0.0000000000
         -176.8121440706             0.0073277330             0.0052348831             0.0000000000
         -175.6721440706             0.0074221584             0.0052934016             0.0000000000
         -174.5321440706             0.0075184141             0.0053525180             0.0000000000
         -173.3921440706             0.0076165478             0.0054121870             0.0000000000
         -172.2521440706             0.0077166084             0.0054724214             0.0000000000
         -171.1121440706             0.0078186464             0.0055333022             0.0000000000
         -169.9721440706             0.0079227141             0.0055948139             0.0000000000
         -168.8321440706             0.0080288656             0.0056569352             0.0000000000
         -167.6921440706             0.0081371566             0.0057196799             0.0000000000
         -166.5521440706             0.0082476447             0.0057831689             0.0000000000
         -165.4121440706             0.0083603895             0.0058473217             0.0000000000
         -164.2721440706             0.0084754527             0.0059121459             0.0000000000
         -163.1321440706             0.0085928981             0.0059776834             0.0000000000
         -161.9921440706             0.0087127915             0.0060440223             0.0000000000
         -160.8521440706             0.0088352012             0.0061110840             0.0000000000
         -159.7121440706             0.0089601977             0.0061788846             0.0000000000
         -158.5721440706             0.0090878543             0.0062475083             0.0000000000
         -157.4321440706             0.0092182464             0.0063169763             0.0000000000
         -156.2921440706             0.0093514526             0.0063872396             0.0000000000
