# Energy loss (meV)	Quasi-elastic (arb. units)	Magnetic excitations (arb. units)	dd excitations (arb. units)
         -221.4990922862             0.0068307511             0.0091469986             0.0000000000
         -220.3590922862             0.0069011409             0.0092406869             0.0000000000
         -219.2190922862             0.0069726218             0.0093352364             0.0000000000
         -218.0790922862             0.0070452165             0.0094306662             0.0000000000
         -216.9390922862             0.0071189483             0.0095270371             0.0000000000
         -215.7990922862             0.0071938409             0.0096244494             0.0000000000
         -214.6590922862             0.0072699188             0.0097228064             0.0000000000
         -213.5190922862             0.0073472070             0.0098221284             0.0000000000
         -212.3790922862             0.0074257314             0.0099225270             0.0000000000
         -211.2390922862             0.0075055183             0.0100240211             0.0000000000
         -210.0990922862             0.0075865949             0.0101265491             0.0000000000
         -208.9590922862             0.0076689890             0.0102301326             0.0000000000
         -207.8190922862             0.0077527294             0.0103349432             0.0000000000
         -206.6790922862             0.0078378453             0.0104409021             0.0000000000
         -205.5390922862             0.0079243671             0.0105479906             0.0000000000
         -204.3990922862             0.0080123258             0.0106562402             0.0000000000
         -203.2590922862             0.0081017532             0.0107658678             0.0000000000
         -202.1190922862             0.0081926822             0.0108767035             0.0000000000
         -200.9790922862             0.0082851466             0.0109887722             0.0000000000
         -199.8390922862             0.0083791808             0.0111021662             0.0000000000
         -198.6990922862             0.0084748207             0.0112170061             0.0000000000
         -197.5590922862             0.0085721029             0.0113331640             0.0000000000
         -196.4190922862             0.0086710650             0.0114506667             0.0000000000
         -195.2790922862             0.0087717459             0.0115696783             0.0000000000
         -194.1390922862             0.0088741855             0.0116902042             0.0000000000
         -192.9990922862             0.0089784248             0.0118121673             0.0000000000
         -191.8590922862             0.0090845063             0.0119355970             0.0000000000
         -190.7190922862             0.0091924732             0.0120607410             0.0000000000
         -189.5790922862             0.0093023706             0.0121874682             0.0000000000
         -188.4390922862             0.0094142445             0.0123157628             0.0000000000
         -187.2990922862             0.0095281425             0.0124456792             0.0000000000
         -186.1590922862             0.0096441136             0.0125774953             0.0000000000
         -185.0190922862             0.0097622081             0.0127109868             0.0000000000
         -183.8790922862             0.0098824782             0.0128461878             0.0000000000
         -182.7390922862             0.0100049773             0.0129832389             0.0000000000
         -181.5990922862             0.0101297608             0.0131222833             0.0000000000
         -180.4590922862             0.0102568855             0.0132631558             0.0000000000
         -179.3190922862             0.0103864103             0.0134058942             0.0000000000
         -178.1790922862             0.0105183957             0.0135507401             0.0000000000
         -177.0390922862             0.0106529042             0.0136976756             0.0000000000
         -175.8990922862             0.0107900003             0.0138466075             0.0000000000
         -174.7590922862             0.0109297506             0.0139975775             0.0000000000
         -173.6190922862             0.0110722238             0.0141509461             0.0000000000
         -172.4790922862             0.0112174908             0.0143065035             0.0000000000
         -171.3390922862             0.0113656248             0.0144642432             0.0000000000
         -170.1990922862             0.0115167016             0.0146242585             0.0000000000
         -169.0590922862             0.0116707993             0.0147869078             0.0000000000
         -167.9190922862             0.0118279986             0.0149518954             0.0000000000
         -166.7790922862             0.0119883831             0.0151192714             0.0000000000
         -165.6390922862             0.0121520389             0.0152892515             0.0000000000
         -164.4990922862             0.0123190554             0.0154620046             0.0000000000
         -163.3590922862             0.0124895248             0.0156373195             0.0000000000
         -162.2190922862             0.0126635425             0.0158152517             0.0000000000
         -161.0790922862             0.0128412073             0.0159961622             0.0000000000
         -159.9390922862             0.0130226214             0.0161799922             0.0000000000
         -158.7990922862             0.0132078905             0.0163666327             0.0000000000
         -157.6590922862             0.0133971242             0.0165561458             0.0000000000
         -156.5190922862             0.0135904358             0.0167490648             0.0000000000
         -155.3790922862             0.0137879429             0.0169450572             0.0000000000
         -154.2390922862             0.0139897672             0.0171441383             0.0000000000
         -153.0990922862             0.0141960349             0.0173464669             0.0000000000
         -151.9590922862             0.0144068766             0.0175525123             0.0000000000
         -150.8190922862             0.0146224281             0.0177618825             0.0000000000
         -149.6790922862             0.0148428299             0.0179746535             0.0000000000
         -148.5390922862             0.0150682279             0.0181911629             0.0000000000
         -147.3990922862             0.0152987735             0.0184116100             0.0000000000
         -146.2590922862             0.0155346238             0.0186357234             0.0000000000
         -145.1190922862             0.0157759420             0.0188635886             0.0000000000
         -143.9790922862             0.0160228976             0.0190957582             0.0000000000
         -142.8390922862             0.0162756664             0.0193321018             0.0000000000
         -141.6990922862             0.0165344315             0.0195724971             0.0000000000
         -140.5590922862             0.0167993829             0.0198170406             0.0000000000
         -139.4190922862             0.0170707182             0.0200665428             0.0000000000
         -138.2790922862             0.0173486431             0.0203204724             0.0000000000
         -137.1390922862             0.0176333713             0.0205788900             0.0000000000
         -135.9990922862             0.0179251254             0.0208420678             0.0000000000
         -134.8590922862             0.0182241371             0.0211106372             0.0000000000
         -133.7190922862             0.0185306476             0.0213840690             0.0000000000
         -132.5790922862             0.0188449082             0.0216624846             0.0000000000
         -131.4390922862             0.0191671806             0.0219464272             0.0000000000
         -130.2990922862             0.0194977378             0.0222361318             0.0000000000
         -129.1590922862             0.0198368642             0.0225312473             0.0000000000
         -128.0190922862             0.0201848567             0.0228319122             0.0000000000
         -126.8790922862             0.0205420248             0.0231390001             0.0000000000
         -125.7390922862             0.0209086918             0.0234522540             0.0000000000
         -124.5990922862             0.0212851949             0.0237715465             0.0000000000
         -123.4590922862             0.0216718867             0.0240970363             0.0000000000
         -122.3190922862             0.0220691354             0.0244299996             0.0000000000
         -121.1790922862             0.0224773257             0.0247695706             0.0000000000
         -120.0390922862             0.0228968602             0.0251159013             0.0000000000
         -118.8990922862             0.0233281598             0.0254694704             0.0000000000
         -117.7590922862             0.0237716649             0.0258311579             0.0000000000
         -116.6190922862             0.0242278367             0.0262002328             0.0000000000
         -115.4790922862             0.0246971582             0.0265768997             0.0000000000
         -114.3390922862             0.0251801352             0.0269620670             0.0000000000
         -113.1990922862             0.0256772981             0.0273560118             0.0000000000
         -112.0590922862             0.0261892029             0.0277582763             0.0000000000
         -110.9190922862             0.0267164330             0.0281690981             0.0000000000
         -109.7790922862             0.0272596005             0.0285899195             0.0000000000
         -108.6390922862             0.0278193482             0.0290202521             0.0000000000
         -107.4990922862             0.0283963512             0.0294599894             0.0000000000
         -106.3590922862             0.0289913190             0.0299094384             0.0000000000
         -105.2190922862             0.0296049976             0.0303706171             0.0000000000
         -104.0790922862             0.0302381717             0.0308421559             0.0000000000
         -102.9390922862             0.0308916672             0.0313243686             0.0000000000
         -101.7990922862             0.0315663535             0.0318181294             0.0000000000
         -100.6590922862             0.0322631467             0.0323247277             0.0000000000
          -99.5190922862             0.0329830124             0.0328431231             0.0000000000
          -98.3790922862             0.0337269687             0.0333736855             0.0000000000
          -97.2390922862             0.0344960902             0.0339180129             0.0000000000
          -96.0990922862             0.0352915112             0.0344764336             0.0000000000
