# Energy loss (eV)	Quasi-elastic (arb. units)	Magnetic excitations (arb. units)	dd excitations(arb. units)
           -0.1233796565             0.0549696721             0.0227929582             0.0000000000
           -0.1222396565             0.0559779551             0.0230656985             0.0000000000
           -0.1210996565             0.0570140292             0.0233427406             0.0000000000
           -0.1199596565             0.0580789172             0.0236249303             0.0000000000
           -0.1188196565             0.0591736891             0.0239116425             0.0000000000
           -0.1176796565             0.0602994645             0.0242029881             0.0000000000
           -0.1165396565             0.0614574157             0.0244993443             0.0000000000
           -0.1153996565             0.0626487701             0.0248011775             0.0000000000
           -0.1142596565             0.0638748140             0.0251080326             0.0000000000
           -0.1131196565             0.0651368956             0.0254200353             0.0000000000
           -0.1119796565             0.0664364285             0.0257378742             0.0000000000
           -0.1108396565             0.0677748958             0.0260615441             0.0000000000
           -0.1096996565             0.0691538538             0.0263908040             0.0000000000
           -0.1085596565             0.0705749368             0.0267257972             0.0000000000
           -0.1074196565             0.0720398616             0.0270675912             0.0000000000
           -0.1062796565             0.0735504322             0.0274155982             0.0000000000
           -0.1051396565             0.0751085457             0.0277698446             0.0000000000
           -0.1039996565             0.0767161974             0.0281306706             0.0000000000
           -0.1028596565             0.0783754875             0.0284990773             0.0000000000
           -0.1017196565             0.0800886275             0.0288742863             0.0000000000
           -0.1005796565             0.0818579470             0.0292564810             0.0000000000
           -0.0994396565             0.0836859018             0.0296464106             0.0000000000
           -0.0982996565             0.0855750818             0.0300444858             0.0000000000
           -0.0971596565             0.0875282202             0.0304501964             0.0000000000
           -0.0960196565             0.0895482025             0.0308637547             0.0000000000
           -0.0948796565             0.0916380776             0.0312864178             0.0000000000
           -0.0937396565             0.0938010689             0.0317178493             0.0000000000
           -0.0925996565             0.0960405867             0.0321578830             0.0000000000
           -0.0914596565             0.0983602418             0.0326067659             0.0000000000
           -0.0903196565             0.1007638609             0.0330663855             0.0000000000
           -0.0891796565             0.1032555034             0.0335354635             0.0000000000
           -0.0880396565             0.1058394806             0.0340142722             0.0000000000
           -0.0868996565             0.1085203773             0.0345036023             0.0000000000
           -0.0857596565             0.1113030773             0.0350046206             0.0000000000
           -0.0846196565             0.1141927928             0.0355163671             0.0000000000
           -0.0834796565             0.1171950991             0.0360391702             0.0000000000
           -0.0823396565             0.1203159775             0.0365745202             0.0000000000
           -0.0811996565             0.1235618661             0.0371226182             0.0000000000
           -0.0800596565             0.1269397240             0.0376829523             0.0000000000
           -0.0789196565             0.1304571106             0.0382559124             0.0000000000
           -0.0777796565             0.1341222854             0.0388438800             0.0000000000
           -0.0766396565             0.1379443356             0.0394458014             0.0000000000
           -0.0754996565             0.1419333373             0.0400617562             0.0000000000
           -0.0743596565             0.1461005622             0.0406925286             0.0000000000
           -0.0732196565             0.1504587415             0.0413406910             0.0000000000
           -0.0720796565             0.1550224028             0.0420045117             0.0000000000
           -0.0709396565             0.1598082993             0.0426845345             0.0000000000
           -0.0697996565             0.1648359558             0.0433825523             0.0000000000
           -0.0686596565             0.1701283574             0.0440998953             0.0000000000
           -0.0675196565             0.1757128181             0.0448354357             0.0000000000
           -0.0663796565             0.1816220649             0.0455898503             0.0000000000
           -0.0652396565             0.1878955864             0.0463662878             0.0000000000
           -0.0640996565             0.1945812946             0.0471644072             0.0000000000
           -0.0629596565             0.2017375606             0.0479839406             0.0000000000
           -0.0618196565             0.2094356835             0.0488257722             0.0000000000
           -0.0606796565             0.2177628619             0.0496949417             0.0000000000
           -0.0595396565             0.2268257355             0.0505888596             0.0000000000
           -0.0583996565             0.2367545637             0.0515085238             0.0000000000
           -0.0572596565             0.2477081047             0.0524564076             0.0000000000
           -0.0561196565             0.2598792483             0.0534367155             0.0000000000
           -0.0549796565             0.2735014391             0.0544474190             0.0000000000
           -0.0538396565             0.2888559053             0.0554902793             0.0000000000
           -0.0526996565             0.3062796775             0.0565706263             0.0000000000
           -0.0515596565             0.3261743415             0.0576909219             0.0000000000
           -0.0504196565             0.3490154195             0.0588509394             0.0000000000
           -0.0492796565             0.3753622182             0.0600536827             0.0000000000
           -0.0481396565             0.4058679105             0.0613096670             0.0000000000
           -0.0469996565             0.4412895449             0.0626186446             0.0000000000
           -0.0458596565             0.4824975947             0.0639838007             0.0000000000
           -0.0447196565             0.5304845734             0.0654116770             0.0000000000
           -0.0435796565             0.5863721598             0.0669196872             0.0000000000
           -0.0424396565             0.6514162013             0.0685054042             0.0000000000
           -0.0412996565             0.7270088935             0.0701776440             0.0000000000
           -0.0401596565             0.8146773913             0.0719535934             0.0000000000
           -0.0390196565             0.9160780818             0.0738525837             0.0000000000
